,where,did,the,discharge,from,glaciers,go,in,europe,in,the,last,ice,age,?
much,0.30434560775756836,0.37947356700897217,0.35023224353790283,0.22099870443344116,0.24480824172496796,0.22302941977977753,0.2665551006793976,0.2725222110748291,0.29395177960395813,0.2725222110748291,0.35023224353790283,0.24106264114379883,0.16813361644744873,0.1711568385362625,0.23442231118679047
of,0.38066378235816956,0.2513895630836487,0.733189046382904,0.24374468624591827,0.4249346852302551,0.20751790702342987,0.21881330013275146,0.5696388483047485,0.29299741983413696,0.5696388483047485,0.733189046382904,0.3052992522716522,0.18215686082839966,0.2372717410326004,0.1826142966747284
the,0.5003893971443176,0.34736719727516174,1.0,0.2714732885360718,0.40150508284568787,0.25829634070396423,0.29801803827285767,0.6662389636039734,0.34463706612586975,0.6662389636039734,1.0,0.3698786795139313,0.22322975099086761,0.24711290001869202,0.22068053483963013
discharge,0.2039569914340973,0.08684999495744705,0.2714732885360718,1.0,0.15192848443984985,0.24432365596294403,0.1798652857542038,0.199445441365242,0.17245791852474213,0.199445441365242,0.2714732885360718,0.14577040076255798,0.14097851514816284,0.1804354339838028,0.13592740893363953
was,0.20731619000434875,0.41399896144866943,0.48711544275283813,0.16131900250911713,0.31171464920043945,0.08418398350477219,0.16801296174526215,0.45514053106307983,0.2931758761405945,0.45514053106307983,0.48711544275283813,0.32424551248550415,0.15280188620090485,0.27072176337242126,0.18412111699581146
routed,0.22560958564281464,0.1858443170785904,0.24058941006660461,0.20832055807113647,0.2231055647134781,0.2765870690345764,0.16532941162586212,0.1551818698644638,0.23003758490085602,0.1551818698644638,0.24058941006660461,0.13078559935092926,0.1420946568250656,0.061009231954813004,0.10947257280349731
to,0.47735077142715454,0.4452643394470215,0.535392165184021,0.22832615673542023,0.4069952368736267,0.24148400127887726,0.384844571352005,0.45010748505592346,0.24889446794986725,0.45010748505592346,0.535392165184021,0.30156898498535156,0.19850128889083862,0.23830388486385345,0.29463258385658264
the,0.5003893971443176,0.34736719727516174,1.0,0.2714732885360718,0.40150508284568787,0.25829634070396423,0.29801803827285767,0.6662389636039734,0.34463706612586975,0.6662389636039734,1.0,0.3698786795139313,0.22322975099086761,0.24711290001869202,0.22068053483963013
rhine,0.2007746696472168,0.15695837140083313,0.30735138058662415,0.22111549973487854,0.2181936800479889,0.2502593994140625,0.16320055723190308,0.24648422002792358,0.3181407153606415,0.24648422002792358,0.30735138058662415,0.13734391331672668,0.13962964713573456,0.14115528762340546,0.13754533231258392
and,0.43859338760375977,0.34479495882987976,0.5171257257461548,0.23449279367923737,0.3601827025413513,0.2872290313243866,0.35260969400405884,0.4954058527946472,0.3463572859764099,0.4954058527946472,0.5171257257461548,0.25967320799827576,0.22802209854125977,0.20936404168605804,0.20544172823429108
its,0.27530840039253235,0.19922670722007751,0.559237003326416,0.19381092488765717,0.32706040143966675,0.17251674830913544,0.13399295508861542,0.3793783485889435,0.23578834533691406,0.3793783485889435,0.559237003326416,0.12596635520458221,0.10998256504535675,0.11611614376306534,0.15103481709957123
downstream,0.2912798225879669,0.14339320361614227,0.3056260943412781,0.3671427369117737,0.2303594946861267,0.39502623677253723,0.2103852778673172,0.2580801248550415,0.17105834186077118,0.2580801248550415,0.3056260943412781,0.12350791692733765,0.17449340224266052,0.11845291405916214,0.10389719903469086
extension,0.2752544581890106,0.1329735517501831,0.3090997040271759,0.13596536219120026,0.19392533600330353,0.20119529962539673,0.147883340716362,0.25404298305511475,0.12400935590267181,0.25404298305511475,0.3090997040271759,0.17143842577934265,0.10511469095945358,0.07046227157115936,0.24237069487571716
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.18806886672973633,0.41536515951156616,0.17769569158554077,0.3313661813735962,0.5591574311256409,0.31984585523605347,0.5591574311256409,0.5934505462646484,0.3548945486545563,0.22156640887260437,0.2498820275068283,0.4130953550338745
