,what,type,of,vote,must,the,parliament,have,to,either,block,or,suggest,changes,to,the,commission,'s,proposals,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22779929637908936,0.2713140547275543,1.0,0.26521381735801697,0.40389683842658997,0.535392165184021,0.3795609474182129,0.20056472718715668,0.4174870550632477,0.2682655155658722,0.3427845537662506,0.535392165184021,1.0,0.24418850243091583,-0.01540423184633255,0.2984413504600525,0.22068053483963013
essence,0.33384495973587036,0.1521334946155548,0.2728561758995056,0.11901252716779709,0.24533534049987793,0.299844890832901,0.15992042422294617,0.2395586520433426,0.2630870044231415,0.2727518081665039,0.19862286746501923,0.2742350995540619,0.2744680345058441,0.2672390937805176,0.2630870044231415,0.299844890832901,0.16931885480880737,0.07316137105226517,0.1323164850473404,0.18491655588150024
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.2031867355108261,0.3093329071998596,0.5823672413825989,0.19676777720451355,0.3613572418689728,0.42745086550712585,0.3086068034172058,0.2306692898273468,0.41870999336242676,0.2519548237323761,0.23356598615646362,0.42745086550712585,0.5823672413825989,0.19761666655540466,0.02396530658006668,0.17024831473827362,0.22961433231830597
there,0.35085538029670715,0.2376682013273239,0.44397735595703125,0.2549680471420288,0.2637070417404175,0.47025805711746216,0.17849694192409515,0.5194604992866516,0.40669289231300354,0.33604201674461365,0.18995437026023865,0.4594070315361023,0.3171917796134949,0.29899370670318604,0.40669289231300354,0.47025805711746216,0.12579765915870667,-0.04860968142747879,0.2745121717453003,0.29405656456947327
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.20448122918605804,0.3923934996128082,0.40399202704429626,0.09480422735214233,0.6577680706977844,0.3504326641559601,0.4060882031917572,0.1773747056722641,0.5374364256858826,0.31504109501838684,0.22349703311920166,0.3504326641559601,0.40399202704429626,0.1472276747226715,-0.008927806280553341,0.23465047776699066,0.24591213464736938
three,0.24888746440410614,0.14463180303573608,0.3844621181488037,0.10056564956903458,0.2430988997220993,0.43452659249305725,0.20437894761562347,0.3712083399295807,0.3043823838233948,0.27218544483184814,0.1686868965625763,0.25355035066604614,0.19467073678970337,0.156560018658638,0.3043823838233948,0.43452659249305725,0.16007938981056213,0.03946888819336891,0.24009360373020172,0.20928427577018738
readings,0.2730479836463928,0.05010024085640907,0.21949197351932526,0.13419313728809357,0.23464001715183258,0.2426811158657074,0.20902755856513977,0.2606675922870636,0.27120736241340637,0.2573156952857971,0.18427005410194397,0.28076261281967163,0.22025567293167114,0.3179066479206085,0.27120736241340637,0.2426811158657074,0.21721357107162476,0.042171329259872437,0.22118473052978516,0.21498538553714752
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.27201512455940247,0.2231246829032898,0.4933079481124878,0.25442883372306824,0.3541618287563324,0.44245919585227966,0.28548023104667664,0.24290941655635834,0.3769497275352478,0.2924377918243408,0.23045918345451355,0.44245919585227966,0.4933079481124878,0.19528092443943024,-0.0016132977325469255,0.25202223658561707,0.31091248989105225
starting,0.25271084904670715,0.18237248063087463,0.23960795998573303,0.16746526956558228,0.20384472608566284,0.37272053956985474,0.11006837338209152,0.22771720588207245,0.2819414734840393,0.32787442207336426,0.2358735054731369,0.20661771297454834,0.2085946947336197,0.2153564989566803,0.2819414734840393,0.37272053956985474,0.15646785497665405,-0.013342699967324734,0.22575822472572327,0.19133803248405457
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.12805518507957458,0.28391414880752563,0.4223487675189972,0.14422082901000977,0.48046383261680603,0.4239959120750427,0.33237120509147644,0.17197369039058685,0.38158315420150757,0.286651074886322,0.23350933194160461,0.4239959120750427,0.4223487675189972,0.10247842222452164,-0.04624466598033905,0.17115652561187744,0.2433311939239502
