,when,did,the,accident,occur,?
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.23779717087745667,0.26916563510894775,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,1.0,0.18348170816898346,0.26611819863319397,0.22068053483963013
fall,0.2653101086616516,0.22550886869430542,0.3639753758907318,0.23094727098941803,0.2184542566537857,0.1656162142753601
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.1727704554796219,0.24223870038986206,0.1826142966747284
1937,0.03458652272820473,-0.06755529344081879,0.11461441218852997,-0.006723557133227587,0.09159479290246964,-0.06511971354484558
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.24328306317329407,0.28566715121269226,0.31091248989105225
after,0.5331412553787231,0.30330467224121094,0.4565047025680542,0.26420170068740845,0.19416514039039612,0.16608688235282898
midnight,0.20717847347259521,0.19075898826122284,0.1777835637331009,0.18675091862678528,0.23070791363716125,0.12207240611314774
one,0.38307374715805054,0.27659472823143005,0.5514441132545471,0.23094631731510162,0.2851044833660126,0.2673267424106598
night,0.23696854710578918,0.22770699858665466,0.2817382514476776,0.10015067458152771,0.15521617233753204,0.13794848322868347
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.24328306317329407,0.28566715121269226,0.31091248989105225
tesla,0.1504557579755783,0.09757418930530548,0.1324402391910553,0.1518668681383133,0.053708095103502274,0.10250775516033173
left,0.3236202895641327,0.27335280179977417,0.33113980293273926,0.1993461400270462,0.12326772511005402,0.13251960277557373
the,0.5091903209686279,0.34736719727516174,1.0,0.18348170816898346,0.26611819863319397,0.22068053483963013
hotel,0.14345425367355347,0.17199647426605225,0.22439035773277283,0.16979238390922546,0.1180865690112114,0.05846213921904564
new,0.257220059633255,0.227974995970726,0.3845241069793701,0.12998691201210022,0.16639143228530884,0.14782847464084625
yorker,0.18918398022651672,0.1377638429403305,0.2586967945098877,0.17499187588691711,0.11133898049592972,0.24605333805084229
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.16931231319904327,0.1967356950044632,0.29463258385658264
make,0.4273611307144165,0.3602050840854645,0.3146495521068573,0.13984166085720062,0.26161912083625793,0.28314751386642456
his,0.37120407819747925,0.3546801507472992,0.4394008219242096,0.2630104422569275,0.12365511059761047,0.18075084686279297
regular,0.25887250900268555,0.26963475346565247,0.3214086890220642,0.0547533854842186,0.23310469090938568,0.18334713578224182
commute,0.19878295063972473,0.16180072724819183,0.19449758529663086,0.2035452127456665,0.25904250144958496,0.1411130577325821
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.16931231319904327,0.1967356950044632,0.29463258385658264
the,0.5091903209686279,0.34736719727516174,1.0,0.18348170816898346,0.26611819863319397,0.22068053483963013
cathedral,0.17655059695243835,0.11988415569067001,0.23437000811100006,0.11952324956655502,0.10702736675739288,0.1257525086402893
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.17653004825115204,0.2570546269416809,0.20544172823429108
the,0.5091903209686279,0.34736719727516174,1.0,0.18348170816898346,0.26611819863319397,0.22068053483963013
library,0.18465861678123474,0.1352662295103073,0.19920319318771362,0.07742772251367569,0.0279567651450634,0.18938742578029633
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.16931231319904327,0.1967356950044632,0.29463258385658264
feed,0.25715431571006775,0.22311101853847504,0.2381063848733902,0.08887820690870285,0.2608577609062195,0.19348634779453278
the,0.5091903209686279,0.34736719727516174,1.0,0.18348170816898346,0.26611819863319397,0.22068053483963013
pigeons,0.220460444688797,0.23060807585716248,0.2509253919124603,0.1828557252883911,0.2451091855764389,0.193196639418602
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.22204282879829407,0.21290622651576996,0.4130953550338745
