,what,rainforest,covers,the,majority,of,the,amazon,basin,in,south,america,?
the,0.42745697498321533,0.2571161389350891,0.326327383518219,1.0,0.28757327795028687,0.733189046382904,1.0,0.260541707277298,0.24553915858268738,0.6662389636039734,0.3129390776157379,0.37090015411376953,0.22068053483963013
amazon,0.16355936229228973,0.48046615719795227,0.24473223090171814,0.260541707277298,0.14890789985656738,0.20143137872219086,0.260541707277298,1.0000001192092896,0.41143864393234253,0.12227833271026611,0.23864558339118958,0.37370234727859497,0.18144656717777252
rainforest,0.22127854824066162,1.0,0.32367271184921265,0.2571161389350891,0.1759079247713089,0.22522282600402832,0.2571161389350891,0.48046615719795227,0.4187982678413391,0.2207682877779007,0.3335019052028656,0.28362059593200684,0.1917492002248764
(,0.2411840260028839,0.16459959745407104,0.24089622497558594,0.33289089798927307,0.18431158363819122,0.35032153129577637,0.33289089798927307,0.11605185270309448,0.19185028970241547,0.3087427020072937,0.2013198882341385,0.20632019639015198,0.40561532974243164
portuguese,0.14623215794563293,0.20717577636241913,0.10344208776950836,0.22085627913475037,0.20018742978572845,0.1786283403635025,0.22085627913475037,0.23089911043643951,0.1333121508359909,0.1487773358821869,0.20503082871437073,0.15605980157852173,0.16310815513134003
:,-0.12022944539785385,-0.15356512367725372,-0.09630151838064194,-0.03403344005346298,0.05292347073554993,-0.08807745575904846,-0.03403344005346298,-0.12260514497756958,-0.045445751398801804,0.020521078258752823,-0.08850836753845215,-0.0727887898683548,-0.07156077772378922
floresta,0.1384691447019577,0.4738822281360626,0.15755441784858704,0.21878595650196075,0.12080442905426025,0.21774689853191376,0.21878595650196075,0.3101067841053009,0.2513791024684906,0.211809903383255,0.25832128524780273,0.1936623901128769,0.20958033204078674
amazônica,0.30211517214775085,0.3812522292137146,0.2286103069782257,0.2356344312429428,0.14525529742240906,0.229892298579216,0.2356344312429428,0.5546891689300537,0.28590986132621765,0.17427781224250793,0.2475886195898056,0.3724033534526825,0.30522429943084717
or,0.33867141604423523,0.20769043266773224,0.24902546405792236,0.4174870550632477,0.26763081550598145,0.3792596757411957,0.4174870550632477,0.18680624663829803,0.16375088691711426,0.3586423695087433,0.11688382923603058,0.1619986891746521,0.32389625906944275
amazônia,0.26944687962532043,0.3888537585735321,0.2350185364484787,0.23104360699653625,0.1561616063117981,0.23981676995754242,0.23104360699653625,0.5313607454299927,0.248366579413414,0.22489652037620544,0.2959873080253601,0.3549799919128418,0.28328636288642883
;,0.10986888408660889,0.06850466132164001,-0.013102086260914803,0.09152708947658539,0.03899484872817993,0.054534342139959335,0.09152708947658539,0.11813170462846756,0.07023162394762039,0.092739537358284,0.07080903649330139,0.20343229174613953,0.10349778085947037
spanish,0.13950122892856598,0.14861434698104858,0.11935213208198547,0.23213517665863037,0.17597539722919464,0.1623179167509079,0.23213517665863037,0.1525970697402954,0.06689527630805969,0.15696977078914642,0.17421473562717438,0.23185278475284576,0.14750491082668304
:,-0.12022944539785385,-0.15356512367725372,-0.09630151838064194,-0.03403344005346298,0.05292347073554993,-0.08807745575904846,-0.03403344005346298,-0.12260514497756958,-0.045445751398801804,0.020521078258752823,-0.08850836753845215,-0.0727887898683548,-0.07156077772378922
selva,0.13000909984111786,0.21624164283275604,0.2110760509967804,0.2070763111114502,0.17242567241191864,0.1659935563802719,0.2070763111114502,0.2834678292274475,0.18206459283828735,0.20365047454833984,0.14646364748477936,0.17727302014827728,0.19740213453769684
amazónica,0.272876501083374,0.3440046012401581,0.22625115513801575,0.23271195590496063,0.16133110225200653,0.23435340821743011,0.23271195590496063,0.5428899526596069,0.2579393982887268,0.17033793032169342,0.23349693417549133,0.3969668447971344,0.2787811756134033
",",0.3087472915649414,0.2737860679626465,0.3396594524383545,0.4933079481124878,0.30214112997055054,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.25865232944488525,0.5201468467712402,0.3256652057170868,0.253568559885025,0.31091248989105225
amazonía,0.21815381944179535,0.5050831437110901,0.26695677638053894,0.29567718505859375,0.1596459001302719,0.3068462312221527,0.29567718505859375,0.8843972682952881,0.4092555046081543,0.20345622301101685,0.29189029335975647,0.408520370721817,0.2333039939403534
or,0.33867141604423523,0.20769043266773224,0.24902546405792236,0.4174870550632477,0.26763081550598145,0.3792596757411957,0.4174870550632477,0.18680624663829803,0.16375088691711426,0.3586423695087433,0.11688382923603058,0.1619986891746521,0.32389625906944275
usually,0.32521089911460876,0.1972973644733429,0.262576699256897,0.36782920360565186,0.2689581513404846,0.33931583166122437,0.36782920360565186,0.12567207217216492,0.1085345521569252,0.28848564624786377,0.1627945452928543,0.20631034672260284,0.19435347616672516
amazonia,0.1666174829006195,0.5159031748771667,0.24651840329170227,0.27672475576400757,0.1891157329082489,0.30166372656822205,0.27672475576400757,0.7831899523735046,0.3882264196872711,0.21502399444580078,0.32796838879585266,0.4066682755947113,0.15856796503067017
;,0.10986888408660889,0.06850466132164001,-0.013102086260914803,0.09152708947658539,0.03899484872817993,0.054534342139959335,0.09152708947658539,0.11813170462846756,0.07023162394762039,0.092739537358284,0.07080903649330139,0.20343229174613953,0.10349778085947037
french,0.17393042147159576,0.15701204538345337,0.11415919661521912,0.2555147111415863,0.15064892172813416,0.19450366497039795,0.2555147111415863,0.12323832511901855,0.1043286994099617,0.22093388438224792,0.18581080436706543,0.15473008155822754,0.1386883556842804
:,-0.12022944539785385,-0.15356512367725372,-0.09630151838064194,-0.03403344005346298,0.05292347073554993,-0.08807745575904846,-0.03403344005346298,-0.12260514497756958,-0.045445751398801804,0.020521078258752823,-0.08850836753845215,-0.0727887898683548,-0.07156077772378922
forêt,0.2150212973356247,0.3573444187641144,0.26864421367645264,0.33411428332328796,0.1518484503030777,0.3045118749141693,0.33411428332328796,0.2398947775363922,0.3319513201713562,0.3253697454929352,0.30223414301872253,0.1662684977054596,0.2549300193786621
amazonienne,0.20096305012702942,0.43651124835014343,0.26078879833221436,0.32400795817375183,0.16061989963054657,0.3291361927986145,0.32400795817375183,0.714695930480957,0.40957626700401306,0.2595638930797577,0.3280082941055298,0.33637794852256775,0.18666431307792664
;,0.10986888408660889,0.06850466132164001,-0.013102086260914803,0.09152708947658539,0.03899484872817993,0.054534342139959335,0.09152708947658539,0.11813170462846756,0.07023162394762039,0.092739537358284,0.07080903649330139,0.20343229174613953,0.10349778085947037
dutch,0.1643560230731964,0.14289040863513947,0.0799255296587944,0.1705695390701294,0.15865696966648102,0.14408773183822632,0.1705695390701294,0.056315839290618896,0.02338571846485138,0.17559829354286194,0.19262860715389252,0.14475110173225403,0.1081366017460823
:,-0.12022944539785385,-0.15356512367725372,-0.09630151838064194,-0.03403344005346298,0.05292347073554993,-0.08807745575904846,-0.03403344005346298,-0.12260514497756958,-0.045445751398801804,0.020521078258752823,-0.08850836753845215,-0.0727887898683548,-0.07156077772378922
amazoneregenwoud,0.27623704075813293,0.46189379692077637,0.28556278347969055,0.3651854991912842,0.23449364304542542,0.3762718141078949,0.3651854991912842,0.7008691430091858,0.3684324026107788,0.26839157938957214,0.33048659563064575,0.37796708941459656,0.28225037455558777
