,what,kind,of,programs,did,nbc,red,test,?
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.21757709980010986,0.34736719727516174,0.20618264377117157,0.2817947566509247,0.19235259294509888,0.22068053483963013
nbc,0.1638578325510025,0.1190882995724678,0.12012486904859543,0.3764050602912903,0.1728760302066803,0.9999999403953552,0.06410543620586395,0.14368250966072083,0.1680917739868164
blue,0.17981211841106415,0.10567447543144226,0.23528409004211426,0.10292480140924454,0.10842680186033249,0.16533015668392181,0.5029496550559998,0.16686488687992096,0.15668673813343048
network,0.16917307674884796,0.1388760656118393,0.21800683438777924,0.41126325726509094,0.08572790026664734,0.4656192362308502,0.08126477152109146,0.15592072904109955,0.17853789031505585
was,0.22111038863658905,0.1604125201702118,0.4069072902202606,0.16294841468334198,0.41399896144866943,0.251334547996521,0.1680612564086914,0.13941486179828644,0.18412111699581146
created,0.20714101195335388,0.20588818192481995,0.32043445110321045,0.22368520498275757,0.26176875829696655,0.1640864461660385,0.18131698668003082,0.19160905480384827,0.21177415549755096
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.2276356965303421,0.2593238651752472,0.19303210079669952,0.18753071129322052,0.1630522608757019,0.20430970191955566
1927,0.04495452716946602,0.11674448847770691,0.07575185596942902,-0.06496686488389969,0.08529499173164368,-0.004068835638463497,0.13875173032283783,-0.016391055658459663,0.09959670156240463
for,0.3017193675041199,0.28053680062294006,0.4185989499092102,0.3644469678401947,0.318512886762619,0.22503440082073212,0.2239922434091568,0.2297848016023636,0.264628142118454
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.21757709980010986,0.34736719727516174,0.20618264377117157,0.2817947566509247,0.19235259294509888,0.22068053483963013
primary,0.2113915979862213,0.14059722423553467,0.23414276540279388,0.23543483018875122,0.16609589755535126,0.09591410309076309,0.09882894903421402,0.18081535398960114,0.16286636888980865
purpose,0.33113807439804077,0.3389299809932709,0.23855330049991608,0.2198612093925476,0.2756897211074829,0.08048122376203537,0.16093413531780243,0.20611880719661713,0.21892647445201874
of,0.33290785551071167,0.2285657674074173,1.0,0.18037469685077667,0.2513895630836487,0.12012486904859543,0.22367064654827118,0.164191335439682,0.1826142966747284
testing,0.30686378479003906,0.18031063675880432,0.2067517340183258,0.2736359238624573,0.1872776448726654,0.12128932774066925,0.1327294409275055,0.7171741127967834,0.20438756048679352
new,0.2130378633737564,0.12515807151794434,0.343457967042923,0.19773654639720917,0.227974995970726,0.18140773475170135,0.1933780163526535,0.2500036656856537,0.14782847464084625
programs,0.23178155720233917,0.2005642056465149,0.18037469685077667,1.0000001192092896,0.2038959413766861,0.3764050602912903,0.06895797699689865,0.24910879135131836,0.16452431678771973
on,0.34226128458976746,0.1850661337375641,0.3966929316520691,0.28622785210609436,0.2670976221561432,0.22545471787452698,0.22689273953437805,0.22242271900177002,0.2714994251728058
markets,0.12341798096895218,0.1513487547636032,0.17050357162952423,0.2646280825138092,0.16989949345588684,0.18296551704406738,0.12533332407474518,0.10467793047428131,0.11209505051374435
of,0.33290785551071167,0.2285657674074173,1.0,0.18037469685077667,0.2513895630836487,0.12012486904859543,0.22367064654827118,0.164191335439682,0.1826142966747284
lesser,0.22745417058467865,0.1431913673877716,0.28063535690307617,0.13039305806159973,0.17610923945903778,0.11178423464298248,0.21143639087677002,0.0913805291056633,0.17708076536655426
importance,0.28515949845314026,0.23529034852981567,0.30354931950569153,0.23599568009376526,0.1789821833372116,0.15323996543884277,0.1316075474023819,0.14131446182727814,0.1653127521276474
than,0.29388150572776794,0.22328941524028778,0.33036211133003235,0.2717440724372864,0.24820660054683685,0.11661534011363983,0.1391400843858719,0.14415277540683746,0.24917294085025787
those,0.44466671347618103,0.24984702467918396,0.37935635447502136,0.2564215660095215,0.38519078493118286,0.07280642539262772,0.22019241750240326,0.16578201949596405,0.3328189253807068
