,what,does,paul,krugmen,think,has,had,an,observable,effect,on,inequality,in,the,u.s.,?
trade,0.1555381417274475,0.15124301612377167,0.051836974918842316,0.24786166846752167,0.18540439009666443,0.19811120629310608,0.18249842524528503,0.1803218424320221,0.13595059514045715,0.20736835896968842,0.20021353662014008,0.25770148634910583,0.23862801492214203,0.2681608200073242,0.04064552113413811,0.09336511790752411
economist,0.16227665543556213,0.12617771327495575,0.2359875589609146,0.2370302528142929,0.17283083498477936,0.13392169773578644,0.1350330263376236,0.15287752449512482,0.09741213172674179,0.15740816295146942,0.15839412808418274,0.2923416793346405,0.15501753985881805,0.1439521312713623,-0.0536680668592453,0.15311987698078156
paul,0.11217030137777328,0.10666957497596741,1.0000001192092896,0.258390873670578,0.10111529380083084,0.11477001756429672,0.15544436872005463,0.0946611762046814,0.07834894210100174,0.1566431075334549,0.1803305596113205,0.08842656016349792,0.21331322193145752,0.19191958010196686,-0.012473211623728275,0.16611461341381073
krugman,0.2720623016357422,0.19793182611465454,0.3424309492111206,0.6691645979881287,0.22688478231430054,0.19063928723335266,0.1587853878736496,0.23438100516796112,0.21002647280693054,0.19005319476127625,0.23139925301074982,0.3373347222805023,0.2509108781814575,0.2260167896747589,-0.025602685287594795,0.26502254605293274
estimates,0.2747287452220917,0.17119522392749786,0.0810340866446495,0.23103085160255432,0.24800711870193481,0.19494423270225525,0.2531057596206665,0.14884810149669647,0.34192079305648804,0.24010585248470306,0.23152662813663483,0.2713223099708557,0.22780407965183258,0.26259228587150574,0.028540056198835373,0.19916187226772308
that,0.6297725439071655,0.4764937460422516,0.1662633866071701,0.16953620314598083,0.5798900723457336,0.41272613406181335,0.4407361149787903,0.365763783454895,0.3535507917404175,0.3663281202316284,0.42569106817245483,0.3467824459075928,0.435920387506485,0.5473989248275757,0.006652553100138903,0.32716336846351624
trade,0.1555381417274475,0.15124301612377167,0.051836974918842316,0.24786166846752167,0.18540439009666443,0.19811120629310608,0.18249842524528503,0.1803218424320221,0.13595059514045715,0.20736835896968842,0.20021353662014008,0.25770148634910583,0.23862801492214203,0.2681608200073242,0.04064552113413811,0.09336511790752411
liberalisation,0.31481683254241943,0.22591452300548553,0.12350500375032425,0.19204920530319214,0.37006834149360657,0.21573902666568756,0.19490602612495422,0.2378782480955124,0.3733007311820984,0.3320637047290802,0.19125989079475403,0.5364236235618591,0.19928205013275146,0.30189090967178345,-0.10820293426513672,0.24093617498874664
has,0.20338068902492523,0.42885294556617737,0.11477001756429672,0.15381799638271332,0.28152790665626526,1.0,0.5787927508354187,0.2991473078727722,0.22326995432376862,0.1701475977897644,0.34604379534721375,0.16442200541496277,0.4173259735107422,0.4177538752555847,0.014947312884032726,0.15994466841220856
had,0.23849567770957947,0.2046971619129181,0.15544436872005463,0.1944388598203659,0.29853296279907227,0.5787927508354187,0.9999999403953552,0.22327841818332672,0.16027285158634186,0.13675934076309204,0.36692994832992554,0.19118130207061768,0.385026752948761,0.3875846862792969,0.11019495129585266,0.20728366076946259
