,what,will,be,the,importance,of,the,pharmacist,in,coming,decades,?
in,0.30808621644973755,0.2580665349960327,0.3481820821762085,0.6662389636039734,0.3019990622997284,0.5696388483047485,0.6662389636039734,0.2133195549249649,1.0,0.27726781368255615,0.3152613043785095,0.20430970191955566
the,0.42745697498321533,0.3635469079017639,0.4248143136501312,1.0,0.2901651859283447,0.733189046382904,1.0,0.18885643780231476,0.6662389636039734,0.4306776821613312,0.3027496635913849,0.22068053483963013
coming,0.42659226059913635,0.3631154000759125,0.2596253752708435,0.4306776821613312,0.18764926493167877,0.31330832839012146,0.4306776821613312,0.11453413218259811,0.27726781368255615,0.9999998807907104,0.22687073051929474,0.2504907250404358
decades,0.12673556804656982,0.18931980431079865,0.23821181058883667,0.3027496635913849,0.2944891154766083,0.22400543093681335,0.3027496635913849,0.055045753717422485,0.3152613043785095,0.22687073051929474,0.9999999403953552,0.06808225065469742
",",0.3087472915649414,0.29706671833992004,0.39254459738731384,0.4933079481124878,0.2806650400161743,0.4946078956127167,0.4933079481124878,0.2383713573217392,0.5201468467712402,0.32352879643440247,0.2549861669540405,0.31091248989105225
pharmacists,0.28274545073509216,0.2662326395511627,0.2688070833683014,0.24311043322086334,0.15430119633674622,0.20506609976291656,0.24311043322086334,0.8848034143447876,0.22358480095863342,0.1803336888551712,0.1465546041727066,0.1797308325767517
are,0.29724663496017456,0.39387544989585876,0.5556803941726685,0.40399202704429626,0.28000354766845703,0.39081433415412903,0.40399202704429626,0.17935334146022797,0.3841303884983063,0.2736581563949585,0.2212454378604889,0.24591213464736938
expected,0.3720298707485199,0.5220105051994324,0.35050156712532043,0.3108554780483246,0.24985811114311218,0.26944905519485474,0.3108554780483246,0.11283139139413834,0.2959997057914734,0.3404023349285126,0.2772919535636902,0.19474582374095917
to,0.455847829580307,0.5091033577919006,0.4972836375236511,0.535392165184021,0.2892669439315796,0.41548454761505127,0.535392165184021,0.14544889330863953,0.45010748505592346,0.37835928797721863,0.22118385136127472,0.29463258385658264
become,0.27134042978286743,0.34304362535476685,0.4037199020385742,0.31731709837913513,0.21514365077018738,0.31678006052970886,0.31731709837913513,0.13698309659957886,0.23238378763198853,0.2680625915527344,0.28240498900413513,0.19511328637599945
more,0.3484537899494171,0.3627133071422577,0.5445363521575928,0.39758381247520447,0.26167669892311096,0.30478984117507935,0.39758381247520447,0.10532047599554062,0.32563260197639465,0.25121134519577026,0.3285691738128662,0.27894994616508484
integral,0.25464048981666565,0.20859909057617188,0.20566944777965546,0.2724011540412903,0.2686263918876648,0.2775067985057831,0.2724011540412903,0.19877858459949493,0.20927265286445618,0.0858863964676857,0.23301063477993011,0.1463361233472824
within,0.2498195916414261,0.2683166265487671,0.29054832458496094,0.39827480912208557,0.2936863601207733,0.39594778418540955,0.39827480912208557,0.09619706124067307,0.40576374530792236,0.1484176367521286,0.28784507513046265,0.1870293766260147
the,0.42745697498321533,0.3635469079017639,0.4248143136501312,1.0,0.2901651859283447,0.733189046382904,1.0,0.18885643780231476,0.6662389636039734,0.4306776821613312,0.3027496635913849,0.22068053483963013
health,0.21460163593292236,0.2602420151233673,0.2504793405532837,0.2340974360704422,0.29378077387809753,0.28076469898223877,0.2340974360704422,0.2918277382850647,0.2500189542770386,0.16666072607040405,0.25807029008865356,0.16094304621219635
care,0.2973911762237549,0.2750263512134552,0.3111850321292877,0.1663842648267746,0.2529585659503937,0.20533065497875214,0.1663842648267746,0.27730321884155273,0.14557574689388275,0.18283416330814362,0.13120123744010925,0.24279968440532684
system,0.23557309806346893,0.21854417026042938,0.24878063797950745,0.3233085572719574,0.16986168920993805,0.25597915053367615,0.3233085572719574,0.11863894760608673,0.21978288888931274,0.16737383604049683,0.17559270560741425,0.15556083619594574
.,0.3567904531955719,0.33682769536972046,0.4383580684661865,0.5934505462646484,0.22653226554393768,0.5352458953857422,0.5934505462646484,0.2583400309085846,0.5591574311256409,0.32087481021881104,0.25086674094200134,0.4130953550338745
,what,will,be,the,importance,of,the,pharmacist,in,coming,decades,?
