,what,major,category,of,conservation,result,in,an,object,that,is,more,attractive,and,more,comprehensible,to,the,viewer,?
the,0.42745697498321533,0.31775903701782227,0.23679770529270172,0.733189046382904,0.2678036689758301,0.27778977155685425,0.6662389636039734,0.4207492768764496,0.22418850660324097,0.5473989248275757,0.5823672413825989,0.39758381247520447,0.18968547880649567,0.5171257257461548,0.39758381247520447,0.24719218909740448,0.535392165184021,1.0,0.28629904985427856,0.22068053483963013
other,0.341873437166214,0.3157308101654053,0.2535855770111084,0.38583824038505554,0.2080872654914856,0.18025074899196625,0.39989137649536133,0.1556563824415207,0.22065003216266632,0.5570666193962097,0.25895947217941284,0.49628373980522156,0.2673025131225586,0.5504306554794312,0.49628373980522156,0.2750319540500641,0.4193183183670044,0.44152235984802246,0.24883130192756653,0.24682199954986572
major,0.21026742458343506,0.9999998807907104,0.23422037065029144,0.2641255557537079,0.1251140981912613,0.14152859151363373,0.3249945342540741,0.14518070220947266,0.09108911454677582,0.2570328712463379,0.19079607725143433,0.193817600607872,0.14105288684368134,0.29795366525650024,0.193817600607872,0.2096066027879715,0.19240309298038483,0.31775903701782227,0.07107967883348465,0.19788557291030884
category,0.22909165918827057,0.23422037065029144,1.0,0.18799246847629547,0.2069637030363083,0.1647726446390152,0.20626798272132874,0.14415106177330017,0.17913135886192322,0.28170686960220337,0.1963299959897995,0.22768305242061615,0.13967399299144745,0.2866910994052887,0.22768305242061615,0.24417738616466522,0.2317419797182083,0.23679770529270172,0.16246207058429718,0.2558678686618805
is,0.28837618231773376,0.19079607725143433,0.1963299959897995,0.4854315221309662,0.24397225677967072,0.19420543313026428,0.5394441485404968,0.4654068350791931,0.30146875977516174,0.3995479643344879,1.0,0.2946030795574188,0.2947801947593689,0.3859752118587494,0.2946030795574188,0.3065505921840668,0.42745086550712585,0.5823672413825989,0.1979966014623642,0.22961433231830597
``,0.008517155423760414,0.044031765311956406,0.09169287234544754,0.06780257821083069,-0.05680035054683685,0.13586843013763428,0.04765888676047325,0.03770720958709717,0.021910512819886208,0.05285148695111275,0.058766357600688934,0.08673381805419922,-0.12847495079040527,0.036644238978624344,0.08673381805419922,0.054507821798324585,0.06720756739377975,0.029072100296616554,-0.06440338492393494,0.0685480609536171
interventive,0.33146369457244873,0.18202917277812958,0.1074814423918724,0.22746700048446655,0.2689093351364136,0.27913689613342285,0.17268593609333038,0.23106516897678375,0.19321542978286743,0.29311707615852356,0.17727822065353394,0.2247677594423294,0.11296384781599045,0.21312375366687775,0.2247677594423294,0.3307011127471924,0.31402865052223206,0.23812465369701385,0.17805451154708862,0.2514553964138031
'',0.08143015950918198,0.003909514285624027,-0.03485608100891113,0.13035868108272552,-0.006741742137819529,0.030314194038510323,0.07432962208986282,0.09471100568771362,-0.037886347621679306,0.007880004122853279,0.0793738141655922,0.006126302294433117,0.039188168942928314,0.021612688899040222,0.006126302294433117,0.007657638750970364,-0.009905828163027763,0.041273195296525955,0.011348694562911987,0.018684765323996544
conservation,0.18246638774871826,0.1251140981912613,0.2069637030363083,0.2804107666015625,1.0,0.19246990978717804,0.24742233753204346,0.25832682847976685,0.19031555950641632,0.21553480625152588,0.24397225677967072,0.20114439725875854,0.20585601031780243,0.2740582227706909,0.20114439725875854,0.3023681342601776,0.2638911306858063,0.2678036689758301,0.19054052233695984,0.1391831338405609
",",0.3087472915649414,0.29355156421661377,0.2798294425010681,0.4946078956127167,0.23182041943073273,0.23341737687587738,0.5201468467712402,0.3581022024154663,0.149229496717453,0.4137537479400635,0.4691906273365021,0.3696524500846863,0.18948246538639069,0.6633074283599854,0.3696524500846863,0.27788540720939636,0.44245919585227966,0.4933079481124878,0.19579088687896729,0.31091248989105225
this,0.5489566326141357,0.26410701870918274,0.3404353857040405,0.45148900151252747,0.3049583435058594,0.33617642521858215,0.45205554366111755,0.41881775856018066,0.3117026686668396,0.6909449696540833,0.480927973985672,0.5430014133453369,0.2605857253074646,0.42353692650794983,0.5430014133453369,0.39947813749313354,0.5759071707725525,0.6274310946464539,0.2999427914619446,0.3155723512172699
includes,0.17138352990150452,0.23572349548339844,0.2499707043170929,0.4359378218650818,0.26681679487228394,0.08337635546922684,0.32460328936576843,0.18626248836517334,0.12311453372240067,0.21996237337589264,0.4033885896205902,0.24394109845161438,0.2260744571685791,0.3265656530857086,0.24394109845161438,0.2529117465019226,0.19327151775360107,0.3388250470161438,0.13847896456718445,0.14011523127555847
:,-0.12022944539785385,0.02358236350119114,0.04441714286804199,-0.08807745575904846,-0.1084209606051445,-0.01624254509806633,0.020521078258752823,-0.08487251400947571,-0.05715533718466759,-0.12200210988521576,-0.07222653180360794,-0.05062626302242279,-0.07648821920156479,-0.04625999182462692,-0.05062626302242279,-0.10038559883832932,-0.09243495017290115,-0.03403344005346298,-0.038601066917181015,-0.07156077772378922
