,what,were,the,native,inhabitants,of,australia,called,?
the,0.42745697498321533,0.3906462490558624,1.0,0.24374492466449738,0.2644902467727661,0.733189046382904,0.26828548312187195,0.489897221326828,0.22068053483963013
country,0.22705033421516418,0.19303756952285767,0.30432501435279846,0.29464036226272583,0.21244533360004425,0.28866857290267944,0.33911964297294617,0.1977362334728241,0.12647280097007751
of,0.33290785551071167,0.34038281440734863,0.733189046382904,0.2524676024913788,0.26628780364990234,1.0,0.2669609785079956,0.4222904443740845,0.1826142966747284
australia,0.1913539320230484,0.19584374129772186,0.26828548312187195,0.2355956882238388,0.118925079703331,0.2669609785079956,1.0,0.18822696805000305,0.15702682733535767
serves,0.18323971331119537,0.10774780064821243,0.3302452266216278,0.15651901066303253,0.2117556482553482,0.3168865740299225,0.0946560874581337,0.20778803527355194,0.11498242616653442
as,0.31749409437179565,0.3025437891483307,0.48381632566452026,0.22190400958061218,0.18672418594360352,0.3886612355709076,0.21074992418289185,0.2827680706977844,0.27043893933296204
a,0.3320399522781372,0.17203083634376526,0.5829201340675354,0.22733892500400543,0.2153775542974472,0.5052502155303955,0.17524918913841248,0.4868806302547455,0.23916715383529663
case,0.30770957469940186,0.19083712995052338,0.31022098660469055,0.1609230786561966,0.15726687014102936,0.24743439257144928,0.17193958163261414,0.2487059086561203,0.33232852816581726
study,0.3123835027217865,0.20556800067424774,0.2533665597438812,0.1657649129629135,0.16942420601844788,0.29377859830856323,0.15910422801971436,0.27654188871383667,0.15902167558670044
in,0.30808621644973755,0.3815755248069763,0.6662389636039734,0.24378694593906403,0.29904377460479736,0.5696388483047485,0.2697675824165344,0.40847352147102356,0.20430970191955566
relation,0.3144443929195404,0.1374182105064392,0.2734622061252594,0.1324445903301239,0.13211634755134583,0.29761821031570435,0.17568817734718323,0.25910255312919617,0.1898830384016037
