,what,is,the,opposite,of,an,ongoing,role,of,teaching,?
informal,0.31096258759498596,0.23649168014526367,0.24695700407028198,0.15894928574562073,0.2598820626735687,0.24982379376888275,0.26811572909355164,0.14748476445674896,0.2598820626735687,0.2253946214914322,0.17082542181015015
learning,0.29806870222091675,0.19600103795528412,0.2504628002643585,0.20059533417224884,0.23709416389465332,0.25262343883514404,0.17573457956314087,0.1573142409324646,0.23709416389465332,0.6010281443595886,0.25810256600379944
may,0.25739946961402893,0.322792649269104,0.2694292366504669,0.21232648193836212,0.26447007060050964,0.30457955598831177,0.2950478792190552,0.15055087208747864,0.26447007060050964,0.176097571849823,0.2768254578113556
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.2742009162902832,0.33904364705085754,0.33041056990623474,0.23346158862113953,0.1769188493490219,0.33904364705085754,0.2096574753522873,0.3324260413646698
assisted,0.1354658454656601,0.12669740617275238,0.22827282547950745,0.11952515691518784,0.282266229391098,0.18339183926582336,0.18638455867767334,0.18976807594299316,0.282266229391098,0.25715529918670654,0.08560974150896072
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.1759098321199417,0.3646814823150635,0.2719563841819763,0.16419941186904907,0.20783835649490356,0.3646814823150635,0.16832254827022552,0.17966607213020325
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.22833546996116638,0.5052502155303955,0.44552403688430786,0.28042149543762207,0.22880133986473083,0.5052502155303955,0.21643459796905518,0.23916715383529663
teacher,0.20492632687091827,0.2001669555902481,0.17760860919952393,0.09455836564302444,0.19968076050281525,0.19733460247516632,0.05816943943500519,0.18514810502529144,0.19968076050281525,0.6199770569801331,0.1797819435596466
occupying,0.24198909103870392,0.1879313588142395,0.3747284412384033,0.17857499420642853,0.37898358702659607,0.1493888646364212,0.21716682612895966,0.11769132316112518,0.37898358702659607,0.20500600337982178,0.09100895375013351
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.22833546996116638,0.5052502155303955,0.44552403688430786,0.28042149543762207,0.22880133986473083,0.5052502155303955,0.21643459796905518,0.23916715383529663
transient,0.32581591606140137,0.27895647287368774,0.29381129145622253,0.3059977889060974,0.2858695983886719,0.20639222860336304,0.22430847585201263,0.18104133009910583,0.2858695983886719,0.16938216984272003,0.18034781515598297
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.2981303632259369,0.3792596757411957,0.3096676766872406,0.28056809306144714,0.15656788647174835,0.3792596757411957,0.15916350483894348,0.32389625906944275
ongoing,0.30659452080726624,0.23759374022483826,0.3282879889011383,0.15061035752296448,0.26523080468177795,0.2526296079158783,1.0,0.2289489060640335,0.26523080468177795,0.16197775304317474,0.24929021298885345
role,0.22614215314388275,0.20847192406654358,0.26607486605644226,0.20008224248886108,0.1797693818807602,0.23719340562820435,0.2289489060640335,0.9999998807907104,0.1797693818807602,0.16423286497592926,0.18676944077014923
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2169174700975418,0.4946078956127167,0.3581022024154663,0.23786327242851257,0.199491485953331,0.4946078956127167,0.2547089457511902,0.31091248989105225
such,0.23989605903625488,0.23545363545417786,0.3575236201286316,0.22720082104206085,0.3209529519081116,0.2025681436061859,0.2719174921512604,0.22270740568637848,0.3209529519081116,0.23893550038337708,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.274506539106369,0.3886612355709076,0.37218472361564636,0.2460494488477707,0.4036863148212433,0.3886612355709076,0.2660074830055237,0.27043893933296204
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.22833546996116638,0.5052502155303955,0.44552403688430786,0.28042149543762207,0.22880133986473083,0.5052502155303955,0.21643459796905518,0.23916715383529663
family,0.16391263902187347,0.20392227172851562,0.2394849956035614,0.0881216749548912,0.1893671154975891,0.12101688235998154,0.09580042958259583,0.1271856278181076,0.1893671154975891,0.20010533928871155,0.15222905576229095
member,0.09932345896959305,0.2522773742675781,0.2806392312049866,0.08433273434638977,0.2701796889305115,0.20242485404014587,0.17069414258003235,0.2071424275636673,0.2701796889305115,0.15596403181552887,0.06826172769069672
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2169174700975418,0.4946078956127167,0.3581022024154663,0.23786327242851257,0.199491485953331,0.4946078956127167,0.2547089457511902,0.31091248989105225
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.2981303632259369,0.3792596757411957,0.3096676766872406,0.28056809306144714,0.15656788647174835,0.3792596757411957,0.15916350483894348,0.32389625906944275
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.1759098321199417,0.3646814823150635,0.2719563841819763,0.16419941186904907,0.20783835649490356,0.3646814823150635,0.16832254827022552,0.17966607213020325
anyone,0.5307026505470276,0.3013885021209717,0.3019411265850067,0.16218644380569458,0.1889777034521103,0.3074423372745514,0.2822118103504181,0.12909524142742157,0.1889777034521103,0.27692607045173645,0.4948124587535858
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.21021683514118195,0.41827285289764404,0.2730048894882202,0.23732483386993408,0.1617812067270279,0.41827285289764404,0.17801906168460846,0.2433311939239502
knowledge,0.3869657814502716,0.18001945316791534,0.22194717824459076,0.15154020488262177,0.25563913583755493,0.24387389421463013,0.26158836483955383,0.21446877717971802,0.25563913583755493,0.4369126558303833,0.2853184640407562
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.2981303632259369,0.3792596757411957,0.3096676766872406,0.28056809306144714,0.15656788647174835,0.3792596757411957,0.15916350483894348,0.32389625906944275
skills,0.28520897030830383,0.15945598483085632,0.20564566552639008,0.10773201286792755,0.1968628317117691,0.23611542582511902,0.14539547264575958,0.24690672755241394,0.1968628317117691,0.4624485671520233,0.1864275485277176
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2634362578392029,0.5696388483047485,0.2605783939361572,0.2755858302116394,0.243671715259552,0.5696388483047485,0.2659059166908264,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.2730693221092224,0.733189046382904,0.4207492768764496,0.3282879889011383,0.26607486605644226,0.733189046382904,0.2182690054178238,0.22068053483963013
wider,0.33491194248199463,0.21796871721744537,0.3782990276813507,0.17191451787948608,0.27333343029022217,0.2569079101085663,0.21868896484375,0.14519178867340088,0.27333343029022217,0.18246717751026154,0.20532488822937012
community,0.29032719135284424,0.26023760437965393,0.2601400911808014,0.11955370754003525,0.2367410808801651,0.24982967972755432,0.2692323625087738,0.1628289669752121,0.2367410808801651,0.24182043969631195,0.2380419820547104
setting,0.287603497505188,0.18220333755016327,0.2991926074028015,0.2009190320968628,0.22114701569080353,0.16761352121829987,0.2324957698583603,0.19687983393669128,0.22114701569080353,0.22354631125926971,0.16943378746509552
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.21231721341609955,0.5352458953857422,0.3581749200820923,0.25016430020332336,0.22067026793956757,0.5352458953857422,0.26479530334472656,0.4130953550338745
,what,is,the,opposite,of,an,ongoing,role,of,teaching,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2634362578392029,0.5696388483047485,0.2605783939361572,0.2755858302116394,0.243671715259552,0.5696388483047485,0.2659059166908264,0.20430970191955566
some,0.4491020441055298,0.3038453459739685,0.4566698372364044,0.24476629495620728,0.4300730526447296,0.2864145338535309,0.26628971099853516,0.2138490229845047,0.4300730526447296,0.32019031047821045,0.2562315762042999
countries,0.22319257259368896,0.254234254360199,0.33290645480155945,0.09355273842811584,0.2800094783306122,0.20055769383907318,0.25513985753059387,0.10794301331043243,0.2800094783306122,0.23569948971271515,0.15128466486930847
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2169174700975418,0.4946078956127167,0.3581022024154663,0.23786327242851257,0.199491485953331,0.4946078956127167,0.2547089457511902,0.31091248989105225
formal,0.26485171914100647,0.21914683282375336,0.245810866355896,0.19050173461437225,0.2704104781150818,0.24771077930927277,0.26404765248298645,0.19475407898426056,0.2704104781150818,0.2793137729167938,0.1989586055278778
education,0.19940856099128723,0.18778188526630402,0.23982903361320496,0.1696762591600418,0.3015166223049164,0.1506793051958084,0.0915423259139061,0.20236307382583618,0.3015166223049164,0.5356936454772949,0.18067774176597595
