,when,was,the,latin,version,of,the,word,norman,first,recorded,?
the,0.5091903209686279,0.48711544275283813,1.0,0.24914836883544922,0.27268242835998535,0.733189046382904,1.0,0.2835540175437927,0.23459704220294952,0.49448907375335693,0.2759207487106323,0.22068053483963013
english,0.17140372097492218,0.23000946640968323,0.23982001841068268,0.2661559283733368,0.2753444015979767,0.17198967933654785,0.23982001841068268,0.2780221700668335,0.3031848967075348,0.23087243735790253,0.2089284211397171,0.23251567780971527
name,0.24618172645568848,0.2646567225456238,0.3171212375164032,0.32249414920806885,0.2522346079349518,0.24075818061828613,0.3171212375164032,0.42211398482322693,0.1913251429796219,0.3163818418979645,0.13981635868549347,0.15381577610969543
``,0.07174111902713776,-0.012679691426455975,0.029072100296616554,0.077037014067173,-0.078781358897686,0.06780257821083069,0.029072100296616554,0.12403237819671631,0.014049350284039974,0.006519378628581762,-0.06672187894582748,0.0685480609536171
normans,0.21106265485286713,0.23244261741638184,0.2781367897987366,0.21156010031700134,0.1246226355433464,0.2173461765050888,0.2781367897987366,0.18003523349761963,0.7264348268508911,0.1762237548828125,0.1699272096157074,0.12354589998722076
'',-0.07688097655773163,0.04456103965640068,0.041273195296525955,-0.03235062584280968,0.06002119556069374,0.13035868108272552,0.041273195296525955,0.05225009098649025,0.028494004160165787,-0.03874251991510391,0.03543894737958908,0.018684765323996544
comes,0.27262797951698303,0.2611335217952728,0.32399529218673706,0.40219733119010925,0.20487475395202637,0.2978210747241974,0.32399529218673706,0.5785475969314575,0.23493121564388275,0.19311007857322693,0.17384201288223267,0.15980161726474762
from,0.405669629573822,0.31171464920043945,0.40150508284568787,0.2724078595638275,0.22506564855575562,0.4249346852302551,0.40150508284568787,0.2524685263633728,0.15190823376178741,0.23348960280418396,0.23261000216007233,0.19969791173934937
the,0.5091903209686279,0.48711544275283813,1.0,0.24914836883544922,0.27268242835998535,0.733189046382904,1.0,0.2835540175437927,0.23459704220294952,0.49448907375335693,0.2759207487106323,0.22068053483963013
french,0.18820616602897644,0.2523815333843231,0.2555147111415863,0.21988756954669952,0.10141567885875702,0.19450366497039795,0.2555147111415863,0.24176479876041412,0.2732321619987488,0.2345779836177826,0.09159025549888611,0.1386883556842804
words,0.30397534370422363,0.1941533237695694,0.29205581545829773,0.3602045476436615,0.23384635150432587,0.26259833574295044,0.29205581545829773,0.6706412434577942,0.20857982337474823,0.1534583419561386,0.17294320464134216,0.27074310183525085
normans/normanz,0.2507481276988983,0.2506401240825653,0.33589988946914673,0.21990054845809937,0.20535629987716675,0.27232614159584045,0.33589988946914673,0.1974131166934967,0.7807506918907166,0.20093968510627747,0.20479553937911987,0.20416118204593658
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2379935383796692,0.2078275829553604,0.4946078956127167,0.4933079481124878,0.24605005979537964,0.20281735062599182,0.34503069519996643,0.2596049904823303,0.31091248989105225
plural,0.15274961292743683,0.025088880211114883,0.2223895639181137,0.3474971055984497,0.053749244660139084,0.19516655802726746,0.2223895639181137,0.42613324522972107,0.13398286700248718,0.1311417520046234,0.022372029721736908,0.18751396238803864
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.23412929475307465,0.14166875183582306,1.0,0.733189046382904,0.23799116909503937,0.15827171504497528,0.3536086082458496,0.21896186470985413,0.1826142966747284
normant,0.2796800434589386,0.22225293517112732,0.28123927116394043,0.1400001049041748,0.16781044006347656,0.23447924852371216,0.28123927116394043,0.18477541208267212,0.7153688073158264,0.18148791790008545,0.13999448716640472,0.17980271577835083
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2379935383796692,0.2078275829553604,0.4946078956127167,0.4933079481124878,0.24605005979537964,0.20281735062599182,0.34503069519996643,0.2596049904823303,0.31091248989105225
modern,0.19283193349838257,0.23571695387363434,0.3283970355987549,0.25967079401016235,0.17971393465995789,0.3482828736305237,0.3283970355987549,0.2755415737628937,0.16781286895275116,0.33161288499832153,0.07194072753190994,0.12475407868623734
french,0.18820616602897644,0.2523815333843231,0.2555147111415863,0.21988756954669952,0.10141567885875702,0.19450366497039795,0.2555147111415863,0.24176479876041412,0.2732321619987488,0.2345779836177826,0.09159025549888611,0.1386883556842804
