,where,on,earth,is,free,oxygen,found,?
free,0.2434137910604477,0.20887258648872375,0.1706184595823288,0.2297741025686264,1.0,0.24067462980747223,0.13751792907714844,0.1278279572725296
oxygen,0.1672561913728714,0.2008662223815918,0.3065866231918335,0.21825239062309265,0.24067462980747223,0.9999999403953552,0.1673429310321808,0.16786395013332367
also,0.5413004159927368,0.3762153089046478,0.21414029598236084,0.5012649297714233,0.275182843208313,0.22828444838523865,0.30864807963371277,0.21848613023757935
occurs,0.28180405497550964,0.23673555254936218,0.23169559240341187,0.3398558497428894,0.1479932814836502,0.24230067431926727,0.28033196926116943,0.15104985237121582
in,0.5344807505607605,0.46853652596473694,0.18566735088825226,0.5394441485404968,0.25575435161590576,0.1672476977109909,0.39141854643821716,0.20430970191955566
solution,0.24498681724071503,0.13690192997455597,0.19452598690986633,0.2851429283618927,0.22722554206848145,0.36594289541244507,0.18990425765514374,0.28505614399909973
in,0.5344807505607605,0.46853652596473694,0.18566735088825226,0.5394441485404968,0.25575435161590576,0.1672476977109909,0.39141854643821716,0.20430970191955566
the,0.5003893971443176,0.5107308030128479,0.2801888585090637,0.5823672413825989,0.22231732308864594,0.20428593456745148,0.3452354073524475,0.22068053483963013
world,0.29259413480758667,0.22789059579372406,0.2691185772418976,0.24458536505699158,0.1722853183746338,0.16971558332443237,0.1707981675863266,0.17579582333564758
's,0.0007701900321990252,0.0026888418942689896,0.0661235973238945,0.02396530658006668,0.040468521416187286,-0.011648092418909073,0.005866709165275097,-0.023395681753754616
water,0.2081080675125122,0.18117135763168335,0.3175065517425537,0.2879090905189514,0.1925133764743805,0.4692627191543579,0.20654930174350739,0.14731885492801666
bodies,0.19804438948631287,0.17646045982837677,0.3312036097049713,0.22389735281467438,0.0883331224322319,0.2747831642627716,0.31567689776420593,0.18285469710826874
.,0.41390106081962585,0.49257001280784607,0.2542925775051117,0.4569662809371948,0.238864928483963,0.2554275095462799,0.3618174195289612,0.4130953550338745
