,what,gave,priestley,the,claim,to,being,the,first,discovered,of,oxygen,?
oxygen,0.16781960427761078,0.140678271651268,0.3131166696548462,0.20428593456745148,0.11206080764532089,0.24193501472473145,0.2253578156232834,0.20428593456745148,0.17370176315307617,0.24155859649181366,0.16848602890968323,0.9999999403953552,0.16786395013332367
was,0.22111038863658905,0.42201077938079834,0.2731526494026184,0.48711544275283813,0.15881295502185822,0.3636345863342285,0.5201660394668579,0.48711544275283813,0.5022147297859192,0.3177400529384613,0.4069072902202606,0.16070082783699036,0.18412111699581146
discovered,0.19526781141757965,0.20192977786064148,0.28183066844940186,0.27493247389793396,0.1820611208677292,0.17764629423618317,0.17455153167247772,0.27493247389793396,0.27240344882011414,0.9999998807907104,0.22074753046035767,0.24155859649181366,0.08452875912189484
independently,0.33537206053733826,0.13435424864292145,0.17167168855667114,0.2874889671802521,0.2808263301849365,0.2739957571029663,0.28940194845199585,0.2874889671802521,0.30032482743263245,0.2877114415168762,0.2837311625480652,0.1612648069858551,0.1474725753068924
by,0.2455483376979828,0.20645932853221893,0.23467956483364105,0.4408751428127289,0.1623682677745819,0.33534231781959534,0.4690866470336914,0.4408751428127289,0.3877052962779999,0.2291465401649475,0.3646814823150635,0.1292176991701126,0.17966607213020325
carl,0.10712110996246338,0.16681203246116638,0.1761094480752945,0.18868394196033478,0.10218647867441177,0.10107593238353729,0.07568835467100143,0.18868394196033478,0.24332676827907562,0.2345024198293686,0.18039077520370483,0.18195247650146484,0.1315603405237198
wilhelm,0.19761525094509125,0.19696064293384552,0.22878025472164154,0.19754266738891602,0.10507281869649887,0.18317948281764984,0.1360437124967575,0.19754266738891602,0.20364344120025635,0.25042060017585754,0.22128090262413025,0.15722836554050446,0.12678855657577515
scheele,0.13744013011455536,0.24895267188549042,0.3009266257286072,0.2593998312950134,0.1125255823135376,0.20940205454826355,0.20252680778503418,0.2593998312950134,0.30182066559791565,0.32501405477523804,0.21542732417583466,0.17754292488098145,0.15227437019348145
",",0.3087472915649414,0.2448001652956009,0.31705740094184875,0.4933079481124878,0.2664267122745514,0.44245919585227966,0.34499165415763855,0.4933079481124878,0.34503069519996643,0.26185235381126404,0.4946078956127167,0.21812842786312103,0.31091248989105225
in,0.30808621644973755,0.24152803421020508,0.20879624783992767,0.6662389636039734,0.16881313920021057,0.45010748505592346,0.33162933588027954,0.6662389636039734,0.4127444326877594,0.2801778018474579,0.5696388483047485,0.1672476977109909,0.20430970191955566
uppsala,0.15236195921897888,0.15379127860069275,0.28883588314056396,0.24459697306156158,0.14606605470180511,0.13661834597587585,0.13369673490524292,0.24459697306156158,0.1696198582649231,0.23814794421195984,0.26043835282325745,0.16387690603733063,0.19133128225803375
