,how,many,bodies,did,public,health,england,exhume,?
in,0.2601168751716614,0.41474202275276184,0.2551804780960083,0.2593238651752472,0.29074716567993164,0.2500189542770386,0.33311840891838074,0.33615076541900635,0.20430970191955566
2014,0.06244484707713127,-0.02496628649532795,0.028300072997808456,-0.002547524170950055,-0.05485791712999344,0.04007779434323311,0.059523388743400574,0.10505755990743637,0.058127544820308685
",",0.22659391164779663,0.40610817074775696,0.22888998687267303,0.3015086054801941,0.2588968276977539,0.2331448197364807,0.2732875645160675,0.36892855167388916,0.31091248989105225
scientists,0.3038296401500702,0.3708920478820801,0.3033364415168762,0.25425684452056885,0.1643909513950348,0.22803844511508942,0.11905907839536667,0.23013904690742493,0.16597221791744232
with,0.3525622487068176,0.35744401812553406,0.19903454184532166,0.25472134351730347,0.17061910033226013,0.21318627893924713,0.19487792253494263,0.2615005075931549,0.2433311939239502
public,0.15624697506427765,0.25114959478378296,0.13903772830963135,0.19092120230197906,1.0000001192092896,0.3813157081604004,0.19117191433906555,0.30988553166389465,0.19872993230819702
health,0.24691897630691528,0.2277422696352005,0.2930685579776764,0.21597589552402496,0.3813157081604004,1.0000001192092896,0.1783025711774826,0.2190755009651184,0.16094304621219635
england,0.17829500138759613,0.2581256926059723,0.1553415060043335,0.22023706138134003,0.19117191433906555,0.1783025711774826,0.9999998807907104,0.25821760296821594,0.13436897099018097
announced,0.0913727879524231,0.10106436163187027,0.08649473637342453,0.2690480351448059,0.21370159089565277,0.18480469286441803,0.10335517674684525,0.279676616191864,0.17416009306907654
the,0.33890387415885925,0.4335206151008606,0.2745959758758545,0.34736719727516174,0.22857438027858734,0.2340974360704422,0.28280043601989746,0.34963110089302063,0.22068053483963013
results,0.2975708544254303,0.23472784459590912,0.23421458899974823,0.27762722969055176,0.099403515458107,0.23474375903606415,0.14986418187618256,0.159831240773201,0.21797199547290802
of,0.2480744868516922,0.37253960967063904,0.2732889950275421,0.2513895630836487,0.2391265481710434,0.28076469898223877,0.24624483287334442,0.3313715159893036,0.1826142966747284
an,0.2520636022090912,0.2465583086013794,0.13373848795890808,0.22598257660865784,0.19681620597839355,0.1369510293006897,0.15076041221618652,0.27206820249557495,0.19793890416622162
examination,0.26654526591300964,0.2015807032585144,0.28445228934288025,0.21459154784679413,0.2966777980327606,0.39370760321617126,0.1877262443304062,0.21800529956817627,0.18956318497657776
of,0.2480744868516922,0.37253960967063904,0.2732889950275421,0.2513895630836487,0.2391265481710434,0.28076469898223877,0.24624483287334442,0.3313715159893036,0.1826142966747284
25,0.07429084926843643,0.11531345546245575,0.06333305686712265,0.19968153536319733,0.08374813944101334,0.07528969645500183,0.07651478797197342,0.06625153124332428,0.09614268690347672
bodies,0.22852851450443268,0.31160593032836914,1.0000001192092896,0.24644926190376282,0.13903772830963135,0.2930685579776764,0.1553415060043335,0.2910231649875641,0.18285469710826874
exhumed,0.16264796257019043,0.27193623781204224,0.34824371337890625,0.27066534757614136,0.22134661674499512,0.16405531764030457,0.16855326294898987,0.8043362498283386,0.20213422179222107
from,0.22939439117908478,0.33099696040153503,0.17247958481311798,0.20248863101005554,0.22383596003055573,0.17037683725357056,0.2081233561038971,0.32727083563804626,0.19969791173934937
