,what,is,the,term,for,catching,the,motivation,expressed,by,the,teacher,?
finally,0.33623361587524414,0.19816221296787262,0.4516841769218445,0.10005296766757965,0.276338666677475,0.24281252920627594,0.4516841769218445,0.13326495885849,0.20971494913101196,0.3416956067085266,0.4516841769218445,0.18686428666114807,0.16868984699249268
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4464869201183319,0.28151950240135193,0.4933079481124878,0.2550121545791626,0.24414940178394318,0.3680937886238098,0.4933079481124878,0.2884024977684021,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.4739971458911896,0.2535163164138794,1.0,0.23248690366744995,0.25207287073135376,0.4408751428127289,1.0,0.17760860919952393,0.22068053483963013
concept,0.28724339604377747,0.2750450372695923,0.2355310022830963,0.4290061593055725,0.24192313849925995,0.16359490156173706,0.2355310022830963,0.40393534302711487,0.34315192699432373,0.28219208121299744,0.2355310022830963,0.18534153699874878,0.17160645127296448
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.26047757267951965,0.4185989499092102,0.18597100675106049,0.733189046382904,0.20815499126911163,0.2687252461910248,0.3646814823150635,0.733189046382904,0.19968076050281525,0.1826142966747284
emotional,0.31405574083328247,0.1627964824438095,0.19851237535476685,0.22582121193408966,0.2771443724632263,0.12853042781352997,0.19851237535476685,0.5341953635215759,0.38677501678466797,0.19587968289852142,0.19851237535476685,0.18936976790428162,0.192344069480896
contagion,0.3141038417816162,0.3294045925140381,0.3029448390007019,0.2073342651128769,0.2672666013240814,0.28992408514022827,0.3029448390007019,0.30071431398391724,0.23808157444000244,0.32461845874786377,0.3029448390007019,0.204746812582016,0.25794893503189087
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4464869201183319,0.28151950240135193,0.4933079481124878,0.2550121545791626,0.24414940178394318,0.3680937886238098,0.4933079481124878,0.2884024977684021,0.31091248989105225
may,0.25739946961402893,0.322792649269104,0.2694292366504669,0.21869896352291107,0.29255861043930054,0.196873739361763,0.2694292366504669,0.2820869982242584,0.1906498670578003,0.1970296949148178,0.2694292366504669,0.15417979657649994,0.2768254578113556
also,0.42747777700424194,0.5012649297714233,0.6021018624305725,0.28864800930023193,0.5373267531394958,0.2955312728881836,0.6021018624305725,0.25494620203971863,0.19089938700199127,0.3824189305305481,0.6021018624305725,0.23410376906394958,0.21848613023757935
apply,0.3400125503540039,0.2002597153186798,0.23137710988521576,0.3188461661338806,0.36373811960220337,0.23356536030769348,0.23137710988521576,0.3125187158584595,0.25547167658805847,0.18892419338226318,0.23137710988521576,0.1956689953804016,0.3161788284778595
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18456575274467468,0.4726039469242096,0.26407113671302795,0.5934505462646484,0.2483096718788147,0.24293068051338196,0.3936232924461365,0.5934505462646484,0.225234717130661,0.4130953550338745
