,what,popular,phrase,is,associated,with,the,doctor,who,series,?
the,0.42745697498321533,0.2724021077156067,0.25180333852767944,0.5823672413825989,0.2742886245250702,0.4223487675189972,1.0,0.2820442318916321,0.3733934462070465,0.31376904249191284,0.22068053483963013
phrase,0.31149473786354065,0.25000283122062683,0.9999998807907104,0.2389402985572815,0.21521180868148804,0.18384966254234314,0.25180333852767944,0.13532482087612152,0.17517714202404022,0.13809914886951447,0.32636284828186035
``,0.008517155423760414,-0.032901737838983536,0.07400007545948029,0.058766357600688934,0.019517168402671814,0.08974023163318634,0.029072100296616554,0.03718610852956772,0.02397952415049076,-0.08478077501058578,0.0685480609536171
hiding,0.28701403737068176,0.06934931874275208,0.10269325226545334,0.15173138678073883,0.11642365157604218,0.15358828008174896,0.26422008872032166,0.15572793781757355,0.30153369903564453,0.13926364481449127,0.24915523827075958
behind,0.1959938108921051,0.21350595355033875,0.13333269953727722,0.24618369340896606,0.17289882898330688,0.3182232677936554,0.38928431272506714,0.1363207995891571,0.2240559607744217,0.16542105376720428,0.19274599850177765
(,0.2411840260028839,0.09267130494117737,0.1796601563692093,0.35393038392066956,0.22233878076076508,0.29503780603408813,0.33289089798927307,0.1570640504360199,0.2443375140428543,0.21145714819431305,0.40561532974243164
or,0.33867141604423523,0.19209714233875275,0.28160881996154785,0.41870999336242676,0.3577948808670044,0.38158315420150757,0.4174870550632477,0.21396701037883759,0.31144875288009644,0.12278314679861069,0.32389625906944275
'watching,0.2928663492202759,0.28003227710723877,0.19147825241088867,0.19342106580734253,0.1188579797744751,0.2213193029165268,0.25409454107284546,0.09512511640787125,0.24692358076572418,0.2368496209383011,0.2950276732444763
from,0.2737620174884796,0.20788542926311493,0.16662593185901642,0.27355384826660156,0.18464983999729156,0.26272761821746826,0.40150508284568787,0.15658842027187347,0.27839982509613037,0.20279763638973236,0.19969791173934937
behind,0.1959938108921051,0.21350595355033875,0.13333269953727722,0.24618369340896606,0.17289882898330688,0.3182232677936554,0.38928431272506714,0.1363207995891571,0.2240559607744217,0.16542105376720428,0.19274599850177765
',0.3245812654495239,0.17724734544754028,0.27136051654815674,0.5508411526679993,0.2085750848054886,0.2546919286251068,0.474788099527359,0.2026606649160385,0.22534559667110443,0.22980502247810364,0.330942302942276
