,when,did,abc,first,get,in,to,television,broadcasts,?
it,0.4775012135505676,0.2993364930152893,0.17324577271938324,0.3491429388523102,0.2993776202201843,0.5130809545516968,0.513711154460907,0.17099279165267944,0.21673744916915894,0.25732165575027466
extended,0.1563398391008377,0.22313983738422394,0.21876035630702972,0.2124635875225067,0.21065004169940948,0.22257764637470245,0.28740090131759644,0.10915709286928177,0.14147944748401642,0.17568568885326385
its,0.34032323956489563,0.19922670722007751,0.19045390188694,0.26377397775650024,0.21364489197731018,0.3793783485889435,0.3691340684890747,0.1756780445575714,0.23339106142520905,0.15103481709957123
operations,0.20646943151950836,0.1597038060426712,0.17405781149864197,0.21178287267684937,0.16082194447517395,0.2654678225517273,0.2544249892234802,0.20516012609004974,0.2546028792858124,0.13622350990772247
to,0.5423505902290344,0.4452643394470215,0.1762417107820511,0.3792489171028137,0.4388369917869568,0.45010748505592346,1.0,0.1933557242155075,0.2217693328857422,0.29463258385658264
television,0.19077982008457184,0.17055591940879822,0.46871840953826904,0.2787016034126282,0.1730360984802246,0.2689782977104187,0.1933557242155075,1.0000001192092896,0.5997714400291443,0.16825827956199646
in,0.4431333839893341,0.2593238651752472,0.1697147786617279,0.4127444326877594,0.24899829924106598,1.0,0.45010748505592346,0.2689782977104187,0.26476189494132996,0.20430970191955566
1948,0.06069455295801163,0.06256089359521866,-0.09566774219274521,0.10661962628364563,0.08817534893751144,0.07071642577648163,0.042594924569129944,0.013752158731222153,0.19487804174423218,-0.10648800432682037
",",0.36674630641937256,0.3015086054801941,0.2097204476594925,0.34503069519996643,0.2926318049430847,0.5201468467712402,0.44245919585227966,0.27995240688323975,0.2320742905139923,0.31091248989105225
following,0.3263498842716217,0.28040066361427307,0.1467348337173462,0.27108168601989746,0.16273559629917145,0.355264812707901,0.31711265444755554,0.15606312453746796,0.11234530061483383,0.1555173695087433
in,0.4431333839893341,0.2593238651752472,0.1697147786617279,0.4127444326877594,0.24899829924106598,1.0,0.45010748505592346,0.2689782977104187,0.26476189494132996,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,0.2068762183189392,0.49448907375335693,0.29667025804519653,0.6662389636039734,0.535392165184021,0.24569597840309143,0.26939961314201355,0.22068053483963013
footsteps,0.3159746825695038,0.2937140166759491,0.19235649704933167,0.248103529214859,0.20458532869815826,0.23792807757854462,0.28147822618484497,0.23370765149593353,0.15243713557720184,0.2040361613035202
of,0.3757161796092987,0.2513895630836487,0.14607268571853638,0.3536086082458496,0.26628199219703674,0.5696388483047485,0.41548454761505127,0.21995750069618225,0.2108854353427887,0.1826142966747284
established,0.18169470131397247,0.18989217281341553,0.12466854602098465,0.2571922838687897,0.06778012961149216,0.3118882477283478,0.15850777924060822,0.11431580036878586,0.15147607028484344,0.15917523205280304
broadcast,0.2190258502960205,0.17054221034049988,0.4876510202884674,0.2604263722896576,0.14310595393180847,0.26723843812942505,0.2326623648405075,0.6160560846328735,0.9114145636558533,0.15760008990764618
networks,0.1901119351387024,0.06869131326675415,0.350273072719574,0.16512027382850647,0.17553706467151642,0.17525765299797058,0.23877078294754028,0.4588569104671478,0.5266874432563782,0.17815114557743073
cbs,0.19047732651233673,0.15259867906570435,0.636570394039154,0.23310497403144836,0.12156569957733154,0.17584392428398132,0.16981691122055054,0.5213743448257446,0.5513425469398499,0.14594407379627228
and,0.4716290831565857,0.34479495882987976,0.16453155875205994,0.3167642652988434,0.37609121203422546,0.4954058527946472,0.48971283435821533,0.29514092206954956,0.2523579001426697,0.20544172823429108
nbc,0.17437143623828888,0.1728760302066803,0.63486248254776,0.2653513252735138,0.12000560760498047,0.19303210079669952,0.14568616449832916,0.5602048635482788,0.5642530918121338,0.1680917739868164
.,0.475719153881073,0.35288307070732117,0.2567209303379059,0.4345304071903229,0.39392393827438354,0.5591574311256409,0.4645031690597534,0.2806251645088196,0.21446789801120758,0.4130953550338745
