,when,did,the,general,conference,go,on,record,in,support,of,the,work,of,the,religious,coalition,for,reproductive,choice,?
still,0.4688006639480591,0.38309040665626526,0.40142056345939636,0.16989383101463318,0.10763527452945709,0.2828460931777954,0.317820280790329,0.2441595494747162,0.3424699008464813,0.3350483179092407,0.3288819193840027,0.40142056345939636,0.315437912940979,0.3288819193840027,0.40142056345939636,0.25221624970436096,0.1724945455789566,0.37984156608581543,0.22574074566364288,0.22232849895954132,0.3039587736129761
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.3022127151489258,0.21862302720546722,0.3043581247329712,0.49057599902153015,0.28093910217285156,0.5201468467712402,0.2733234167098999,0.4946078956127167,0.4933079481124878,0.3283594250679016,0.4946078956127167,0.4933079481124878,0.2753547728061676,0.23388497531414032,0.4464869201183319,0.21493907272815704,0.2381335198879242,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.28634732961654663,0.25393402576446533,0.29801803827285767,0.5107308030128479,0.23569516837596893,0.6662389636039734,0.22984638810157776,0.733189046382904,1.0,0.2704800069332123,0.733189046382904,1.0,0.22950971126556396,0.27709540724754333,0.4739971458911896,0.260206013917923,0.2640603482723236,0.22068053483963013
denomination,0.13417179882526398,0.13108108937740326,0.26250898838043213,0.1567985713481903,0.2212645411491394,0.13881008327007294,0.15491412580013275,0.13579526543617249,0.19585151970386505,0.19879963994026184,0.2670862376689911,0.26250898838043213,0.19594275951385498,0.2670862376689911,0.26250898838043213,0.4431026875972748,0.28991398215293884,0.20484371483325958,0.267173171043396,0.2416217178106308,0.2643771171569824
is,0.3471449911594391,0.19247472286224365,0.5823672413825989,0.20144300162792206,0.13909097015857697,0.19626101851463318,0.3635730445384979,0.19413821399211884,0.5394441485404968,0.17214131355285645,0.4854315221309662,0.5823672413825989,0.22475390136241913,0.4854315221309662,0.5823672413825989,0.1584658920764923,0.1363379955291748,0.43268078565597534,0.1769166737794876,0.2168283462524414,0.22961433231830597
pro-choice,0.2379903346300125,0.28033098578453064,0.26108717918395996,0.20913895964622498,0.2294849008321762,0.2130488157272339,0.24616479873657227,0.1704959273338318,0.17255128920078278,0.3117622137069702,0.234634131193161,0.26108717918395996,0.3326968252658844,0.234634131193161,0.26108717918395996,0.21080008149147034,0.21486538648605347,0.39995330572128296,0.3557749092578888,0.9052224159240723,0.32899031043052673
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.25860127806663513,0.21613861620426178,0.35260969400405884,0.4077630043029785,0.23470573127269745,0.4954058527946472,0.25609129667282104,0.5116966962814331,0.5171257257461548,0.37551814317703247,0.5116966962814331,0.5171257257461548,0.30280056595802307,0.279930055141449,0.5064792633056641,0.284058541059494,0.19819556176662445,0.20544172823429108
also,0.5475645065307617,0.39334940910339355,0.6021018624305725,0.23267501592636108,0.2102666050195694,0.28505080938339233,0.3762153089046478,0.24059227108955383,0.5073733329772949,0.26317518949508667,0.4924938678741455,0.6021018624305725,0.3541320264339447,0.4924938678741455,0.6021018624305725,0.27032989263534546,0.17314787209033966,0.5373267531394958,0.2658129036426544,0.23165644705295563,0.21848613023757935
``,0.07174111902713776,-0.029888948425650597,0.029072100296616554,0.09047812968492508,0.0006965092616155744,-0.0746922492980957,-0.03274054825305939,-0.015632163733243942,0.04765888676047325,0.09772835671901703,0.06780257821083069,0.029072100296616554,0.005462854169309139,0.06780257821083069,0.029072100296616554,0.0828113928437233,0.112322598695755,0.01270448137074709,0.10934432595968246,-0.007354602683335543,0.0685480609536171
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.2445744127035141,0.1537582278251648,0.16801296174526215,0.3909217119216919,0.2787264287471771,0.45514053106307983,0.2208256870508194,0.4069072902202606,0.48711544275283813,0.24745555222034454,0.4069072902202606,0.48711544275283813,0.20851445198059082,0.22617590427398682,0.3863949179649353,0.09914235770702362,0.21082301437854767,0.18412111699581146
