,when,did,zhu,publish,'jade,mirror,of,the,four,unknowns,',?
his,0.37120407819747925,0.3546801507472992,0.22854432463645935,0.27212437987327576,0.22200562059879303,0.14364387094974518,0.38364991545677185,0.4394008219242096,0.29882514476776123,0.31653890013694763,0.2791537940502167,0.18075084686279297
method,0.23057077825069427,0.21537424623966217,0.10864808410406113,0.20960846543312073,0.12169567495584488,0.1392262876033783,0.22896558046340942,0.21624743938446045,0.10383015125989914,0.17902451753616333,0.12693272531032562,0.2194802314043045
is,0.3471449911594391,0.19247472286224365,0.16100013256072998,0.12206851691007614,0.258518785238266,0.19626635313034058,0.4854315221309662,0.5823672413825989,0.22331103682518005,0.22556369006633759,0.5508411526679993,0.22961433231830597
described,0.2246418446302414,0.23657096922397614,0.12605558335781097,0.2726246416568756,0.18581566214561462,0.2312929630279541,0.297532320022583,0.2878154516220093,0.19041240215301514,0.22967208921909332,0.20422199368476868,0.1374269425868988
in,0.4431333839893341,0.2593238651752472,0.13218623399734497,0.17019827663898468,0.24446003139019012,0.1684132218360901,0.5696388483047485,0.6662389636039734,0.3085027039051056,0.27149808406829834,0.4158826768398285,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,0.18920078873634338,0.1611112356185913,0.27441197633743286,0.2313702255487442,0.733189046382904,1.0,0.40344667434692383,0.27869346737861633,0.474788099527359,0.22068053483963013
jade,0.12404165416955948,0.10591010004281998,0.236617311835289,0.026626991108059883,0.879851758480072,0.10819876939058304,0.17760014533996582,0.17181448638439178,0.12326487898826599,0.1051555871963501,0.13682226836681366,0.18937766551971436
mirror,0.25151756405830383,0.1531018316745758,0.14463220536708832,0.27891331911087036,0.12039102613925934,1.0,0.20463591814041138,0.2313702255487442,0.1710982471704483,0.16355818510055542,0.2491208165884018,0.2018040269613266
of,0.3757161796092987,0.2513895630836487,0.13071636855602264,0.12460750341415405,0.2547534108161926,0.20463591814041138,1.0,0.733189046382904,0.36293646693229675,0.3400839567184448,0.39136970043182373,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.18920078873634338,0.1611112356185913,0.27441197633743286,0.2313702255487442,0.733189046382904,1.0,0.40344667434692383,0.27869346737861633,0.474788099527359,0.22068053483963013
four,0.2677527964115143,0.20222175121307373,0.10839420557022095,0.10577619820833206,0.17881454527378082,0.1710982471704483,0.36293646693229675,0.40344667434692383,1.0,0.13060595095157623,0.19623002409934998,0.14532537758350372
unknowns,0.19808043539524078,0.20865829288959503,0.17531684041023254,0.23597653210163116,0.12611326575279236,0.16355818510055542,0.3400839567184448,0.27869346737861633,0.13060595095157623,1.0,0.1940949559211731,0.27923592925071716
",",0.36674630641937256,0.3015086054801941,0.1870507150888443,0.25024911761283875,0.330719918012619,0.22777211666107178,0.4946078956127167,0.4933079481124878,0.31238991022109985,0.2629932165145874,0.5178600549697876,0.31091248989105225
written,0.1974014937877655,0.2051348239183426,0.17573535442352295,0.2824877202510834,0.19545340538024902,0.1654701977968216,0.20874574780464172,0.2582438886165619,0.19261009991168976,0.23272272944450378,0.25474706292152405,0.21451954543590546
in,0.4431333839893341,0.2593238651752472,0.13218623399734497,0.17019827663898468,0.24446003139019012,0.1684132218360901,0.5696388483047485,0.6662389636039734,0.3085027039051056,0.27149808406829834,0.4158826768398285,0.20430970191955566
1303,0.17463326454162598,0.17660492658615112,0.09696679562330246,0.20765651762485504,0.25762253999710083,0.09771726280450821,0.18957968056201935,0.17734406888484955,0.1480730175971985,0.11640510708093643,0.27084311842918396,0.09126351028680801
.,0.475719153881073,0.35288307070732117,0.23651371896266937,0.19971393048763275,0.3097436726093292,0.24363161623477936,0.5352458953857422,0.5934505462646484,0.3278861939907074,0.299635112285614,0.4806240200996399,0.4130953550338745
