,how,much,did,westinghouse,pay,to,license,tesla,'s,designs,?
in,0.2601168751716614,0.2725222110748291,0.2593238651752472,0.2579890191555023,0.14415781199932098,0.45010748505592346,0.15557733178138733,0.17097744345664978,-0.037580832839012146,0.18954916298389435,0.20430970191955566
july,0.14530204236507416,0.18808884918689728,0.25485745072364807,0.16943876445293427,0.15974847972393036,0.228788822889328,0.13043001294136047,0.1044287383556366,-0.06841624528169632,0.14625310897827148,0.2897891402244568
1888,0.1908363550901413,0.23168036341667175,0.08121363818645477,0.05404873937368393,0.11509955674409866,0.17033766210079193,0.053063515573740005,0.12613868713378906,0.00017254317936021835,0.07252877205610275,0.07625395059585571
",",0.22659391164779663,0.36182254552841187,0.3015086054801941,0.277236670255661,0.18754567205905914,0.44245919585227966,0.1872958391904831,0.20599327981472015,-0.0016132977325469255,0.18473142385482788,0.31091248989105225
brown,0.154130220413208,0.15004368126392365,0.11021304875612259,0.23409830033779144,0.13798843324184418,0.20498941838741302,0.08615867793560028,0.07134627550840378,0.0031092315912246704,0.14615409076213837,0.18920691311359406
and,0.33647966384887695,0.38395699858665466,0.34479495882987976,0.2865493595600128,0.2487477958202362,0.48971283435821533,0.17496050894260406,0.19560420513153076,0.06895173341035843,0.24024057388305664,0.20544172823429108
peck,0.2172025591135025,0.17678771913051605,0.2018258273601532,0.29347383975982666,0.12292537093162537,0.19434410333633423,0.12970618903636932,0.09895811975002289,-0.07934148609638214,0.07797946780920029,0.22361880540847778
negotiated,0.12848655879497528,0.10615051537752151,0.280305415391922,0.25125110149383545,0.20642031729221344,0.2966291010379791,0.23834609985351562,0.13065177202224731,-0.054282624274492264,0.18385371565818787,0.09223373234272003
a,0.29312583804130554,0.2958075702190399,0.2552328109741211,0.25513118505477905,0.1940600425004959,0.45503583550453186,0.16238512098789215,0.2211925983428955,0.04866964742541313,0.22853662073612213,0.23916715383529663
licensing,0.22058209776878357,0.2199123352766037,0.2698881924152374,0.3373691439628601,0.3291427791118622,0.26254668831825256,0.789727509021759,0.19400954246520996,-0.012461770325899124,0.21070338785648346,0.23048727214336395
deal,0.38440680503845215,0.31275326013565063,0.2367614358663559,0.2078220248222351,0.2766062915325165,0.29972702264785767,0.16735835373401642,0.15370967984199524,-0.023377999663352966,0.164498433470726,0.2513751685619354
with,0.3525622487068176,0.2808258831501007,0.25472134351730347,0.22273582220077515,0.18971611559391022,0.4239959120750427,0.14005598425865173,0.16424812376499176,-0.04624466598033905,0.24691691994667053,0.2433311939239502
george,0.1392437070608139,0.13469929993152618,0.238631471991539,0.3706516921520233,0.12105796486139297,0.17226167023181915,0.1392139047384262,0.1784614771604538,-0.019076833501458168,0.08134206384420395,0.1479024887084961
