,what,would,create,a,conflict,between,a,problem,x,and,problem,c,within,the,context,of,reduction,?
a,0.3320399522781372,0.398599237203598,0.3041161596775055,1.0,0.2236446589231491,0.29385313391685486,1.0,0.2605542540550232,0.21952441334724426,0.3739250600337982,0.2605542540550232,0.23439434170722961,0.3858051896095276,0.5829201340675354,0.22736765444278717,0.5052502155303955,0.2845925986766815,0.23916715383529663
problem,0.42183366417884827,0.33138108253479004,0.2768964171409607,0.2605542540550232,0.3863047957420349,0.26457515358924866,0.2605542540550232,1.0,0.17171038687229156,0.24328261613845825,1.0,0.1311071813106537,0.12321300059556961,0.24928659200668335,0.311731219291687,0.20464475452899933,0.3494492769241333,0.3762950301170349
x,0.13783220946788788,0.2259431630373001,0.17281197011470795,0.21952441334724426,0.11786763370037079,0.12778618931770325,0.21952441334724426,0.17171038687229156,0.9999999403953552,0.21577593684196472,0.17171038687229156,0.24558889865875244,0.09167823195457458,0.20980626344680786,0.11647369712591171,0.1708947718143463,0.20341621339321136,0.23304535448551178
is,0.28837618231773376,0.33626067638397217,0.2645336091518402,0.658733606338501,0.18503378331661224,0.26809602975845337,0.658733606338501,0.23238427937030792,0.1738782823085785,0.3859752118587494,0.23238427937030792,0.21502047777175903,0.30135563015937805,0.5823672413825989,0.24500277638435364,0.4854315221309662,0.2509012222290039,0.22961433231830597
hard,0.3417404592037201,0.29768919944763184,0.23438431322574615,0.29863545298576355,0.09999267756938934,0.19308559596538544,0.29863545298576355,0.3147989511489868,0.17962665855884552,0.31814199686050415,0.3147989511489868,0.09072878211736679,0.1668631136417389,0.25233224034309387,0.1520330309867859,0.21288733184337616,0.21312768757343292,0.1823338270187378
for,0.3017193675041199,0.39877474308013916,0.2826802134513855,0.44038116931915283,0.1924027055501938,0.24671313166618347,0.44038116931915283,0.2661307752132416,0.18337465822696686,0.5064792633056641,0.2661307752132416,0.19183452427387238,0.3087334632873535,0.4739971458911896,0.2597399652004242,0.4185989499092102,0.2523634135723114,0.264628142118454
a,0.3320399522781372,0.398599237203598,0.3041161596775055,1.0,0.2236446589231491,0.29385313391685486,1.0,0.2605542540550232,0.21952441334724426,0.3739250600337982,0.2605542540550232,0.23439434170722961,0.3858051896095276,0.5829201340675354,0.22736765444278717,0.5052502155303955,0.2845925986766815,0.23916715383529663
class,0.16880196332931519,0.1581210196018219,0.1593581736087799,0.23462694883346558,0.18093161284923553,0.2034136950969696,0.23462694883346558,0.19669321179389954,0.1357298642396927,0.20710228383541107,0.19669321179389954,0.16583140194416046,0.17449864745140076,0.18034407496452332,0.14320343732833862,0.19740594923496246,0.13544920086860657,0.12778934836387634
of,0.33290785551071167,0.3353942930698395,0.23675619065761566,0.5052502155303955,0.2620731294155121,0.3737983703613281,0.5052502155303955,0.20464475452899933,0.1708947718143463,0.5116966962814331,0.20464475452899933,0.1682119220495224,0.39594778418540955,0.733189046382904,0.21264773607254028,1.0,0.2803387939929962,0.1826142966747284
problems,0.3306994140148163,0.30150145292282104,0.27016422152519226,0.21523453295230865,0.3499237895011902,0.2324794977903366,0.21523453295230865,0.7913808822631836,0.17143216729164124,0.285793662071228,0.7913808822631836,0.10926929116249084,0.15260569751262665,0.2659202516078949,0.2329186350107193,0.2450421154499054,0.33580684661865234,0.2638136148452759
