,who,did,the,keelmen,live,with,in,a,tight-knight,community,east,of,newcastle,?
in,0.2792111933231354,0.2593238651752472,0.6662389636039734,0.29732373356819153,0.3068392276763916,0.4080928862094879,1.0,0.539380669593811,0.28262531757354736,0.21838891506195068,0.32659441232681274,0.5696388483047485,0.19270820915699005,0.20430970191955566
the,0.3733934462070465,0.34736719727516174,1.0,0.35581570863723755,0.2995128035545349,0.4223487675189972,0.6662389636039734,0.5829201340675354,0.3280871510505676,0.2601400911808014,0.3383176326751709,0.733189046382904,0.2253497689962387,0.22068053483963013
sandgate,0.1983693242073059,0.19554875791072845,0.2875380218029022,0.4052652418613434,0.27111759781837463,0.23730243742465973,0.27756446599960327,0.2926817536354065,0.3834162652492523,0.24470266699790955,0.2948055863380432,0.25823280215263367,0.33251938223838806,0.21868449449539185
area,0.23362743854522705,0.14067986607551575,0.37834644317626953,0.3290340006351471,0.23681239783763885,0.2303420901298523,0.33632898330688477,0.2782127559185028,0.1678117960691452,0.23937152326107025,0.39479681849479675,0.3409860134124756,0.18503880500793457,0.12640461325645447
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.364753395318985,0.29754534363746643,0.4120737314224243,0.5201468467712402,0.427140474319458,0.32681015133857727,0.2761111557483673,0.319791704416275,0.4946078956127167,0.251589834690094,0.31091248989105225
to,0.42656609416007996,0.4452643394470215,0.535392165184021,0.21108053624629974,0.298321396112442,0.4239959120750427,0.45010748505592346,0.45503583550453186,0.2989959120750427,0.2863751947879791,0.24717837572097778,0.41548454761505127,0.23559264838695526,0.29463258385658264
the,0.3733934462070465,0.34736719727516174,1.0,0.35581570863723755,0.2995128035545349,0.4223487675189972,0.6662389636039734,0.5829201340675354,0.3280871510505676,0.2601400911808014,0.3383176326751709,0.733189046382904,0.2253497689962387,0.22068053483963013
east,0.20229652523994446,0.17160435020923615,0.3383176326751709,0.2714270055294037,0.18025033175945282,0.18583141267299652,0.32659441232681274,0.18767057359218597,0.1833208054304123,0.22326378524303436,1.0000001192092896,0.314786434173584,0.2158811092376709,0.10070597380399704
of,0.2827862501144409,0.2513895630836487,0.733189046382904,0.3474436104297638,0.27734068036079407,0.41827285289764404,0.5696388483047485,0.5052502155303955,0.23285259306430817,0.2367410808801651,0.314786434173584,1.0,0.18781472742557526,0.1826142966747284
the,0.3733934462070465,0.34736719727516174,1.0,0.35581570863723755,0.2995128035545349,0.4223487675189972,0.6662389636039734,0.5829201340675354,0.3280871510505676,0.2601400911808014,0.3383176326751709,0.733189046382904,0.2253497689962387,0.22068053483963013
city,0.21073515713214874,0.12266099452972412,0.35769423842430115,0.32632216811180115,0.27209851145744324,0.19554263353347778,0.3911624252796173,0.2349124401807785,0.2072332501411438,0.26296454668045044,0.3674589693546295,0.32503411173820496,0.32860881090164185,0.13423943519592285
and,0.41279885172843933,0.34479495882987976,0.5171257257461548,0.30062589049339294,0.29040172696113586,0.5477725267410278,0.4954058527946472,0.3739250600337982,0.3641372621059418,0.2756517827510834,0.27633291482925415,0.5116966962814331,0.20204751193523407,0.20544172823429108
beside,0.2985425889492035,0.1900615692138672,0.3825705945491791,0.21290892362594604,0.18757347762584686,0.30795982480049133,0.31458377838134766,0.29660627245903015,0.266245037317276,0.23641528189182281,0.2558055520057678,0.33407241106033325,0.14352847635746002,0.18373630940914154
the,0.3733934462070465,0.34736719727516174,1.0,0.35581570863723755,0.2995128035545349,0.4223487675189972,0.6662389636039734,0.5829201340675354,0.3280871510505676,0.2601400911808014,0.3383176326751709,0.733189046382904,0.2253497689962387,0.22068053483963013
river,0.15295234322547913,0.15783563256263733,0.2894456386566162,0.27342918515205383,0.17795059084892273,0.1749907284975052,0.2149806171655655,0.20514865219593048,0.16610100865364075,0.0966719388961792,0.36419621109962463,0.19903257489204407,0.22174765169620514,0.15390869975090027
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.364753395318985,0.29754534363746643,0.4120737314224243,0.5201468467712402,0.427140474319458,0.32681015133857727,0.2761111557483673,0.319791704416275,0.4946078956127167,0.251589834690094,0.31091248989105225
resided,0.2577380836009979,0.18227657675743103,0.32044243812561035,0.1896193027496338,0.23958027362823486,0.22849041223526,0.31872743368148804,0.2319149523973465,0.23837299644947052,0.2902166545391083,0.21650183200836182,0.3769811987876892,0.15214891731739044,0.0921705886721611
the,0.3733934462070465,0.34736719727516174,1.0,0.35581570863723755,0.2995128035545349,0.4223487675189972,0.6662389636039734,0.5829201340675354,0.3280871510505676,0.2601400911808014,0.3383176326751709,0.733189046382904,0.2253497689962387,0.22068053483963013
close-knit,0.21764373779296875,0.1799578070640564,0.30966633558273315,0.38733142614364624,0.21690431237220764,0.25988441705703735,0.2907603085041046,0.3044804334640503,0.3862445056438446,0.34380659461021423,0.19517174363136292,0.24815843999385834,0.23732200264930725,0.21498386561870575
community,0.245173841714859,0.1464618593454361,0.2601400911808014,0.10175590962171555,0.23343776166439056,0.15797209739685059,0.21838891506195068,0.2694961726665497,0.18402446806430817,0.9999998807907104,0.22326378524303436,0.2367410808801651,0.14818978309631348,0.2380419820547104
of,0.2827862501144409,0.2513895630836487,0.733189046382904,0.3474436104297638,0.27734068036079407,0.41827285289764404,0.5696388483047485,0.5052502155303955,0.23285259306430817,0.2367410808801651,0.314786434173584,1.0,0.18781472742557526,0.1826142966747284
keelmen,0.1915663480758667,0.11388551443815231,0.35581570863723755,1.0,0.2338171899318695,0.22646977007389069,0.29732373356819153,0.25992339849472046,0.36742547154426575,0.10175590962171555,0.2714270055294037,0.3474436104297638,0.313254177570343,0.1677776277065277
and,0.41279885172843933,0.34479495882987976,0.5171257257461548,0.30062589049339294,0.29040172696113586,0.5477725267410278,0.4954058527946472,0.3739250600337982,0.3641372621059418,0.2756517827510834,0.27633291482925415,0.5116966962814331,0.20204751193523407,0.20544172823429108
their,0.3767721951007843,0.38078752160072327,0.516537070274353,0.290629118680954,0.28444966673851013,0.4258328378200531,0.34976133704185486,0.29698723554611206,0.2600325345993042,0.1684875339269638,0.14149846136569977,0.4329940676689148,0.21171362698078156,0.1898253709077835
families,0.29288235306739807,0.16831602156162262,0.26391902565956116,0.2547459006309509,0.27801960706710815,0.2121099829673767,0.22269998490810394,0.2146027833223343,0.2606789767742157,0.2675909996032715,0.17048895359039307,0.2529911398887634,0.12294401973485947,0.14422203600406647
.,0.3541337847709656,0.35288307070732117,0.5934505462646484,0.3008269667625427,0.32964062690734863,0.4446153938770294,0.5591574311256409,0.50484299659729,0.28524503111839294,0.2594514787197113,0.28351864218711853,0.5352458953857422,0.2714749276638031,0.4130953550338745
