,what,can,curtail,the,risk,of,occupational,injuries,in,the,construction,industry,?
falls,0.1882239729166031,0.18280474841594696,0.3200346827507019,0.2708098292350769,0.0808919295668602,0.23047612607479095,0.19517013430595398,0.23364435136318207,0.24281851947307587,0.2708098292350769,0.0760398656129837,0.11298820376396179,0.15918700397014618
are,0.29724663496017456,0.5408529043197632,0.15019243955612183,0.40399202704429626,0.2837918698787689,0.39081433415412903,0.14539676904678345,0.18193206191062927,0.3841303884983063,0.40399202704429626,0.18089833855628967,0.1772618442773819,0.24591213464736938
one,0.376489520072937,0.34032124280929565,0.19459137320518494,0.5514441132545471,0.22105900943279266,0.4999135136604309,0.16255630552768707,0.20492500066757202,0.4129433035850525,0.5514441132545471,0.19456154108047485,0.1840222030878067,0.2673267424106598
of,0.33290785551071167,0.2603091299533844,0.12747381627559662,0.733189046382904,0.2274734228849411,1.0,0.26960793137550354,0.23467452824115753,0.5696388483047485,0.733189046382904,0.2815735340118408,0.27385562658309937,0.1826142966747284
the,0.42745697498321533,0.312528520822525,0.26653674244880676,1.0,0.2011675238609314,0.733189046382904,0.1973530650138855,0.20518366992473602,0.6662389636039734,1.0,0.2671978175640106,0.26942890882492065,0.22068053483963013
most,0.3219912350177765,0.3452373743057251,0.11453612148761749,0.47635307908058167,0.199381485581398,0.4178851246833801,0.18950176239013672,0.1703704595565796,0.41416558623313904,0.47635307908058167,0.1613602638244629,0.2997194826602936,0.2107497900724411
common,0.19989867508411407,0.37593990564346313,0.13203579187393188,0.2705984115600586,0.2861475348472595,0.2949881851673126,0.10963262617588043,0.17393966019153595,0.23149342834949493,0.2705984115600586,0.12546473741531372,0.20637105405330658,0.20434872806072235
causes,0.1426164209842682,0.3209187388420105,0.13919445872306824,0.2518732249736786,0.2827252745628357,0.2544642984867096,0.23702940344810486,0.36196643114089966,0.2674790024757385,0.2518732249736786,0.140291228890419,0.12922824919223785,0.19991323351860046
of,0.33290785551071167,0.2603091299533844,0.12747381627559662,0.733189046382904,0.2274734228849411,1.0,0.26960793137550354,0.23467452824115753,0.5696388483047485,0.733189046382904,0.2815735340118408,0.27385562658309937,0.1826142966747284
fatal,0.16336281597614288,0.1581646054983139,0.17664504051208496,0.19357211887836456,0.23596395552158356,0.16126522421836853,0.133856400847435,0.478427529335022,0.20197328925132751,0.19357211887836456,0.10839343070983887,0.06223491579294205,0.16077253222465515
and,0.31309178471565247,0.3675691485404968,0.226006418466568,0.5171257257461548,0.2210875302553177,0.5116966962814331,0.36260831356048584,0.26974546909332275,0.4954058527946472,0.5171257257461548,0.22762417793273926,0.2615980803966522,0.20544172823429108
non-fatal,0.27617812156677246,0.2195862978696823,0.21727046370506287,0.2635163366794586,0.2592855393886566,0.2542254626750946,0.19565683603286743,0.3879181742668152,0.2568631172180176,0.2635163366794586,0.1636190563440323,0.12800480425357819,0.2901446521282196
injuries,0.17736762762069702,0.21496213972568512,0.18221740424633026,0.20518366992473602,0.32694223523139954,0.23467452824115753,0.2394467294216156,0.9999999403953552,0.2401004433631897,0.20518366992473602,0.14967502653598785,0.18506737053394318,0.14870837330818176
among,0.21154822409152985,0.1946842223405838,0.09257659316062927,0.3507058024406433,0.20601585507392883,0.3679063022136688,0.16809867322444916,0.17669479548931122,0.3211768567562103,0.3507058024406433,0.09807533770799637,0.16402874886989594,0.14343059062957764
construction,0.20329850912094116,0.1424357146024704,0.19303588569164276,0.2671978175640106,0.15201717615127563,0.2815735340118408,0.15999627113342285,0.14967502653598785,0.3031303882598877,0.2671978175640106,1.0,0.3407537043094635,0.13494056463241577
workers,0.21390831470489502,0.15436972677707672,0.21037296950817108,0.23066683113574982,0.20280537009239197,0.20827822387218475,0.2072799801826477,0.2440870702266693,0.2254374474287033,0.23066683113574982,0.36065205931663513,0.302990198135376,0.1706571877002716
.,0.3567904531955719,0.35783761739730835,0.24411307275295258,0.5934505462646484,0.19891688227653503,0.5352458953857422,0.18178865313529968,0.22185254096984863,0.5591574311256409,0.5934505462646484,0.23682771623134613,0.24857841432094574,0.4130953550338745
