,after,the,dornbirner,ach,was,diverted,",",where,does,the,rhine,flow,now,?
the,0.4565047025680542,1.0,0.3647852838039398,0.1773579716682434,0.48711544275283813,0.32217684388160706,0.4933079481124878,0.5003893971443176,0.35928019881248474,1.0,0.30735138058662415,0.314039409160614,0.38266420364379883,0.22068053483963013
dornbirner,0.32907259464263916,0.3647852838039398,1.0,0.4384066164493561,0.30737024545669556,0.2027081698179245,0.4041023552417755,0.2723172903060913,0.16560643911361694,0.3647852838039398,0.4167715013027191,0.20165760815143585,0.26686862111091614,0.23942972719669342
ach,0.12851892411708832,0.1773579716682434,0.4384066164493561,1.0,0.0821913629770279,0.05692531168460846,0.16862106323242188,0.0703386589884758,0.12124243378639221,0.1773579716682434,0.3441009819507599,0.12903061509132385,0.05583269149065018,0.2080359309911728
had,0.4133172631263733,0.3875846862792969,0.2693570554256439,0.11673793941736221,0.5927209258079529,0.30001580715179443,0.35487717390060425,0.2596948444843292,0.2046971619129181,0.3875846862792969,0.17234164476394653,0.12543503940105438,0.2785375118255615,0.20728366076946259
to,0.37890323996543884,0.535392165184021,0.2258068472146988,0.12273503094911575,0.3636345863342285,0.2756052613258362,0.44245919585227966,0.47735077142715454,0.4391997456550598,0.535392165184021,0.1736302673816681,0.27439337968826294,0.3925153911113739,0.29463258385658264
be,0.32360681891441345,0.4248143136501312,0.21701376140117645,0.12071829289197922,0.42228707671165466,0.2081296741962433,0.39254459738731384,0.3651217818260193,0.28696945309638977,0.4248143136501312,0.18054811656475067,0.2929789423942566,0.30492115020751953,0.3324260413646698
diverted,0.27452924847602844,0.32217684388160706,0.2027081698179245,0.05692531168460846,0.2335870862007141,1.0,0.22100278735160828,0.2191208451986313,0.2145165652036667,0.32217684388160706,0.15865196287631989,0.3027724027633667,0.2054540514945984,0.03732670471072197
",",0.38860568404197693,0.4933079481124878,0.4041023552417755,0.16862106323242188,0.45456063747406006,0.22100278735160828,1.0000001192092896,0.3149496018886566,0.28617382049560547,0.4933079481124878,0.167837992310524,0.23027558624744415,0.43216821551322937,0.31091248989105225
too,0.2678429186344147,0.26985910534858704,0.20078663527965546,0.06492525339126587,0.21435821056365967,0.17121630907058716,0.30976784229278564,0.2738337516784668,0.36393922567367554,0.26985910534858704,0.11362576484680176,0.23165124654769897,0.2811509966850281,0.33757779002189636
",",0.38860568404197693,0.4933079481124878,0.4041023552417755,0.16862106323242188,0.45456063747406006,0.22100278735160828,1.0000001192092896,0.3149496018886566,0.28617382049560547,0.4933079481124878,0.167837992310524,0.23027558624744415,0.43216821551322937,0.31091248989105225
