,in,what,decades,was,dudley,simpson,most,active,in,contributing,to,doctor,who,?
simpson,0.22717128694057465,0.1427246332168579,0.13796012103557587,0.2131803035736084,0.2135533094406128,1.0,0.1580846607685089,0.11430985480546951,0.22717128694057465,0.1513892263174057,0.2065666913986206,0.2186002880334854,0.15358659625053406,0.16581538319587708
's,-0.037580832839012146,0.02692362666130066,-0.0005016517243348062,0.008974763564765453,-0.08241549879312515,-0.0030620377510786057,0.024445664137601852,0.023876376450061798,-0.037580832839012146,-0.09461008012294769,0.03782717138528824,0.031664930284023285,0.05599616840481758,-0.023395681753754616
first,0.4127444326877594,0.28086137771606445,0.2191448211669922,0.5022147297859192,0.14977309107780457,0.18874526023864746,0.34339818358421326,0.21225719153881073,0.4127444326877594,0.17995671927928925,0.3792489171028137,0.27244147658348083,0.39065709710121155,0.18701928853988647
doctor,0.25567495822906494,0.20870667695999146,0.10460097342729568,0.19672659039497375,0.22625800967216492,0.2186002880334854,0.17011499404907227,0.13028044998645782,0.25567495822906494,0.08174101263284683,0.22950075566768646,0.9999999403953552,0.3504868149757385,0.1462511420249939
who,0.2792111933231354,0.40942975878715515,0.1927538365125656,0.3318818509578705,0.22770792245864868,0.15358659625053406,0.35393568873405457,0.264361709356308,0.2792111933231354,0.20106171071529388,0.42656609416007996,0.3504868149757385,0.9999998807907104,0.26220351457595825
score,0.13240541517734528,0.1703568547964096,0.15859276056289673,0.1616087406873703,0.17399026453495026,0.1510721892118454,0.13705040514469147,0.0496157743036747,0.13240541517734528,0.16397470235824585,0.18782086670398712,0.09459073841571808,0.1809227615594864,0.199510395526886
was,0.45514053106307983,0.22111038863658905,0.29953742027282715,1.0000001192092896,0.24012890458106995,0.2131803035736084,0.29933857917785645,0.1920349895954132,0.45514053106307983,0.17692260444164276,0.3636345863342285,0.19672659039497375,0.3318818509578705,0.18412111699581146
planet,0.18041402101516724,0.2183026820421219,0.14690613746643066,0.19662094116210938,0.19211797416210175,0.18279427289962769,0.13880480825901031,0.16382281482219696,0.18041402101516724,0.09581088274717331,0.2017485797405243,0.27168989181518555,0.21450060606002808,0.16979767382144928
of,0.5696388483047485,0.33290785551071167,0.22400543093681335,0.4069072902202606,0.22010725736618042,0.1791120320558548,0.4178851246833801,0.23132829368114471,0.5696388483047485,0.26530972123146057,0.41548454761505127,0.16895952820777893,0.2827862501144409,0.1826142966747284
giants,0.1755550652742386,0.15827009081840515,0.172481507062912,0.1738642305135727,0.11570475250482559,0.12486101686954498,0.16088680922985077,0.14514316618442535,0.1755550652742386,0.09509504586458206,0.1945669949054718,0.08243756741285324,0.2421608716249466,0.11124124377965927
(,0.3087427020072937,0.2411840260028839,0.08572688698768616,0.2980341613292694,0.27494165301322937,0.15098623931407928,0.20654040575027466,0.21017715334892273,0.3087427020072937,0.21760296821594238,0.30882009863853455,0.1570640504360199,0.2443375140428543,0.40561532974243164
1964,0.00943821482360363,-0.0811573788523674,-0.025620706379413605,-0.10244843363761902,-0.06738769263029099,-0.007884780876338482,0.03104046918451786,0.05856236070394516,0.00943821482360363,0.04586793854832649,-0.040934670716524124,-0.0038573783822357655,0.003835720708593726,0.041380032896995544
),0.3326910734176636,0.26259949803352356,0.08092418313026428,0.3267642855644226,0.25012093782424927,0.13731203973293304,0.23620007932186127,0.22699546813964844,0.3326910734176636,0.21150164306163788,0.31236231327056885,0.1509941965341568,0.2457384318113327,0.42300865054130554
and,0.4954058527946472,0.31309178471565247,0.2763746976852417,0.3740963041782379,0.2890501022338867,0.28405213356018066,0.4309377074241638,0.264642596244812,0.4954058527946472,0.2953754663467407,0.48971283435821533,0.21673844754695892,0.41279885172843933,0.20544172823429108
he,0.41690486669540405,0.3114890456199646,0.26426175236701965,0.5410010814666748,0.2911922335624695,0.1965101659297943,0.3050929605960846,0.23905029892921448,0.41690486669540405,0.2046772539615631,0.385390967130661,0.3197924494743347,0.5500732064247131,0.2089974731206894
went,0.30470821261405945,0.20164033770561218,0.18913684785366058,0.49310487508773804,0.16990156471729279,0.17923027276992798,0.14622317254543304,0.1867266744375229,0.30470821261405945,0.19888836145401,0.33234721422195435,0.20976325869560242,0.25244954228401184,0.12109432369470596
