,what,type,of,combustion,does,the,slow,reaction,of,triplet,oxygen,prevent,?
because,0.46729007363319397,0.2493555098772049,0.4075504541397095,0.2768794298171997,0.4424310624599457,0.44596394896507263,0.3579406440258026,0.29919853806495667,0.4075504541397095,0.16424652934074402,0.28859952092170715,0.4096675217151642,0.2528740465641022
of,0.33290785551071167,0.18112817406654358,1.0,0.25126782059669495,0.3119818866252899,0.733189046382904,0.1380475014448166,0.16853101551532745,1.0,0.23497334122657776,0.16848602890968323,0.22669163346290588,0.1826142966747284
its,0.30393704771995544,0.11677329987287521,0.48690423369407654,0.20767700672149658,0.33437713980674744,0.559237003326416,0.2117268145084381,0.18211238086223602,0.48690423369407654,0.11517830193042755,0.23293741047382355,0.22059404850006104,0.15103481709957123
unpaired,0.28306058049201965,0.24230074882507324,0.2803429663181305,0.2867768108844757,0.26943427324295044,0.2942753732204437,0.2398349493741989,0.2751941978931427,0.2803429663181305,0.3061475157737732,0.28926169872283936,0.30040276050567627,0.1656719297170639
electrons,0.23107858002185822,0.1686636507511139,0.1921376883983612,0.4097423553466797,0.2547900676727295,0.2109822928905487,0.21583019196987152,0.47204887866973877,0.1921376883983612,0.28018414974212646,0.5168894529342651,0.16707894206047058,0.15516111254692078
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2079315334558487,0.28617382049560547,0.4933079481124878,0.1939975768327713,0.14887474477291107,0.4946078956127167,0.31415438652038574,0.21812842786312103,0.19234955310821533,0.31091248989105225
triplet,0.16375544667243958,0.19556891918182373,0.23497334122657776,0.2602669298648834,0.17690631747245789,0.21914346516132355,0.15487320721149445,0.24454617500305176,0.23497334122657776,1.0,0.24859555065631866,0.12971144914627075,0.11859617382287979
oxygen,0.16781960427761078,0.16191279888153076,0.16848602890968323,0.4784593880176544,0.2380215972661972,0.20428593456745148,0.23758429288864136,0.45145896077156067,0.16848602890968323,0.24859555065631866,0.9999999403953552,0.22320111095905304,0.16786395013332367
reacts,0.2541734278202057,0.22492949664592743,0.17894673347473145,0.45686542987823486,0.3468453586101532,0.21178637444972992,0.27776899933815,0.6902959942817688,0.17894673347473145,0.2724340558052063,0.5493614673614502,0.2657611072063446,0.19449996948242188
only,0.41415658593177795,0.24842338263988495,0.49632513523101807,0.2555784583091736,0.45203697681427,0.5497692227363586,0.29767581820487976,0.22870731353759766,0.49632513523101807,0.26351192593574524,0.30512404441833496,0.3325214684009552,0.2767370045185089
