,who,was,chairman,of,the,subcommittee,on,oversight,and,investigations,?
on,0.2340552806854248,0.3909217119216919,0.18472251296043396,0.3966929316520691,0.5107308030128479,0.20490248501300812,0.9999999403953552,0.25109460949897766,0.4077630043029785,0.28054413199424744,0.2714994251728058
23,0.014098330400884151,-0.04668274149298668,-0.021517453715205193,-0.01973372884094715,-0.04008803516626358,0.08835792541503906,-0.11098738014698029,-0.03079443983733654,-0.1634809523820877,0.018629340454936028,0.012076443061232567
june,0.23552022874355316,0.42821118235588074,0.243459552526474,0.19721001386642456,0.24568822979927063,0.18075165152549744,0.39323267340660095,0.20421111583709717,0.2692793905735016,0.23435893654823303,0.31416764855384827
2005,0.18423187732696533,0.11356307566165924,-0.04274182766675949,0.017815761268138885,0.037273142486810684,-0.049226608127355576,0.018048860132694244,0.021697010844945908,0.05766887590289116,-0.03842806816101074,0.10709824413061142
",",0.3365725874900818,0.45456063747406006,0.22044430673122406,0.4946078956127167,0.4933079481124878,0.2279532104730606,0.49057599902153015,0.23852159082889557,0.6633074283599854,0.2506360411643982,0.31091248989105225
rep.,0.1429029405117035,0.2129760980606079,0.16301193833351135,0.1586083024740219,0.20310913026332855,0.18224409222602844,0.16742978990077972,0.29859301447868347,0.17058995366096497,0.2599656879901886,0.26382210850715637
joe,0.2509482800960541,0.23988783359527588,0.15652234852313995,0.1494843065738678,0.18907766044139862,0.09567008167505264,0.14365780353546143,0.16473300755023956,0.17283421754837036,0.15116018056869507,0.14875642955303192
barton,0.2547362744808197,0.2684181332588196,0.2353188693523407,0.22543998062610626,0.22094224393367767,0.18235674500465393,0.11893081665039062,0.15719197690486908,0.2733054757118225,0.08693711459636688,0.11683724820613861
",",0.3365725874900818,0.45456063747406006,0.22044430673122406,0.4946078956127167,0.4933079481124878,0.2279532104730606,0.49057599902153015,0.23852159082889557,0.6633074283599854,0.2506360411643982,0.31091248989105225
chairman,0.17702560126781464,0.2656080424785614,0.9999999403953552,0.2167922407388687,0.2121211588382721,0.40856847167015076,0.18472251296043396,0.21485184133052826,0.2024257630109787,0.20249046385288239,0.08324678242206573
of,0.2827862501144409,0.4069072902202606,0.2167922407388687,1.0,0.733189046382904,0.3215591013431549,0.3966929316520691,0.16401797533035278,0.5116966962814331,0.2303210347890854,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.2121211588382721,0.733189046382904,1.0,0.25766146183013916,0.5107308030128479,0.184760183095932,0.5171257257461548,0.2768571972846985,0.22068053483963013
house,0.2619773745536804,0.28759756684303284,0.25330835580825806,0.285114049911499,0.2847244441509247,0.2945951521396637,0.19286204874515533,0.16463933885097504,0.2552875876426697,0.13664086163043976,0.13736455142498016
committee,0.2034623622894287,0.25449851155281067,0.41671353578567505,0.2920650243759155,0.24322165548801422,0.8758507370948792,0.20945778489112854,0.3465304672718048,0.22311176359653473,0.30978330969810486,0.12144632637500763
on,0.2340552806854248,0.3909217119216919,0.18472251296043396,0.3966929316520691,0.5107308030128479,0.20490248501300812,0.9999999403953552,0.25109460949897766,0.4077630043029785,0.28054413199424744,0.2714994251728058
energy,0.14706677198410034,0.15364649891853333,0.18923775851726532,0.26257598400115967,0.26756542921066284,0.24070219695568085,0.15102268755435944,0.2312142550945282,0.23934243619441986,0.18393196165561676,0.14860127866268158
and,0.41279885172843933,0.3740963041782379,0.2024257630109787,0.5116966962814331,0.5171257257461548,0.22810380160808563,0.4077630043029785,0.19822724163532257,1.0,0.20238573849201202,0.20544172823429108
commerce,0.09755388647317886,0.19670578837394714,0.23692990839481354,0.3016614019870758,0.26524990797042847,0.29360759258270264,0.17031514644622803,0.24591079354286194,0.24256257712841034,0.2317468225955963,0.09677373617887497
wrote,0.2670581638813019,0.40092042088508606,0.13844087719917297,0.30241408944129944,0.2426944375038147,0.14399294555187225,0.23949672281742096,0.16770224273204803,0.2975862920284271,0.21019990742206573,0.19322504103183746
joint,0.1359657198190689,0.18301956355571747,0.32740768790245056,0.2794724404811859,0.2854326069355011,0.33209505677223206,0.18687814474105835,0.17708545923233032,0.1892649531364441,0.15439148247241974,0.15804731845855713
letters,0.22802039980888367,0.16712252795696259,0.13436736166477203,0.24394433200359344,0.23764781653881073,0.14109225571155548,0.15543219447135925,0.1956554353237152,0.2574736475944519,0.18545037508010864,0.18739263713359833
with,0.3282766342163086,0.27411898970603943,0.10921347886323929,0.41827285289764404,0.4223487675189972,0.1519337147474289,0.40749499201774597,0.17631933093070984,0.5477725267410278,0.15722665190696716,0.2433311939239502
ed,0.1637633740901947,0.20469819009304047,0.14231844246387482,0.19821499288082123,0.21412420272827148,0.05078163370490074,0.1536392867565155,0.12763123214244843,0.2150764912366867,0.18736888468265533,0.16764874756336212
whitfield,0.26478269696235657,0.25529298186302185,0.22202295064926147,0.12382641434669495,0.17659328877925873,0.1240951344370842,0.25741681456565857,0.17898011207580566,0.2908225655555725,0.17903734743595123,0.1670030653476715
",",0.3365725874900818,0.45456063747406006,0.22044430673122406,0.4946078956127167,0.4933079481124878,0.2279532104730606,0.49057599902153015,0.23852159082889557,0.6633074283599854,0.2506360411643982,0.31091248989105225
chairman,0.17702560126781464,0.2656080424785614,0.9999999403953552,0.2167922407388687,0.2121211588382721,0.40856847167015076,0.18472251296043396,0.21485184133052826,0.2024257630109787,0.20249046385288239,0.08324678242206573
of,0.2827862501144409,0.4069072902202606,0.2167922407388687,1.0,0.733189046382904,0.3215591013431549,0.3966929316520691,0.16401797533035278,0.5116966962814331,0.2303210347890854,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.2121211588382721,0.733189046382904,1.0,0.25766146183013916,0.5107308030128479,0.184760183095932,0.5171257257461548,0.2768571972846985,0.22068053483963013
subcommittee,0.21859753131866455,0.29152747988700867,0.40856847167015076,0.3215591013431549,0.25766146183013916,1.0000001192092896,0.20490248501300812,0.37663400173187256,0.22810380160808563,0.31841567158699036,0.14806249737739563
on,0.2340552806854248,0.3909217119216919,0.18472251296043396,0.3966929316520691,0.5107308030128479,0.20490248501300812,0.9999999403953552,0.25109460949897766,0.4077630043029785,0.28054413199424744,0.2714994251728058
oversight,0.30674415826797485,0.17834053933620453,0.21485184133052826,0.16401797533035278,0.184760183095932,0.37663400173187256,0.25109460949897766,1.0,0.19822724163532257,0.367509663105011,0.45554885268211365
and,0.41279885172843933,0.3740963041782379,0.2024257630109787,0.5116966962814331,0.5171257257461548,0.22810380160808563,0.4077630043029785,0.19822724163532257,1.0,0.20238573849201202,0.20544172823429108
investigations,0.20638415217399597,0.22831429541110992,0.20249046385288239,0.2303210347890854,0.2768571972846985,0.31841567158699036,0.28054413199424744,0.367509663105011,0.20238573849201202,1.0,0.14811140298843384
demanding,0.2823983430862427,0.27919358015060425,0.19124163687229156,0.3026946187019348,0.31346237659454346,0.2769094705581665,0.23802593350410461,0.30749040842056274,0.2986477315425873,0.3027661442756653,0.11861293762922287
full,0.18801523745059967,0.1574539840221405,0.1370663195848465,0.3238043189048767,0.2988807260990143,0.16708411276340485,0.2275353968143463,0.15998145937919617,0.2361413836479187,0.14232787489891052,0.168479785323143
records,0.1928240954875946,0.23035451769828796,0.14232267439365387,0.17885147035121918,0.23809710144996643,0.16741394996643066,0.21083123981952667,0.14110246300697327,0.17576263844966888,0.19383597373962402,0.12384546548128128
on,0.2340552806854248,0.3909217119216919,0.18472251296043396,0.3966929316520691,0.5107308030128479,0.20490248501300812,0.9999999403953552,0.25109460949897766,0.4077630043029785,0.28054413199424744,0.2714994251728058
climate,0.09277761727571487,0.14714933931827545,0.17960642278194427,0.25840428471565247,0.2693597674369812,0.24200697243213654,0.23228000104427338,0.20363107323646545,0.2292918860912323,0.15321674942970276,0.19998492300510406
research,0.17335498332977295,0.21417704224586487,0.18523642420768738,0.22573977708816528,0.24391183257102966,0.2682787775993347,0.2395089864730835,0.22170515358448029,0.27611881494522095,0.45694756507873535,0.13481977581977844
",",0.3365725874900818,0.45456063747406006,0.22044430673122406,0.4946078956127167,0.4933079481124878,0.2279532104730606,0.49057599902153015,0.23852159082889557,0.6633074283599854,0.2506360411643982,0.31091248989105225
as,0.3923053741455078,0.3677520453929901,0.22366109490394592,0.3886612355709076,0.48381632566452026,0.19250082969665527,0.36047765612602234,0.27572163939476013,0.49487000703811646,0.23977965116500854,0.27043893933296204
well,0.3480316996574402,0.3130364418029785,0.1075621247291565,0.3343164324760437,0.42630070447921753,0.15483975410461426,0.2982843816280365,0.2652667760848999,0.5258845686912537,0.18046589195728302,0.24815571308135986
as,0.3923053741455078,0.3677520453929901,0.22366109490394592,0.3886612355709076,0.48381632566452026,0.19250082969665527,0.36047765612602234,0.27572163939476013,0.49487000703811646,0.23977965116500854,0.27043893933296204
personal,0.2505263686180115,0.1733088493347168,0.10325779765844345,0.26268208026885986,0.19990217685699463,0.1380804181098938,0.22790829837322235,0.3087347745895386,0.26224902272224426,0.20633313059806824,0.206199511885643
information,0.19909629225730896,0.15183912217617035,0.10737024247646332,0.2860049605369568,0.3143121302127838,0.22157199680805206,0.23195485770702362,0.37654227018356323,0.28268665075302124,0.3713081479072571,0.24875912070274353
about,0.3477841317653656,0.2577359974384308,0.02139812894165516,0.40939709544181824,0.37995871901512146,0.16214777529239655,0.322975218296051,0.3042568862438202,0.3875081241130829,0.21007604897022247,0.302409827709198
their,0.3767721951007843,0.2396296262741089,0.13915465772151947,0.4329940676689148,0.516537070274353,0.17268189787864685,0.3598666191101074,0.18357940018177032,0.45114588737487793,0.18728666007518768,0.1898253709077835
finances,0.2506108582019806,0.2728915512561798,0.3533049523830414,0.32834872603416443,0.2775113582611084,0.3754426836967468,0.15748029947280884,0.29413196444511414,0.29335302114486694,0.430383563041687,0.10296480357646942
and,0.41279885172843933,0.3740963041782379,0.2024257630109787,0.5116966962814331,0.5171257257461548,0.22810380160808563,0.4077630043029785,0.19822724163532257,1.0,0.20238573849201202,0.20544172823429108
careers,0.2792385220527649,0.2539888620376587,0.22117304801940918,0.20655113458633423,0.20450343191623688,0.1594381183385849,0.20183247327804565,0.2240149825811386,0.2854659855365753,0.284832239151001,0.17144931852817535
",",0.3365725874900818,0.45456063747406006,0.22044430673122406,0.4946078956127167,0.4933079481124878,0.2279532104730606,0.49057599902153015,0.23852159082889557,0.6633074283599854,0.2506360411643982,0.31091248989105225
from,0.27839982509613037,0.31171464920043945,0.18754708766937256,0.4249346852302551,0.40150508284568787,0.16629678010940552,0.36926645040512085,0.18577329814434052,0.3601827025413513,0.18817460536956787,0.19969791173934937
mann,0.30077773332595825,0.23526287078857422,0.21272040903568268,0.18961620330810547,0.24622340500354767,0.1054827868938446,0.20025064051151276,0.14466334879398346,0.305417001247406,0.17196965217590332,0.1585768312215805
",",0.3365725874900818,0.45456063747406006,0.22044430673122406,0.4946078956127167,0.4933079481124878,0.2279532104730606,0.49057599902153015,0.23852159082889557,0.6633074283599854,0.2506360411643982,0.31091248989105225
bradley,0.2099350243806839,0.2518783509731293,0.18848520517349243,0.20986714959144592,0.21225079894065857,0.13165885210037231,0.21605284512043,0.13764707744121552,0.268306702375412,0.13745853304862976,0.14008547365665436
and,0.41279885172843933,0.3740963041782379,0.2024257630109787,0.5116966962814331,0.5171257257461548,0.22810380160808563,0.4077630043029785,0.19822724163532257,1.0,0.20238573849201202,0.20544172823429108
hughes,0.25713270902633667,0.2729848027229309,0.21917550265789032,0.21100978553295135,0.2516627907752991,0.13814587891101837,0.18982701003551483,0.11725858598947525,0.30482640862464905,0.17406103014945984,0.1937333196401596
.,0.3541337847709656,0.40146201848983765,0.1698046624660492,0.5352458953857422,0.5934505462646484,0.20652523636817932,0.49257001280784607,0.2864499092102051,0.588965117931366,0.2702087461948395,0.4130953550338745
