,what,is,the,most,critical,resource,in,the,analysis,of,computational,problems,associated,with,non-deterministic,turing,machines,?
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.25937238335609436,0.2305259257555008,0.6662389636039734,1.0,0.24241644144058228,0.733189046382904,0.18477948009967804,0.2659202516078949,0.2742886245250702,0.4223487675189972,0.35790613293647766,0.2644472122192383,0.22618883848190308,0.22068053483963013
non-deterministic,0.4249761998653412,0.34313321113586426,0.35790613293647766,0.28548556566238403,0.3984804153442383,0.3045431971549988,0.25323057174682617,0.35790613293647766,0.5070148706436157,0.37207725644111633,0.5867934823036194,0.3103458881378174,0.3196840286254883,0.28003308176994324,1.0,0.41113001108169556,0.30472615361213684,0.284718781709671
turing,0.2806522250175476,0.18364353477954865,0.2644472122192383,0.23340554535388947,0.2871027886867523,0.2393440306186676,0.26572495698928833,0.2644472122192383,0.3259137272834778,0.2670239806175232,0.500740647315979,0.22053948044776917,0.12496623396873474,0.15793664753437042,0.41113001108169556,1.0000001192092896,0.4426501989364624,0.1460462063550949
machine,0.23075932264328003,0.18938691914081573,0.22788187861442566,0.17841923236846924,0.14126957952976227,0.23236535489559174,0.16716814041137695,0.22788187861442566,0.22334632277488708,0.15468473732471466,0.3237122893333435,0.20043540000915527,0.09378839284181595,0.1688918024301529,0.2774420380592346,0.4048772156238556,0.7925316095352173,0.17587624490261078
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.3426419198513031,0.18859994411468506,0.18907074630260468,0.4173259735107422,0.4177538752555847,0.20760852098464966,0.3909035325050354,0.20865057408809662,0.20163418352603912,0.24781976640224457,0.44092974066734314,0.26308804750442505,0.15688374638557434,0.1272239238023758,0.15994466841220856
very,0.37053924798965454,0.3671363294124603,0.34171217679977417,0.5814827680587769,0.30731692910194397,0.21135777235031128,0.3209688663482666,0.34171217679977417,0.19256480038166046,0.34437474608421326,0.2696800231933594,0.32230573892593384,0.276346892118454,0.3860565423965454,0.2768148183822632,0.1702156364917755,0.2839404344558716,0.20864155888557434
little,0.2614184617996216,0.23436859250068665,0.2412613034248352,0.20023827254772186,0.1884438842535019,0.16829141974449158,0.22515349090099335,0.2412613034248352,0.1758672595024109,0.20116642117500305,0.18342991173267365,0.17804864048957825,0.08524778485298157,0.22821269929409027,0.16139093041419983,0.17558695375919342,0.24207144975662231,0.20336517691612244
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.321603000164032,0.21045534312725067,0.28694528341293335,0.45010748505592346,0.535392165184021,0.21860700845718384,0.41548454761505127,0.246933713555336,0.28989166021347046,0.2648659348487854,0.4239959120750427,0.3208942711353302,0.22095461189746857,0.2695792019367218,0.29463258385658264
do,0.4609605669975281,0.30895981192588806,0.30239659547805786,0.31522849202156067,0.17903640866279602,0.21569053828716278,0.23402775824069977,0.30239659547805786,0.15965881943702698,0.26150479912757874,0.22491653263568878,0.3000752329826355,0.15315046906471252,0.23744353652000427,0.3444209396839142,0.18086542189121246,0.2669021785259247,0.4093979299068451
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.336320698261261,0.1823287159204483,0.19526492059230804,0.4080928862094879,0.4223487675189972,0.17961592972278595,0.41827285289764404,0.17668114602565765,0.3139011859893799,0.3939831554889679,0.9999999403953552,0.28003308176994324,0.15793664753437042,0.1873357594013214,0.2433311939239502
how,0.6468034982681274,0.22544461488723755,0.33890387415885925,0.311336874961853,0.23691707849502563,0.2093914896249771,0.2601168751716614,0.33890387415885925,0.289559006690979,0.2480744868516922,0.3542470932006836,0.37939780950546265,0.22210390865802765,0.3525622487068176,0.3728158175945282,0.25509366393089294,0.37949854135513306,0.4024120569229126
we,0.5622460842132568,0.2876903712749481,0.3206169009208679,0.25597360730171204,0.27260804176330566,0.28575894236564636,0.23132319748401642,0.3206169009208679,0.23192641139030457,0.2769293785095215,0.31462714076042175,0.3296279311180115,0.16444624960422516,0.2434365600347519,0.40666988492012024,0.25451889634132385,0.33576518297195435,0.535264790058136
physically,0.30163097381591797,0.24083584547042847,0.24411144852638245,0.2962459921836853,0.26041749119758606,0.21072091162204742,0.20085957646369934,0.24411144852638245,0.1720372438430786,0.23527942597866058,0.3348163068294525,0.2992404103279114,0.257915735244751,0.3012513220310211,0.3331523537635803,0.20945385098457336,0.2535688281059265,0.10199815034866333
want,0.516654908657074,0.2273285835981369,0.3003826439380646,0.2557942569255829,0.22228655219078064,0.22871266305446625,0.2281211018562317,0.3003826439380646,0.1506824642419815,0.2645295262336731,0.23937125504016876,0.3299461901187897,0.13336870074272156,0.2721838057041168,0.3148394525051117,0.19867102801799774,0.2771616578102112,0.44783785939216614
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.321603000164032,0.21045534312725067,0.28694528341293335,0.45010748505592346,0.535392165184021,0.21860700845718384,0.41548454761505127,0.246933713555336,0.28989166021347046,0.2648659348487854,0.4239959120750427,0.3208942711353302,0.22095461189746857,0.2695792019367218,0.29463258385658264
compute,0.3069388270378113,0.24653887748718262,0.1901584267616272,0.1505797803401947,0.2065749317407608,0.32729172706604004,0.16899120807647705,0.1901584267616272,0.35115712881088257,0.20833022892475128,0.7425577640533447,0.28730425238609314,0.09633956104516983,0.1905808001756668,0.45036086440086365,0.4834384024143219,0.3803602159023285,0.2203136384487152
algorithms,0.25635042786598206,0.24730736017227173,0.167828768491745,0.1962970346212387,0.20115891098976135,0.2866232097148895,0.19189399480819702,0.167828768491745,0.34604814648628235,0.22317801415920258,0.6361116766929626,0.3502533733844757,0.07496894150972366,0.11621308326721191,0.41728004813194275,0.45750296115875244,0.3699389100074768,0.186949223279953
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.2721431255340576,0.2016548067331314,0.5201468467712402,0.4933079481124878,0.25410884618759155,0.4946078956127167,0.28742313385009766,0.2596952021121979,0.27184680104255676,0.4120737314224243,0.26620715856552124,0.2807261645793915,0.25857728719711304,0.31091248989105225
but,0.5029441118240356,0.4106791317462921,0.4859698414802551,0.45211657881736755,0.27443525195121765,0.209241583943367,0.48674455285072327,0.4859698414802551,0.24769467115402222,0.39942997694015503,0.2865450084209442,0.34171879291534424,0.16926196217536926,0.4495173394680023,0.3503410220146179,0.23138876259326935,0.31170201301574707,0.27921953797340393
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.32324016094207764,0.2759879231452942,0.2441760152578354,0.3793783485889435,0.559237003326416,0.22928577661514282,0.48690423369407654,0.19936877489089966,0.21335220336914062,0.22643549740314484,0.3087116777896881,0.3658622205257416,0.13580092787742615,0.1612391620874405,0.15103481709957123
branching,0.24799583852291107,0.2247949093580246,0.2994140684604645,0.3051016330718994,0.17574657499790192,0.19937866926193237,0.24715732038021088,0.2994140684604645,0.32786843180656433,0.30700066685676575,0.38842839002609253,0.24937155842781067,0.19757875800132751,0.24168911576271057,0.3859179615974426,0.21829445660114288,0.25076523423194885,0.17171049118041992
exactly,0.5801165103912354,0.26177722215652466,0.30447691679000854,0.2430257946252823,0.19227932393550873,0.12294278293848038,0.19650237262248993,0.30447691679000854,0.24138912558555603,0.24229927361011505,0.29920148849487305,0.22226540744304657,0.1839543879032135,0.26854681968688965,0.40257805585861206,0.2423519492149353,0.2114379107952118,0.35508325695991516
captures,0.1314621865749359,0.19869258999824524,0.29211777448654175,0.1823047548532486,0.12938137352466583,0.10559391975402832,0.23989617824554443,0.29211777448654175,0.13466954231262207,0.2764648199081421,0.08440674096345901,0.13372662663459778,0.04850583150982857,0.18241803348064423,0.17041976749897003,0.2853315472602844,0.1892414391040802,0.11506674438714981
