,which,journal,was,the,joint,statement,published,in,?
the,0.6521818041801453,0.20882099866867065,0.48711544275283813,1.0,0.2854326069355011,0.20954233407974243,0.22017472982406616,0.6662389636039734,0.22068053483963013
statement,0.31563881039619446,0.23677252233028412,0.2362719178199768,0.20954233407974243,0.1536673605442047,1.0000001192092896,0.20140144228935242,0.17217876017093658,0.28978636860847473
",",0.3658004403114319,0.23057693243026733,0.45456063747406006,0.4933079481124878,0.1446857750415802,0.22861604392528534,0.2937801778316498,0.5201468467712402,0.31091248989105225
also,0.6566565632820129,0.19617004692554474,0.4032125174999237,0.6021018624305725,0.21839182078838348,0.26974233984947205,0.22082136571407318,0.5073733329772949,0.21848613023757935
published,0.19621475040912628,0.4533917307853699,0.2896443009376526,0.22017472982406616,0.16785751283168793,0.20140144228935242,1.0,0.26697060465812683,0.16280238330364227
as,0.41006597876548767,0.17632339894771576,0.3677520453929901,0.48381632566452026,0.11799750477075577,0.24294103682041168,0.16957594454288483,0.3887844979763031,0.27043893933296204
an,0.3611921966075897,0.11304932832717896,0.3694365322589874,0.4207492768764496,0.10659915208816528,0.2489083856344223,0.11590567231178284,0.2605783939361572,0.19793890416622162
editorial,0.14071953296661377,0.3388262987136841,0.17539674043655396,0.1921989768743515,0.1096666231751442,0.30550417304039,0.3874720335006714,0.16713255643844604,0.20875844359397888
in,0.4840516746044159,0.23133879899978638,0.45514053106307983,0.6662389636039734,0.19035212695598602,0.17217876017093658,0.26697060465812683,1.0,0.20430970191955566
the,0.6521818041801453,0.20882099866867065,0.48711544275283813,1.0,0.2854326069355011,0.20954233407974243,0.22017472982406616,0.6662389636039734,0.22068053483963013
journal,0.19119428098201752,1.0000001192092896,0.20567549765110016,0.20882099866867065,0.05886787548661232,0.23677252233028412,0.4533917307853699,0.23133879899978638,0.11746427416801453
science,0.27382832765579224,0.34125789999961853,0.22005605697631836,0.24037593603134155,0.1408468782901764,0.167688250541687,0.27250435948371887,0.269875705242157,0.17974960803985596
",",0.3658004403114319,0.23057693243026733,0.45456063747406006,0.4933079481124878,0.1446857750415802,0.22861604392528534,0.2937801778316498,0.5201468467712402,0.31091248989105225
stated,0.2548240125179291,0.20534256100654602,0.33307945728302,0.2814950942993164,0.15843892097473145,0.5168680548667908,0.3242749869823456,0.24313503503799438,0.24280361831188202
``,0.05178012326359749,0.00018369416648056358,-0.012679691426455975,0.029072100296616554,0.035489272326231,0.08327054977416992,-0.08193813264369965,0.04765888676047325,0.0685480609536171
we,0.3836151957511902,0.14557242393493652,0.16542018949985504,0.3206169009208679,0.1308278739452362,0.3451419174671173,0.178423672914505,0.23132319748401642,0.535264790058136
support,0.21665282547473907,0.16530439257621765,0.2208256870508194,0.22984638810157776,0.20125819742679596,0.38357678055763245,0.08873538672924042,0.17618270218372345,0.22626608610153198
the,0.6521818041801453,0.20882099866867065,0.48711544275283813,1.0,0.2854326069355011,0.20954233407974243,0.22017472982406616,0.6662389636039734,0.22068053483963013
[,0.07771235704421997,0.10258626192808151,0.03263993561267853,0.07130392640829086,0.00318536558188498,0.019145922735333443,0.06883145868778229,0.12324675917625427,0.011015460826456547
tar,0.24411270022392273,0.07491554319858551,0.13091522455215454,0.20640505850315094,0.20844054222106934,0.07694270461797714,0.08771597594022751,0.2217428833246231,0.09344086050987244
's,0.03856118768453598,0.045637037605047226,0.008974763564765453,-0.01540423184633255,-0.07964841276407242,-0.007225947454571724,0.01244857907295227,-0.037580832839012146,-0.023395681753754616
],-0.0305959302932024,-0.10256682336330414,0.0001094614781322889,-0.04779602214694023,0.07260286808013916,-0.05544012039899826,-0.0239401962608099,-0.1088862195611,-0.0022520492784678936
conclusion,0.27303701639175415,0.2116977721452713,0.19978472590446472,0.25632116198539734,0.11006639897823334,0.5336511135101318,0.20706045627593994,0.2106221318244934,0.23632600903511047
that,0.6894589066505432,0.21266260743141174,0.33670201897621155,0.5473989248275757,0.20248666405677795,0.42887982726097107,0.23603634536266327,0.435920387506485,0.32716336846351624
it,0.616637647151947,0.13881663978099823,0.4577186405658722,0.6251175999641418,0.16021373867988586,0.2746777832508087,0.22625504434108734,0.5130809545516968,0.25732165575027466
