,what,does,the,beroe,do,when,pursuing,prey,?
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.21582861244678497,0.23402775824069977,0.4431333839893341,0.2273898869752884,0.18856383860111237,0.20430970191955566
front,0.19401875138282776,0.18855611979961395,0.3733479380607605,0.13882361352443695,0.15774807333946228,0.27138909697532654,0.1893371194601059,0.19725465774536133,0.16351862251758575
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.24126726388931274,0.26150479912757874,0.3757161796092987,0.21620486676692963,0.16259106993675232,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,1.0,0.2654626965522766,0.30239659547805786,0.5091903209686279,0.2532423436641693,0.2732231020927429,0.22068053483963013
field,0.1825202852487564,0.1662576049566269,0.2105809599161148,0.13483770191669464,0.1733429878950119,0.20833460986614227,0.2426241934299469,0.13965129852294922,0.11279727518558502
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.24126726388931274,0.26150479912757874,0.3757161796092987,0.21620486676692963,0.16259106993675232,0.1826142966747284
macrocilia,0.23893707990646362,0.22999007999897003,0.16270484030246735,0.33188626170158386,0.2738080322742462,0.1535205841064453,0.15094101428985596,0.3447534441947937,0.20947900414466858
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.2364800125360489,0.3283645510673523,0.36674630641937256,0.24585573375225067,0.17115898430347443,0.31091248989105225
on,0.34226128458976746,0.2568802833557129,0.5107308030128479,0.16552194952964783,0.3025321364402771,0.37706470489501953,0.24080048501491547,0.16649864614009857,0.2714994251728058
the,0.42745697498321533,0.35928019881248474,1.0,0.2654626965522766,0.30239659547805786,0.5091903209686279,0.2532423436641693,0.2732231020927429,0.22068053483963013
mouth,0.18337541818618774,0.21820485591888428,0.3073960244655609,0.19541604816913605,0.17105767130851746,0.23531217873096466,0.07498583942651749,0.3106551766395569,0.21761061251163483
``,0.008517155423760414,0.06539655476808548,0.029072100296616554,0.1646428406238556,0.06628920882940292,0.07174111902713776,-0.020918017253279686,0.12713317573070526,0.0685480609536171
lips,0.20122739672660828,0.2737962305545807,0.1989738941192627,0.1378154754638672,0.19488385319709778,0.2690250277519226,0.16500355303287506,0.25481095910072327,0.20877473056316376
'',0.08143015950918198,-0.004023602232336998,0.041273195296525955,-0.021927639842033386,-0.00043653504690155387,-0.07688097655773163,-0.007920471951365471,-0.07479113340377808,0.018684765323996544
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.21582861244678497,0.23402775824069977,0.4431333839893341,0.2273898869752884,0.18856383860111237,0.20430970191955566
some,0.4491020441055298,0.39611563086509705,0.4566698372364044,0.2237604409456253,0.4725562036037445,0.386913925409317,0.25109153985977173,0.28898271918296814,0.2562315762042999
species,0.14617158472537994,0.1635095626115799,0.2522439956665039,0.3046763837337494,0.20613440871238708,0.13816511631011963,0.14383770525455475,0.45340651273727417,0.1957087516784668
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.24126726388931274,0.26150479912757874,0.3757161796092987,0.21620486676692963,0.16259106993675232,0.1826142966747284
