,how,many,yards,did,newton,get,for,passes,in,the,2015,season,?
pro,0.18713277578353882,0.13571034371852875,0.22075164318084717,0.14497412741184235,0.10714779049158096,0.13220593333244324,0.2676255404949188,0.18103180825710297,0.152218297123909,0.2149612456560135,0.052606672048568726,0.13625283539295197,0.17645101249217987
bowl,0.1720007210969925,0.17932994663715363,0.2993983328342438,0.18569406867027283,0.1892489492893219,0.17289145290851593,0.24430087208747864,0.253427654504776,0.17236235737800598,0.21576224267482758,0.0710686594247818,0.3117852509021759,0.21118052303791046
quarterback,0.10935026407241821,0.09331715106964111,0.5115955471992493,0.13718701899051666,0.29465755820274353,0.19782772660255432,0.2683273255825043,0.32282570004463196,0.17283181846141815,0.23757418990135193,-0.07722106575965881,0.360336571931839,0.13221268355846405
cam,0.14944414794445038,0.13726761937141418,0.18628010153770447,0.15223097801208496,0.32548287510871887,0.1930353343486786,0.22685806453227997,0.18790455162525177,0.17906330525875092,0.18275147676467896,-0.0011327267857268453,0.20508506894111633,0.1622646003961563
newton,0.2514588236808777,0.1828424632549286,0.29241275787353516,0.23863376677036285,1.0000001192092896,0.11107507348060608,0.18168501555919647,0.24855424463748932,0.23639483749866486,0.1876603662967682,0.04000600054860115,0.1289832442998886,0.09645649790763855
had,0.2549138069152832,0.40130746364593506,0.19894513487815857,0.540525496006012,0.17341329157352448,0.33344826102256775,0.3270139992237091,0.1697654277086258,0.385026752948761,0.3875846862792969,0.0605347566306591,0.1978970468044281,0.20728366076946259
one,0.3213292360305786,0.4223630726337433,0.2028396874666214,0.27659472823143005,0.20534484088420868,0.2962729334831238,0.384836345911026,0.24161100387573242,0.4129433035850525,0.5514441132545471,-0.006648390553891659,0.24332979321479797,0.2673267424106598
of,0.2480744868516922,0.37253960967063904,0.14466260373592377,0.2513895630836487,0.18479612469673157,0.26628199219703674,0.4185989499092102,0.31505411863327026,0.5696388483047485,0.733189046382904,0.21138253808021545,0.1598338931798935,0.1826142966747284
his,0.24614305794239044,0.3188176155090332,0.2510942220687866,0.3546801507472992,0.2519145607948303,0.24320417642593384,0.39312878251075745,0.19256499409675598,0.3598145842552185,0.4394008219242096,0.0642445981502533,0.20986881852149963,0.18075084686279297
best,0.25441184639930725,0.2589998245239258,0.1580885648727417,0.25550925731658936,0.20502272248268127,0.1688929796218872,0.45128104090690613,0.13351863622665405,0.2813531160354614,0.3134109377861023,-0.06681548804044724,0.20042479038238525,0.2799045741558075
