,in,what,era,did,some,members,of,this,community,emigrate,to,the,us,?
some,0.4010399878025055,0.4491020441055298,0.2322918325662613,0.42553430795669556,0.9999999403953552,0.302155077457428,0.4300730526447296,0.5247883796691895,0.24749743938446045,0.21606658399105072,0.4636894166469574,0.4566698372364044,0.2204330712556839,0.2562315762042999
members,0.196792870759964,0.16873176395893097,0.19293847680091858,0.21391335129737854,0.302155077457428,0.9999998807907104,0.28120753169059753,0.24857299029827118,0.20654897391796112,0.1811094880104065,0.26617446541786194,0.3321719169616699,0.12837296724319458,0.10212311148643494
of,0.5696388483047485,0.33290785551071167,0.20396220684051514,0.2513895630836487,0.4300730526447296,0.28120753169059753,1.0,0.45148900151252747,0.2367410808801651,0.18171238899230957,0.41548454761505127,0.733189046382904,0.23568789660930634,0.1826142966747284
this,0.45205554366111755,0.5489566326141357,0.2598396837711334,0.3609912693500519,0.5247883796691895,0.24857299029827118,0.45148900151252747,0.9999999403953552,0.27303338050842285,0.21496011316776276,0.5759071707725525,0.6274310946464539,0.28853827714920044,0.3155723512172699
community,0.21838891506195068,0.29032719135284424,0.0549842044711113,0.1464618593454361,0.24749743938446045,0.20654897391796112,0.2367410808801651,0.27303338050842285,0.9999998807907104,0.20809535682201385,0.2863751947879791,0.2601400911808014,0.1939280927181244,0.2380419820547104
emigrated,0.3249180018901825,0.14625050127506256,0.12195220589637756,0.21251864731311798,0.19260868430137634,0.15904158353805542,0.21708126366138458,0.16872549057006836,0.22337661683559418,0.8940826654434204,0.2400704175233841,0.24469347298145294,0.11293606460094452,0.08970973640680313
to,0.45010748505592346,0.455847829580307,0.12544193863868713,0.4452643394470215,0.4636894166469574,0.26617446541786194,0.41548454761505127,0.5759071707725525,0.2863751947879791,0.3268754184246063,1.0,0.535392165184021,0.2928973436355591,0.29463258385658264
the,0.6662389636039734,0.42745697498321533,0.266272634267807,0.34736719727516174,0.4566698372364044,0.3321719169616699,0.733189046382904,0.6274310946464539,0.2601400911808014,0.22921960055828094,0.535392165184021,1.0,0.25727739930152893,0.22068053483963013
united,0.3938477039337158,0.20036718249320984,0.16092295944690704,0.21137088537216187,0.22087086737155914,0.21832546591758728,0.3187655806541443,0.23579099774360657,0.2618454694747925,0.30549049377441406,0.2715383470058441,0.34367692470550537,0.4374046325683594,0.17266890406608582
states,0.3977442979812622,0.21526020765304565,0.1451513022184372,0.21754568815231323,0.2479456067085266,0.21209931373596191,0.30884552001953125,0.2684851288795471,0.27721264958381653,0.3129997253417969,0.2828785181045532,0.3463578522205353,0.4605454206466675,0.16272737085819244
in,1.0,0.30808621644973755,0.19679902493953705,0.2593238651752472,0.4010399878025055,0.196792870759964,0.5696388483047485,0.45205554366111755,0.21838891506195068,0.2956639528274536,0.45010748505592346,0.6662389636039734,0.19746538996696472,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.266272634267807,0.34736719727516174,0.4566698372364044,0.3321719169616699,0.733189046382904,0.6274310946464539,0.2601400911808014,0.22921960055828094,0.535392165184021,1.0,0.25727739930152893,0.22068053483963013
1890s,-0.06619101017713547,-0.059243496507406235,-0.05555911734700203,0.014743250794708729,-0.04553299397230148,0.007422385271638632,-0.17849217355251312,0.0055296765640378,-0.0946943387389183,-0.059618961066007614,-0.0383119136095047,-0.08553695678710938,0.05614859610795975,0.06898432970046997
.,0.5591574311256409,0.3567904531955719,0.1924184113740921,0.35288307070732117,0.40663889050483704,0.21119362115859985,0.5352458953857422,0.500583827495575,0.2594514787197113,0.25590071082115173,0.4645031690597534,0.5934505462646484,0.3162994682788849,0.4130953550338745
