,what,is,it,estimated,that,about,half,of,all,variation,in,homicide,rates,can,be,accounted,for,by,?
they,0.4431931674480438,0.330102801322937,0.44394949078559875,0.2016545534133911,0.5710820555686951,0.34267860651016235,0.22236955165863037,0.3426007330417633,0.4884434938430786,0.0974869504570961,0.4330179989337921,0.14624302089214325,0.2682439088821411,0.47909218072891235,0.4858434796333313,0.25255051255226135,0.3466525673866272,0.3391372263431549,0.2753053903579712
estimated,0.19670580327510834,0.23564131557941437,0.22731517255306244,1.0000001192092896,0.23507140576839447,0.3612971007823944,0.2879455089569092,0.30473583936691284,0.23451130092144012,0.21154840290546417,0.2508986294269562,0.2747281491756439,0.3671438694000244,0.15765570104122162,0.21316911280155182,0.47650396823883057,0.13000595569610596,0.21071015298366547,0.18149758875370026
that,0.6297725439071655,0.3995479643344879,0.5921133160591125,0.23507140576839447,1.0,0.4500710964202881,0.2764185965061188,0.41498205065727234,0.53305584192276,0.2502545714378357,0.435920387506485,0.23795382678508759,0.3044385015964508,0.4522190988063812,0.6036020517349243,0.3668058514595032,0.4137635827064514,0.37496164441108704,0.32716336846351624
about,0.47976887226104736,0.3532065451145172,0.4291239380836487,0.3612971007823944,0.4500710964202881,1.0,0.29187318682670593,0.40939709544181824,0.2926684319972992,0.1742389053106308,0.39797019958496094,0.19372498989105225,0.26417064666748047,0.27397462725639343,0.26362910866737366,0.30928367376327515,0.3312419354915619,0.30091190338134766,0.302409827709198
half,0.13016436994075775,0.2514667510986328,0.2682355046272278,0.2879455089569092,0.2764185965061188,0.29187318682670593,1.0000001192092896,0.2784358561038971,0.3124762177467346,0.16115304827690125,0.25644969940185547,0.17022056877613068,0.2079170048236847,0.14452819526195526,0.18918320536613464,0.18099196255207062,0.21664121747016907,0.22449548542499542,0.07471233606338501
of,0.33290785551071167,0.4854315221309662,0.38761502504348755,0.30473583936691284,0.41498205065727234,0.40939709544181824,0.2784358561038971,1.0,0.42798417806625366,0.2677055895328522,0.5696388483047485,0.2356693297624588,0.2585311233997345,0.2603091299533844,0.33904364705085754,0.2735593020915985,0.4185989499092102,0.3646814823150635,0.1826142966747284
all,0.41981086134910583,0.2553904056549072,0.36125609278678894,0.23451130092144012,0.53305584192276,0.2926684319972992,0.3124762177467346,0.42798417806625366,1.0000001192092896,0.1935393214225769,0.3335905969142914,0.20603622496128082,0.27634888887405396,0.3574998378753662,0.42151448130607605,0.315192312002182,0.41144001483917236,0.2944089472293854,0.29575422406196594
variation,0.2104281336069107,0.2888372540473938,0.2784188985824585,0.21154840290546417,0.2502545714378357,0.1742389053106308,0.16115304827690125,0.2677055895328522,0.1935393214225769,1.0000001192092896,0.2113669216632843,0.11659057438373566,0.264058917760849,0.29149577021598816,0.2556818425655365,0.17831481993198395,0.25241565704345703,0.1935606151819229,0.2178945690393448
in,0.30808621644973755,0.5394441485404968,0.5130809545516968,0.2508986294269562,0.435920387506485,0.39797019958496094,0.25644969940185547,0.5696388483047485,0.3335905969142914,0.2113669216632843,1.0,0.25105005502700806,0.26258307695388794,0.26527702808380127,0.3481820821762085,0.22296495735645294,0.4322226941585541,0.370934396982193,0.20430970191955566
homicide,0.19436368346214294,0.2131701111793518,0.1599237024784088,0.2747281491756439,0.23795382678508759,0.19372498989105225,0.17022056877613068,0.2356693297624588,0.20603622496128082,0.11659057438373566,0.25105005502700806,1.0,0.36175763607025146,0.1482374519109726,0.2160605788230896,0.25662168860435486,0.2187897264957428,0.24464139342308044,0.20019757747650146
