,what,is,an,important,factor,contributing,to,inequality,for,individuals,?
an,0.2821882665157318,0.4654068350791931,1.0,0.2662794589996338,0.1383458375930786,0.18576398491859436,0.3138085603713989,0.17885848879814148,0.3236706852912903,0.21745453774929047,0.19793890416622162
important,0.31164905428886414,0.350485235452652,0.2662794589996338,1.0000001192092896,0.2850533723831177,0.2971195578575134,0.30913278460502625,0.32523176074028015,0.3458578288555145,0.18707415461540222,0.17812499403953552
factor,0.23239780962467194,0.2690885663032532,0.1383458375930786,0.2850533723831177,0.9999998807907104,0.30556121468544006,0.23708900809288025,0.3792301416397095,0.29209399223327637,0.3196558654308319,0.2154984176158905
in,0.30808621644973755,0.5394441485404968,0.2605783939361572,0.3796374499797821,0.2656479775905609,0.2501331865787506,0.45010748505592346,0.19402410089969635,0.4322226941585541,0.22240658104419708,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.39348116517066956,0.2859867215156555,0.2776218056678772,0.535392165184021,0.23508106172084808,0.4739971458911896,0.3022412955760956,0.22068053483963013
creation,0.2653278112411499,0.2773818373680115,0.2124980390071869,0.2256934940814972,0.12295117229223251,0.2865762710571289,0.28549936413764954,0.264230340719223,0.26819050312042236,0.2303118258714676,0.2407430112361908
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.43301743268966675,0.2744791805744171,0.26530972123146057,0.41548454761505127,0.27910974621772766,0.4185989499092102,0.27365922927856445,0.1826142966747284
inequality,0.30072227120399475,0.1953488290309906,0.17885848879814148,0.32523176074028015,0.3792301416397095,0.2621890604496002,0.24361056089401245,1.0000001192092896,0.256974995136261,0.39808589220046997,0.23619021475315094
is,0.28837618231773376,1.0,0.4654068350791931,0.350485235452652,0.2690885663032532,0.2102007418870926,0.42745086550712585,0.1953488290309906,0.43268078565597534,0.23137153685092926,0.22961433231830597
variation,0.2104281336069107,0.2888372540473938,0.13297298550605774,0.18388347327709198,0.28751084208488464,0.12154877930879593,0.224077507853508,0.27245229482650757,0.25241565704345703,0.27851971983909607,0.2178945690393448
in,0.30808621644973755,0.5394441485404968,0.2605783939361572,0.3796374499797821,0.2656479775905609,0.2501331865787506,0.45010748505592346,0.19402410089969635,0.4322226941585541,0.22240658104419708,0.20430970191955566
individuals,0.25709760189056396,0.23137153685092926,0.21745453774929047,0.18707415461540222,0.3196558654308319,0.29471567273139954,0.3194306492805481,0.39808589220046997,0.2869735360145569,1.0,0.20243582129478455
',0.3245812654495239,0.5508411526679993,0.36139753460884094,0.2114408314228058,0.19680002331733704,0.2030467391014099,0.34544456005096436,0.1538884937763214,0.31184524297714233,0.09717578440904617,0.330942302942276
access,0.2685140371322632,0.21022571623325348,0.21247172355651855,0.21755245327949524,0.07706940919160843,0.31929975748062134,0.3465658128261566,0.2143307775259018,0.2941345274448395,0.2942047119140625,0.2482174038887024
to,0.455847829580307,0.42745086550712585,0.3138085603713989,0.30913278460502625,0.23708900809288025,0.27474990487098694,1.0,0.24361056089401245,0.4451248347759247,0.3194306492805481,0.29463258385658264
education,0.19940856099128723,0.18778188526630402,0.1506793051958084,0.24285119771957397,0.19244056940078735,0.22815687954425812,0.2626708149909973,0.4061594307422638,0.27265021204948425,0.23829632997512817,0.18067774176597595
.,0.3567904531955719,0.4569662809371948,0.3581749200820923,0.33938494324684143,0.25708669424057007,0.24290238320827484,0.4645031690597534,0.22563500702381134,0.4726039469242096,0.2722686529159546,0.4130953550338745
