,where,was,william,iron,arm,'s,castle,located,?
the,0.5003893971443176,0.48711544275283813,0.21537061035633087,0.27578672766685486,0.2214433252811432,-0.01540423184633255,0.21430203318595886,0.407527357339859,0.22068053483963013
normans,0.14316874742507935,0.23244261741638184,0.31932777166366577,0.23253856599330902,0.08737824112176895,-0.022665709257125854,0.2903772294521332,0.12128528952598572,0.12354589998722076
left,0.275688111782074,0.21956826746463776,0.15980997681617737,0.13840332627296448,0.28530409932136536,0.0003564352518878877,0.06287393718957901,0.18601800501346588,0.13251960277557373
their,0.3356108069419861,0.2396296262741089,0.14461882412433624,0.16435928642749786,0.20879577100276947,-0.005530759692192078,0.11679010838270187,0.19801606237888336,0.1898253709077835
legacy,0.1094556450843811,0.1847599893808365,0.17679651081562042,0.19349105656147003,0.20293496549129486,-0.10374093055725098,0.16889533400535583,0.050484877079725266,0.162081778049469
in,0.5344807505607605,0.45514053106307983,0.21605195105075836,0.2270619124174118,0.17881454527378082,-0.037580832839012146,0.2009769082069397,0.35149815678596497,0.20430970191955566
many,0.4338301420211792,0.260356068611145,0.13709884881973267,0.2175438553094864,0.1505536288022995,0.01698932610452175,0.1962142288684845,0.17394456267356873,0.2124512493610382
castles,0.25698089599609375,0.23408907651901245,0.22177526354789734,0.23882831633090973,0.06130791828036308,-0.05249373987317085,0.7914292216300964,0.18183666467666626,0.08299993723630905
",",0.3149496018886566,0.45456063747406006,0.23339112102985382,0.23416942358016968,0.1692921221256256,-0.0016132977325469255,0.2080804705619812,0.2678719460964203,0.31091248989105225
such,0.3198639750480652,0.12487147748470306,0.10043726116418839,0.188498392701149,0.12465570122003555,0.05073437839746475,0.07265492528676987,0.12636038661003113,0.17851735651493073
as,0.35409465432167053,0.3677520453929901,0.21397505700588226,0.2332594394683838,0.17801997065544128,-0.05775856226682663,0.13820332288742065,0.20928777754306793,0.27043893933296204
william,0.11286398023366928,0.28444796800613403,1.0,0.14444385468959808,0.1123870462179184,0.00675395829603076,0.20005841553211212,0.07760541141033173,0.14462219178676605
iron,0.16026240587234497,0.21926720440387726,0.14444385468959808,1.0,0.15929558873176575,-0.0246629249304533,0.11838038265705109,0.12115053087472916,0.1309053897857666
