,what,is,the,name,of,the,desert,city,?
many,0.36131182312965393,0.2649032473564148,0.4335206151008606,0.206878662109375,0.37253960967063904,0.4335206151008606,0.24732324481010437,0.21416836977005005,0.2124512493610382
locals,0.24813959002494812,0.2034311294555664,0.2628128230571747,0.2230050414800644,0.20127134025096893,0.2628128230571747,0.18034259974956512,0.2076036036014557,0.19693240523338318
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.23454883694648743,0.2827445864677429,0.20544172823429108
tourists,0.1792978197336197,0.24758118391036987,0.2852522134780884,0.12587971985340118,0.21494702994823456,0.2852522134780884,0.22293159365653992,0.3217882812023163,0.10706513375043869
frequent,0.22018176317214966,0.19669964909553528,0.20967717468738556,0.05242081359028816,0.17798742651939392,0.20967717468738556,0.2003161907196045,0.052559707313776016,0.13923750817775726
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.234701469540596,0.35769423842430115,0.22068053483963013
southern,0.18679563701152802,0.2419366091489792,0.3282862603664398,0.1812441051006317,0.31933003664016724,0.3282862603664398,0.2897672653198242,0.31186121702194214,0.11225555837154388
california,0.1811584085226059,0.20727038383483887,0.2750805914402008,0.11570362001657486,0.24929828941822052,0.2750805914402008,0.2769716680049896,0.2801341712474823,0.1409905105829239
coast,0.2200622260570526,0.25204822421073914,0.28366661071777344,0.15518057346343994,0.2811681628227234,0.28366661071777344,0.34079092741012573,0.3207913041114807,0.15869849920272827
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.25737348198890686,0.4185989499092102,0.4739971458911896,0.1676986664533615,0.18687109649181366,0.264628142118454
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.317160964012146,0.48690423369407654,0.559237003326416,0.1109466552734375,0.3465842306613922,0.15103481709957123
popular,0.186283677816391,0.30144429206848145,0.2724021077156067,0.2503059506416321,0.25281813740730286,0.2724021077156067,0.12720856070518494,0.19899040460586548,0.13108457624912262
beaches,0.15222468972206116,0.2566693127155304,0.253246545791626,0.08489159494638443,0.24178698658943176,0.253246545791626,0.30511748790740967,0.32652127742767334,0.13028982281684875
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.21947160363197327,0.35839709639549255,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.23454883694648743,0.2827445864677429,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.234701469540596,0.35769423842430115,0.22068053483963013
desert,0.25473538041114807,0.18520480394363403,0.234701469540596,0.11032266914844513,0.20448997616767883,0.234701469540596,1.0,0.24031664431095123,0.16409924626350403
city,0.17493832111358643,0.3186660706996918,0.35769423842430115,0.22892655432224274,0.32503411173820496,0.35769423842430115,0.24031664431095123,1.0,0.13423943519592285
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.20448997616767883,0.32503411173820496,0.1826142966747284
palm,0.1965850293636322,0.19197453558444977,0.23239637911319733,0.13293373584747314,0.19353315234184265,0.23239637911319733,0.32150140404701233,0.2562462091445923,0.14437739551067352
springs,0.1694866269826889,0.21047627925872803,0.2626856863498688,0.16272832453250885,0.2518058717250824,0.2626856863498688,0.41149014234542847,0.27796900272369385,0.0950024425983429
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.5823672413825989,0.18520480394363403,0.3186660706996918,0.22961433231830597
popular,0.186283677816391,0.30144429206848145,0.2724021077156067,0.2503059506416321,0.25281813740730286,0.2724021077156067,0.12720856070518494,0.19899040460586548,0.13108457624912262
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.25737348198890686,0.4185989499092102,0.4739971458911896,0.1676986664533615,0.18687109649181366,0.264628142118454
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.317160964012146,0.48690423369407654,0.559237003326416,0.1109466552734375,0.3465842306613922,0.15103481709957123
resort,0.16167303919792175,0.25521621108055115,0.2548282742500305,0.08730660378932953,0.2024797797203064,0.2548282742500305,0.11334598064422607,0.29064464569091797,0.12942275404930115
feel,0.413962185382843,0.2400403469800949,0.264497846364975,0.07413487881422043,0.19935615360736847,0.264497846364975,0.12934058904647827,0.13093121349811554,0.39212626218795776
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.23454883694648743,0.2827445864677429,0.20544172823429108
nearby,0.13611137866973877,0.19478072226047516,0.2903098165988922,0.21806104481220245,0.2392946183681488,0.2903098165988922,0.17336474359035492,0.3032483756542206,0.07977716624736786
open,0.2022915631532669,0.1846783459186554,0.2764171361923218,0.09410279989242554,0.17970167100429535,0.2764171361923218,0.2130659967660904,0.14382146298885345,0.20715104043483734
spaces,0.161638543009758,0.20217014849185944,0.21970577538013458,0.05777127668261528,0.1932010054588318,0.21970577538013458,0.14001280069351196,0.11522573232650757,0.18342448770999908
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.21526740491390228,0.29856356978416443,0.4130953550338745
