,what,is,impact,melt,that,some,samples,of,moon,rocks,show,?
some,0.4491020441055298,0.3038453459739685,0.24779778718948364,0.2407868206501007,0.6049469113349915,0.9999999403953552,0.2630777060985565,0.4300730526447296,0.21793600916862488,0.30953168869018555,0.2778988778591156,0.2562315762042999
of,0.33290785551071167,0.4854315221309662,0.21139270067214966,0.1706046760082245,0.41498205065727234,0.4300730526447296,0.19450756907463074,1.0,0.18815091252326965,0.2664484679698944,0.21383242309093475,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.22336715459823608,0.22995568811893463,0.5473989248275757,0.4566698372364044,0.2069351226091385,0.733189046382904,0.23613092303276062,0.24413059651851654,0.319829523563385,0.22068053483963013
returned,0.15085899829864502,0.18192875385284424,0.14483889937400818,0.07762333750724792,0.20032379031181335,0.19914491474628448,0.09456345438957214,0.28002414107322693,0.11227608472108841,0.09542032331228256,0.2268332540988922,0.07695316523313522
samples,0.23286624252796173,0.22968509793281555,0.1388070434331894,0.23134393990039825,0.25898703932762146,0.2630777060985565,1.0000001192092896,0.19450756907463074,0.3050103485584259,0.39375483989715576,0.2661087214946747,0.1777840405702591
are,0.29724663496017456,0.5330929756164551,0.20341451466083527,0.18956339359283447,0.45265161991119385,0.6331475377082825,0.3074229955673218,0.39081433415412903,0.16114117205142975,0.33511796593666077,0.26362085342407227,0.24591213464736938
of,0.33290785551071167,0.4854315221309662,0.21139270067214966,0.1706046760082245,0.41498205065727234,0.4300730526447296,0.19450756907463074,1.0,0.18815091252326965,0.2664484679698944,0.21383242309093475,0.1826142966747284
impact,0.25162962079048157,0.18670059740543365,1.0,0.18027998507022858,0.3073127269744873,0.24779778718948364,0.1388070434331894,0.21139270067214966,0.3090229630470276,0.23106057941913605,0.18117070198059082,0.18429921567440033
melt,0.273470938205719,0.20880629122257233,0.18027998507022858,1.0,0.3039259910583496,0.2407868206501007,0.23134393990039825,0.1706046760082245,0.20078033208847046,0.32192930579185486,0.18595468997955322,0.2257072627544403
(,0.2411840260028839,0.35393038392066956,0.17425116896629333,0.12292162328958511,0.2264307141304016,0.2279975414276123,0.165334552526474,0.35032153129577637,0.15743975341320038,0.15845486521720886,0.21963447332382202,0.40561532974243164
materials,0.21012352406978607,0.2010483592748642,0.25670960545539856,0.3145851492881775,0.28520384430885315,0.32657763361930847,0.3048720061779022,0.23909913003444672,0.1682792603969574,0.37037914991378784,0.1964433342218399,0.1301651895046234
melted,0.1824219673871994,0.2298540472984314,0.19120943546295166,0.7916488647460938,0.284203439950943,0.25787094235420227,0.2875017523765564,0.19595062732696533,0.2534777820110321,0.40789923071861267,0.15404294431209564,0.17059941589832306
near,0.19414293766021729,0.25453904271125793,0.1829500049352646,0.22354641556739807,0.1848522126674652,0.17370282113552094,0.09273239970207214,0.2651676535606384,0.08921656012535095,0.257326602935791,0.11439540982246399,0.10734958201646805
an,0.2821882665157318,0.4654068350791931,0.16689299046993256,0.13546457886695862,0.365763783454895,0.2864145338535309,0.12183225899934769,0.32280945777893066,0.1212901771068573,0.1308339387178421,0.23366062343120575,0.19793890416622162
impact,0.25162962079048157,0.18670059740543365,1.0,0.18027998507022858,0.3073127269744873,0.24779778718948364,0.1388070434331894,0.21139270067214966,0.3090229630470276,0.23106057941913605,0.18117070198059082,0.18429921567440033
crater,0.1525653451681137,0.26378312706947327,0.4398671090602875,0.2589634358882904,0.23496824502944946,0.16037996113300323,0.2056594341993332,0.21727220714092255,0.4501974582672119,0.43388184905052185,0.10638117790222168,0.1175018772482872
.,0.3567904531955719,0.4569662809371948,0.2026742696762085,0.25044283270835876,0.4460422694683075,0.40663889050483704,0.20069079101085663,0.5352458953857422,0.2040150910615921,0.26481303572654724,0.3016606271266937,0.4130953550338745
),0.26259949803352356,0.37732169032096863,0.1697939932346344,0.130768820643425,0.23478686809539795,0.2398642599582672,0.14079144597053528,0.3680361211299896,0.15997570753097534,0.15879076719284058,0.22110877931118011,0.42300865054130554
