,what,is,the,average,age,of,people,who,live,in,newcastle,?
according,0.2776208221912384,0.2838992476463318,0.3202974498271942,0.21941852569580078,0.18011337518692017,0.3307822346687317,0.2239774912595749,0.22336459159851074,0.18090835213661194,0.29259276390075684,0.07468248158693314,0.21173474192619324
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.2572915256023407,0.23830388486385345,0.41548454761505127,0.37275731563568115,0.42656609416007996,0.298321396112442,0.45010748505592346,0.23559264838695526,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.27058175206184387,0.24711290001869202,0.733189046382904,0.36838498711586,0.3733934462070465,0.2995128035545349,0.6662389636039734,0.2253497689962387,0.22068053483963013
same,0.3764382302761078,0.31152886152267456,0.4583131968975067,0.2897954285144806,0.2179875522851944,0.3808329105377197,0.22652654349803925,0.26448050141334534,0.1588791012763977,0.3692481815814972,0.146078422665596,0.22649677097797394
statistics,0.28272849321365356,0.15881992876529694,0.23975630104541779,0.2714990973472595,0.08729863166809082,0.2564145624637604,0.21250468492507935,0.1648474484682083,0.13629741966724396,0.2433752715587616,0.23585519194602966,0.22886884212493896
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23098047077655792,0.2693369388580322,0.4946078956127167,0.36644625663757324,0.3365725874900818,0.29754534363746643,0.5201468467712402,0.251589834690094,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.27058175206184387,0.24711290001869202,0.733189046382904,0.36838498711586,0.3733934462070465,0.2995128035545349,0.6662389636039734,0.2253497689962387,0.22068053483963013
average,0.24068789184093475,0.2669461667537689,0.27058175206184387,1.0,0.24909605085849762,0.23717734217643738,0.18558715283870697,0.1699700504541397,0.17847228050231934,0.23465414345264435,0.22202055156230927,0.21764592826366425
age,0.1895245760679245,0.17962174117565155,0.24711290001869202,0.24909605085849762,0.9999998807907104,0.2372717410326004,0.24032524228096008,0.2584081292152405,0.16490180790424347,0.30576348304748535,0.17441928386688232,0.16859300434589386
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23717734217643738,0.2372717410326004,1.0,0.3251037895679474,0.2827862501144409,0.27734068036079407,0.5696388483047485,0.18781472742557526,0.1826142966747284
people,0.32444337010383606,0.34254953265190125,0.36838498711586,0.18558715283870697,0.24032524228096008,0.3251037895679474,1.0000001192092896,0.3933800458908081,0.3293329179286957,0.39605680108070374,0.16268238425254822,0.23739641904830933
living,0.22245320677757263,0.2306187003850937,0.3127744197845459,0.24372988939285278,0.26234161853790283,0.3499443829059601,0.39172837138175964,0.2727876901626587,0.5108150839805603,0.3253810405731201,0.15949702262878418,0.18362653255462646
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.23465414345264435,0.30576348304748535,0.5696388483047485,0.39605680108070374,0.2792111933231354,0.3068392276763916,1.0,0.19270820915699005,0.20430970191955566
newcastle,0.16276082396507263,0.1841045320034027,0.2253497689962387,0.22202055156230927,0.17441928386688232,0.18781472742557526,0.16268238425254822,0.21185682713985443,0.1324019879102707,0.19270820915699005,1.0000001192092896,0.0902252271771431
is,0.28837618231773376,1.0,0.5823672413825989,0.2669461667537689,0.17962174117565155,0.4854315221309662,0.34254953265190125,0.24293622374534607,0.2694047689437866,0.5394441485404968,0.1841045320034027,0.22961433231830597
37.8,0.07800330221652985,0.04894673079252243,0.1013842225074768,0.03262095898389816,0.0560891255736351,0.10115531086921692,0.22160938382148743,0.07983437180519104,-0.07225953787565231,0.08108480274677277,-0.013863546773791313,0.03299452364444733
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.20423224568367004,0.14561709761619568,0.35032153129577637,0.17817604541778564,0.2443375140428543,0.20015591382980347,0.3087427020072937,0.13896974921226501,0.40561532974243164
the,0.42745697498321533,0.5823672413825989,1.0,0.27058175206184387,0.24711290001869202,0.733189046382904,0.36838498711586,0.3733934462070465,0.2995128035545349,0.6662389636039734,0.2253497689962387,0.22068053483963013
national,0.16882304847240448,0.23413582146167755,0.32739606499671936,0.09994179010391235,0.1868857890367508,0.3314673602581024,0.2130085974931717,0.18105065822601318,0.11625990271568298,0.28915393352508545,0.20298312604427338,0.15643028914928436
average,0.24068789184093475,0.2669461667537689,0.27058175206184387,1.0,0.24909605085849762,0.23717734217643738,0.18558715283870697,0.1699700504541397,0.17847228050231934,0.23465414345264435,0.22202055156230927,0.21764592826366425
being,0.3760843276977539,0.4445112943649292,0.419739305973053,0.18190351128578186,0.14903731644153595,0.34885138273239136,0.28552132844924927,0.44037187099456787,0.1401589959859848,0.33162933588027954,0.26489150524139404,0.26743772625923157
38.6,-0.036490511149168015,0.22838392853736877,0.12799444794654846,-0.014804398640990257,0.0014860383234918118,0.10018166899681091,0.00492507591843605,0.06892573088407516,-0.03561649098992348,0.1446574628353119,-0.05879350006580353,-0.06976091116666794
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.20956556499004364,0.16737043857574463,0.3680361211299896,0.18634183704853058,0.2457384318113327,0.20233401656150818,0.3326910734176636,0.15254424512386322,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2717139422893524,0.2498820275068283,0.5352458953857422,0.33118996024131775,0.3541337847709656,0.32964062690734863,0.5591574311256409,0.2714749276638031,0.4130953550338745
