,how,many,dairy,cows,are,there,in,australia,?
it,0.36714982986450195,0.39615920186042786,0.2169826775789261,0.21038950979709625,0.3617996573448181,0.4020688533782959,0.5130809545516968,0.2386748343706131,0.25732165575027466
is,0.22544461488723755,0.2649032473564148,0.23280000686645508,0.2588864266872406,0.5330929756164551,0.3904260993003845,0.5394441485404968,0.1734699010848999,0.22961433231830597
home,0.11464780569076538,0.19523783028125763,0.2059391587972641,0.17345795035362244,0.17890439927577972,0.24579636752605438,0.30467477440834045,0.1754150688648224,0.0757145956158638
to,0.44169697165489197,0.40243685245513916,0.20021377503871918,0.28853318095207214,0.3504326641559601,0.40669289231300354,0.45010748505592346,0.24799345433712006,0.29463258385658264
60,0.12259688228368759,0.0015101747121661901,-0.01625593937933445,-0.043277282267808914,-0.01117884274572134,0.016137298196554184,0.008437495678663254,0.16625922918319702,0.06999651342630386
%,0.1237400695681572,0.24948352575302124,0.22847992181777954,0.1708807796239853,0.21077655255794525,0.17662706971168518,0.19465309381484985,0.13786643743515015,0.21441808342933655
of,0.2480744868516922,0.37253960967063904,0.19305698573589325,0.18626761436462402,0.39081433415412903,0.44397735595703125,0.5696388483047485,0.2669609785079956,0.1826142966747284
australia,0.18526475131511688,0.26295167207717896,0.23113279044628143,0.15550650656223297,0.19220782816410065,0.18295486271381378,0.2697675824165344,1.0,0.15702682733535767
's,-0.026164190843701363,0.01698932610452175,-0.0038413959555327892,0.09976505488157272,-0.008927806280553341,-0.04860968142747879,-0.037580832839012146,0.040361400693655014,-0.023395681753754616
3,0.12271612882614136,0.026462629437446594,0.041915759444236755,0.019877679646015167,0.03804425150156021,-0.07881404459476471,0.06326868385076523,0.15135158598423004,0.005975271109491587
million,0.21114659309387207,0.3520967364311218,0.15169283747673035,0.17294465005397797,0.21881309151649475,0.22681257128715515,0.2596224844455719,0.22529302537441254,0.23092924058437347
dairy,0.09987637400627136,0.24024663865566254,0.9999999403953552,0.4855051338672638,0.2554721534252167,0.1883017122745514,0.18047009408473969,0.23113279044628143,0.14835722744464874
cattle,0.17744691669940948,0.24830389022827148,0.5250834226608276,0.5753386616706848,0.24985992908477783,0.2181953638792038,0.24646858870983124,0.26309719681739807,0.17239461839199066
and,0.33647966384887695,0.5296266674995422,0.25863271951675415,0.27663591504096985,0.48576638102531433,0.4242868423461914,0.4954058527946472,0.2804507613182068,0.20544172823429108
produces,0.2188468873500824,0.18426188826560974,0.28709104657173157,0.23691195249557495,0.2817918658256531,0.26402798295021057,0.2199338972568512,0.08821091800928116,0.17052298784255981
nearly,0.23273618519306183,0.4278171956539154,0.11759904772043228,0.20353832840919495,0.29865899682044983,0.27655306458473206,0.3414846360683441,0.22222571074962616,0.11670064926147461
two-thirds,0.2647247910499573,0.32381942868232727,0.2102782279253006,0.3270602226257324,0.4187377989292145,0.3404066860675812,0.3280138671398163,0.27512648701667786,0.15813422203063965
of,0.2480744868516922,0.37253960967063904,0.19305698573589325,0.18626761436462402,0.39081433415412903,0.44397735595703125,0.5696388483047485,0.2669609785079956,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.1809113621711731,0.20275305211544037,0.40399202704429626,0.47025805711746216,0.6662389636039734,0.26828548312187195,0.22068053483963013
nation,0.1966596245765686,0.23972663283348083,0.11571061611175537,0.11456525325775146,0.16653196513652802,0.17833416163921356,0.24983231723308563,0.26820793747901917,0.17865248024463654
's,-0.026164190843701363,0.01698932610452175,-0.0038413959555327892,0.09976505488157272,-0.008927806280553341,-0.04860968142747879,-0.037580832839012146,0.040361400693655014,-0.023395681753754616
milk,0.17971736192703247,0.16118066012859344,0.5473332405090332,0.4955870509147644,0.20607416331768036,0.20282447338104248,0.20376470685005188,0.1679723858833313,0.1423291712999344
",",0.22659391164779663,0.40610817074775696,0.3240949213504791,0.24332070350646973,0.4062570035457611,0.4587128460407257,0.5201468467712402,0.22314006090164185,0.31091248989105225
almost,0.23828135430812836,0.43739303946495056,0.12035271525382996,0.18614335358142853,0.34548285603523254,0.3313264846801758,0.3422279357910156,0.15838216245174408,0.1372147500514984
6.4,-0.02107764407992363,-0.1592281460762024,-0.05525806173682213,-0.003836665768176317,-0.09563819319009781,0.019452745094895363,-0.12260763347148895,0.06558053940534592,0.010471883229911327
billion,0.2582297921180725,0.27396708726882935,0.16061580181121826,0.16699624061584473,0.18689869344234467,0.17398926615715027,0.18475750088691711,0.17901672422885895,0.25791820883750916
litres,0.1890735924243927,0.1873619258403778,0.3322949707508087,0.25908711552619934,0.1918807029724121,0.21269822120666504,0.1881534904241562,0.22455301880836487,0.17306603491306305
.,0.3287222981452942,0.3974229395389557,0.24739117920398712,0.19238218665122986,0.3452940285205841,0.43897318840026855,0.5591574311256409,0.2899940609931946,0.4130953550338745
