,what,did,the,kenyan,business,people,hope,for,when,meeting,with,the,chinese,?
kenyatta,0.13579794764518738,0.16177290678024292,0.24919013679027557,0.7463786005973816,0.25492730736732483,0.1885848194360733,0.178252175450325,0.23165300488471985,0.15483929216861725,0.25407466292381287,0.12635143101215363,0.24919013679027557,0.22033673524856567,0.1456252485513687
was,0.22111038863658905,0.41399896144866943,0.48711544275283813,0.2215987592935562,0.21382471919059753,0.2518421411514282,0.1464717835187912,0.3863949179649353,0.37326499819755554,0.24202010035514832,0.27411898970603943,0.48711544275283813,0.21259073913097382,0.18412111699581146
``,0.008517155423760414,-0.029888948425650597,0.029072100296616554,0.07181133329868317,-0.05304241552948952,0.08962737023830414,-0.04994211718440056,0.01270448137074709,0.07174111902713776,0.030480898916721344,0.08974023163318634,0.029072100296616554,0.08159855753183365,0.0685480609536171
[,0.010752761736512184,0.030549485236406326,0.07130392640829086,-0.04800578951835632,0.23137721419334412,0.10792411118745804,0.10466209053993225,0.10575617104768753,0.07002913951873779,0.1414545476436615,0.07157395780086517,0.07130392640829086,0.03534691035747528,0.011015460826456547
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.24743399024009705,0.2670866549015045,0.3483705520629883,0.2188071757555008,0.44038116931915283,0.44397395849227905,0.23210038244724274,0.3783375024795532,0.5829201340675354,0.23124997317790985,0.23916715383529663
],-0.03775298595428467,0.024806415662169456,-0.04779602214694023,0.05613766983151436,-0.023859187960624695,-0.03171391412615776,-0.051618389785289764,-0.023346275091171265,-0.0009315960924141109,-0.09252918511629105,-0.05078836530447006,-0.04779602214694023,0.03110610507428646,-0.0022520492784678936
ccompanied,0.15898384153842926,0.19508925080299377,0.29512208700180054,0.05364229902625084,0.20838512480258942,0.1552930772304535,0.08867180347442627,0.2515549063682556,0.2801896631717682,0.16791656613349915,0.38023632764816284,0.29512208700180054,0.20890431106090546,0.1580127626657486
by,0.2455483376979828,0.18574509024620056,0.4408751428127289,0.11410501599311829,0.20599709451198578,0.20350977778434753,0.12193138897418976,0.3248702883720398,0.4376842677593231,0.15376465022563934,0.39731505513191223,0.4408751428127289,0.17456965148448944,0.17966607213020325
60,0.07328611612319946,0.009732695296406746,0.04635925963521004,0.043366625905036926,-0.034812524914741516,0.010379608720541,0.05088008567690849,0.033401429653167725,0.0413321778178215,-0.01309242844581604,0.15846878290176392,0.04635925963521004,0.019886095076799393,0.06999651342630386
kenyan,0.11042535305023193,0.17606396973133087,0.1675717681646347,0.9999999403953552,0.16541148722171783,0.14730507135391235,0.2077411413192749,0.20705007016658783,0.11939845234155655,0.17171484231948853,0.12480845302343369,0.1675717681646347,0.2832888662815094,0.1738916039466858
business,0.21758167445659637,0.24531014263629913,0.2389037162065506,0.16541148722171783,1.0,0.24422390758991241,0.21916820108890533,0.2736336290836334,0.22256146371364594,0.2826109230518341,0.2318158596754074,0.2389037162065506,0.1878364533185959,0.1545659303665161
people,0.32444337010383606,0.26765021681785583,0.36838498711586,0.14730507135391235,0.24422390758991241,1.0000001192092896,0.1887814998626709,0.24900002777576447,0.260394424200058,0.2296367734670639,0.20958639681339264,0.36838498711586,0.22201411426067352,0.23739641904830933
[,0.010752761736512184,0.030549485236406326,0.07130392640829086,-0.04800578951835632,0.23137721419334412,0.10792411118745804,0.10466209053993225,0.10575617104768753,0.07002913951873779,0.1414545476436615,0.07157395780086517,0.07130392640829086,0.03534691035747528,0.011015460826456547
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.21030722558498383,0.33353009819984436,0.3016039729118347,0.29339489340782166,0.5064792633056641,0.4716290831565857,0.23922012746334076,0.5477725267410278,0.5171257257461548,0.25892454385757446,0.20544172823429108
hoped,0.2258947193622589,0.4753778874874115,0.2776607275009155,0.11516713351011276,0.26742568612098694,0.21121516823768616,0.41697293519973755,0.27987736463546753,0.21274949610233307,0.2422262728214264,0.2184978574514389,0.2776607275009155,0.18710161745548248,0.15560154616832733
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.1391933262348175,0.28079214692115784,0.37275731563568115,0.28287798166275024,0.4451248347759247,0.5423505902290344,0.2453547865152359,0.4239959120750427,0.535392165184021,0.17416036128997803,0.29463258385658264
],-0.03775298595428467,0.024806415662169456,-0.04779602214694023,0.05613766983151436,-0.023859187960624695,-0.03171391412615776,-0.051618389785289764,-0.023346275091171265,-0.0009315960924141109,-0.09252918511629105,-0.05078836530447006,-0.04779602214694023,0.03110610507428646,-0.0022520492784678936
