,although,some,acadians,went,to,france,and,other,destiantions,",",what,north,american,city,did,many,move,to,?
others,0.30516982078552246,0.5857272148132324,0.3004503548145294,0.2316870391368866,0.39868634939193726,0.18472006916999817,0.45401260256767273,0.5860985517501831,0.38966456055641174,0.42491060495376587,0.3888046145439148,0.15668059885501862,0.21560265123844147,0.1479983627796173,0.3710305690765381,0.5011104941368103,0.19465501606464386,0.39868634939193726,0.26705288887023926
migrated,0.206428661942482,0.2799298167228699,0.3180675208568573,0.2624559998512268,0.2297086864709854,0.11949477344751358,0.22718234360218048,0.22239631414413452,0.23606225848197937,0.2567569613456726,0.19371747970581055,0.30314573645591736,0.12326060235500336,0.22802211344242096,0.17642201483249664,0.29833489656448364,0.2901027202606201,0.2297086864709854,0.10196463763713837
to,0.4176313281059265,0.4636894166469574,0.26798632740974426,0.33234721422195435,1.0,0.2670897841453552,0.48971283435821533,0.4193183183670044,0.36169886589050293,0.44245919585227966,0.455847829580307,0.2743184268474579,0.16338081657886505,0.20300441980361938,0.4452643394470215,0.40243685245513916,0.37858664989471436,1.0,0.29463258385658264
places,0.23137277364730835,0.46219924092292786,0.279155969619751,0.24900409579277039,0.3195951581001282,0.21056129038333893,0.36121195554733276,0.4179837107658386,0.35533809661865234,0.2988786995410919,0.19604378938674927,0.2851859927177429,0.12677934765815735,0.30196502804756165,0.19631847739219666,0.4533693194389343,0.24906708300113678,0.3195951581001282,0.17623652517795563
like,0.3329651653766632,0.6206092238426208,0.14866742491722107,0.22539210319519043,0.35482415556907654,0.19588153064250946,0.46997135877609253,0.5279693007469177,0.2976013720035553,0.4085598886013031,0.4320242702960968,0.194303497672081,0.21362999081611633,0.16235169768333435,0.40502431988716125,0.5365896821022034,0.3177187442779541,0.35482415556907654,0.3268813192844391
saint-domingue,0.20625507831573486,0.26442375779151917,0.38122737407684326,0.21663117408752441,0.2894284427165985,0.47644031047821045,0.2955635190010071,0.19778156280517578,0.34148284792900085,0.32720667123794556,0.2996148467063904,0.24271510541439056,0.20860537886619568,0.3005230128765106,0.1939929872751236,0.24626781046390533,0.13306181132793427,0.2894284427165985,0.24592843651771545
",",0.36230817437171936,0.42400437593460083,0.22484250366687775,0.29013195633888245,0.44245919585227966,0.28250643610954285,0.6633074283599854,0.4446498453617096,0.332711786031723,1.0000001192092896,0.3087472915649414,0.31834840774536133,0.3048616647720337,0.35839709639549255,0.3015086054801941,0.40610817074775696,0.25767531991004944,0.44245919585227966,0.31091248989105225
and,0.334905743598938,0.5337774157524109,0.2563720941543579,0.3419242799282074,0.48971283435821533,0.2925812005996704,1.0,0.5504306554794312,0.32703128457069397,0.6633074283599854,0.31309178471565247,0.2776443064212799,0.32290002703666687,0.2827445864677429,0.34479495882987976,0.5296266674995422,0.2671177089214325,0.48971283435821533,0.20544172823429108
fled,0.19886630773544312,0.22213880717754364,0.2675941288471222,0.4226064682006836,0.24595892429351807,0.2900550961494446,0.27238592505455017,0.16861990094184875,0.32143986225128174,0.26419100165367126,0.17151756584644318,0.263710618019104,0.07390466332435608,0.26926150918006897,0.3007028102874756,0.219984233379364,0.21000812947750092,0.24595892429351807,0.13968057930469513
to,0.4176313281059265,0.4636894166469574,0.26798632740974426,0.33234721422195435,1.0,0.2670897841453552,0.48971283435821533,0.4193183183670044,0.36169886589050293,0.44245919585227966,0.455847829580307,0.2743184268474579,0.16338081657886505,0.20300441980361938,0.4452643394470215,0.40243685245513916,0.37858664989471436,1.0,0.29463258385658264
new,0.14055941998958588,0.3095579743385315,0.2767774760723114,0.20990735292434692,0.33159172534942627,0.2269197404384613,0.31402453780174255,0.2957918047904968,0.21295702457427979,0.36073189973831177,0.2130378633737564,0.24270093441009521,0.24982258677482605,0.3555362820625305,0.227974995970726,0.2992318272590637,0.16426461935043335,0.33159172534942627,0.14782847464084625
orleans,0.13851052522659302,0.22179201245307922,0.25514480471611023,0.20116659998893738,0.17485511302947998,0.28859400749206543,0.2771657407283783,0.13751935958862305,0.20914779603481293,0.2922953963279724,0.14538788795471191,0.1605026125907898,0.29314202070236206,0.3083096742630005,0.2159711718559265,0.20345625281333923,0.14181694388389587,0.17485511302947998,0.13097690045833588
after,0.4094339907169342,0.2708302140235901,0.1688273698091507,0.3585346043109894,0.37890323996543884,0.2599034905433655,0.3765919506549835,0.18459384143352509,0.21300069987773895,0.38860568404197693,0.21973377466201782,0.2209993153810501,0.1780838519334793,0.2613813877105713,0.30330467224121094,0.2586410939693451,0.14520657062530518,0.37890323996543884,0.16608688235282898
the,0.3265823423862457,0.4566698372364044,0.3208988904953003,0.3345835506916046,0.535392165184021,0.35517507791519165,0.5171257257461548,0.44152235984802246,0.36867618560791016,0.4933079481124878,0.42745697498321533,0.36298373341560364,0.24562937021255493,0.35769423842430115,0.34736719727516174,0.4335206151008606,0.29817628860473633,0.535392165184021,0.22068053483963013
haitian,0.1401633769273758,0.20895929634571075,0.32563453912734985,0.1075359359383583,0.1483597457408905,0.3268880546092987,0.23736920952796936,0.22825875878334045,0.29085028171539307,0.25453802943229675,0.1420392394065857,0.15937025845050812,0.3145162761211395,0.24450922012329102,0.14015831053256989,0.26660504937171936,0.11026386171579361,0.1483597457408905,0.21467436850070953
revolution,0.20588618516921997,0.2090400755405426,0.27795159816741943,0.22415611147880554,0.18777814507484436,0.2888723909854889,0.21575188636779785,0.20842185616493225,0.23653925955295563,0.26235419511795044,0.1946869045495987,0.18435515463352203,0.23687061667442322,0.2521553933620453,0.21807503700256348,0.23340174555778503,0.1598144918680191,0.18777814507484436,0.1727980077266693
.,0.33771249651908875,0.40663889050483704,0.16570593416690826,0.27773603796958923,0.4645031690597534,0.33719199895858765,0.588965117931366,0.41511186957359314,0.3146100342273712,0.6812511086463928,0.3567904531955719,0.3171539604663849,0.29108086228370667,0.29856356978416443,0.35288307070732117,0.3974229395389557,0.31650546193122864,0.4645031690597534,0.4130953550338745
,although,some,acadians,went,to,france,and,other,destiantions,",",what,north,american,city,did,many,move,to,?
