,when,did,the,packers,arrive,at,a,record,of,13-0,?
carolina,0.16545826196670532,0.18489903211593628,0.24749229848384857,0.3440718948841095,0.09990100562572479,0.2052631825208664,0.1979188621044159,0.18296502530574799,0.26946863532066345,0.19554035365581512,0.11847445368766785
started,0.3198525607585907,0.3904789686203003,0.3222070634365082,0.16080428659915924,0.22458091378211975,0.2973955571651459,0.29961374402046204,0.2450125813484192,0.22928385436534882,0.00523276487365365,0.19447724521160126
the,0.5091903209686279,0.34736719727516174,1.0,0.21419119834899902,0.31055817008018494,0.457212895154953,0.5829201340675354,0.23569516837596893,0.733189046382904,0.13422776758670807,0.22068053483963013
season,0.1977832019329071,0.19368280470371246,0.2507155239582062,0.40287908911705017,0.18289758265018463,0.18120098114013672,0.1855505406856537,0.2865971624851227,0.1598338931798935,0.1489417403936386,0.16793298721313477
14–0,0.125094473361969,0.09078360348939896,0.18642492592334747,0.19830474257469177,0.06008218228816986,0.18731333315372467,0.1699826419353485,0.13479502499103546,0.1870359480381012,0.3669019341468811,0.10128791630268097
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.23742546141147614,0.2322230190038681,0.38314947485923767,0.427140474319458,0.28093910217285156,0.4946078956127167,0.17080466449260712,0.31091248989105225
not,0.4799930453300476,0.6481515765190125,0.4310511648654938,0.17497031390666962,0.2618355453014374,0.22025953233242035,0.3791346549987793,0.19449226558208466,0.3307090103626251,0.2296273410320282,0.41942933201789856
only,0.5497387051582336,0.4039593040943146,0.5497692227363586,0.2102658748626709,0.24667927622795105,0.30990660190582275,0.47549712657928467,0.2610468566417694,0.49632513523101807,0.21617889404296875,0.2767370045185089
setting,0.28475695848464966,0.15320318937301636,0.2991926074028015,0.16277380287647247,0.13418643176555634,0.24936357140541077,0.3013681173324585,0.16391773521900177,0.22114701569080353,0.12343889474868774,0.16943378746509552
franchise,0.20166108012199402,0.1293107569217682,0.30872398614883423,0.34887149930000305,0.16082745790481567,0.0931321457028389,0.2522450387477875,0.2680095136165619,0.19948603212833405,0.11903532594442368,0.13445523381233215
records,0.19333356618881226,0.1876455396413803,0.23809710144996643,0.24922296404838562,0.09345653653144836,0.18120039999485016,0.20202140510082245,0.6671046018600464,0.17885147035121918,0.12481334060430527,0.12384546548128128
for,0.43402108550071716,0.318512886762619,0.4739971458911896,0.262314110994339,0.2033032327890396,0.34237727522850037,0.44038116931915283,0.24185582995414734,0.4185989499092102,0.144448384642601,0.264628142118454
the,0.5091903209686279,0.34736719727516174,1.0,0.21419119834899902,0.31055817008018494,0.457212895154953,0.5829201340675354,0.23569516837596893,0.733189046382904,0.13422776758670807,0.22068053483963013
best,0.15734568238258362,0.25550925731658936,0.3134109377861023,0.1915694922208786,0.07186983525753021,0.17172780632972717,0.2547774314880371,0.22408068180084229,0.23660683631896973,0.09169713407754898,0.2799045741558075
start,0.37728703022003174,0.27419590950012207,0.3656389117240906,0.19631938636302948,0.3634341061115265,0.3116826117038727,0.29672953486442566,0.23122072219848633,0.23166994750499725,0.0932801142334938,0.26634979248046875
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.2198324352502823,0.2162054181098938,0.3571503460407257,0.3739250600337982,0.23470573127269745,0.5116966962814331,0.16611017286777496,0.20544172823429108
the,0.5091903209686279,0.34736719727516174,1.0,0.21419119834899902,0.31055817008018494,0.457212895154953,0.5829201340675354,0.23569516837596893,0.733189046382904,0.13422776758670807,0.22068053483963013
longest,0.1974719613790512,0.12989939749240875,0.36807993054389954,0.16356630623340607,0.07740318030118942,0.1961495280265808,0.2599286735057831,0.33385786414146423,0.32879963517189026,0.16975218057632446,0.1404971331357956
single-season,0.24555514752864838,0.2332700490951538,0.2894837260246277,0.5041546821594238,0.18267859518527985,0.21410556137561798,0.3074336647987366,0.38596999645233154,0.21546362340450287,0.24448204040527344,0.29825839400291443
winning,0.1919308304786682,0.29349252581596375,0.30045071244239807,0.23819665610790253,0.068733349442482,0.20312123000621796,0.22859083116054535,0.3299632668495178,0.23572386801242828,0.2028309851884842,0.1251823455095291
streak,0.2774425745010376,0.2047238051891327,0.27491968870162964,0.3664003014564514,0.12106674909591675,0.20728705823421478,0.2871863842010498,0.35012945532798767,0.14004483819007874,0.20219853520393372,0.18044619262218475
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.23742546141147614,0.2322230190038681,0.38314947485923767,0.427140474319458,0.28093910217285156,0.4946078956127167,0.17080466449260712,0.31091248989105225
but,0.5599016547203064,0.49033689498901367,0.4859698414802551,0.15708406269550323,0.2729102075099945,0.33498162031173706,0.44750767946243286,0.25303637981414795,0.39942997694015503,0.17174513638019562,0.27921953797340393
also,0.5475645065307617,0.39334940910339355,0.6021018624305725,0.2483108788728714,0.17103390395641327,0.36980849504470825,0.5149940252304077,0.24059227108955383,0.4924938678741455,0.19458959996700287,0.21848613023757935
posting,0.31991317868232727,0.244576558470726,0.2761021852493286,0.18559105694293976,0.24825674295425415,0.24390354752540588,0.25844013690948486,0.3004511296749115,0.21473568677902222,0.10932119935750961,0.41508209705352783
the,0.5091903209686279,0.34736719727516174,1.0,0.21419119834899902,0.31055817008018494,0.457212895154953,0.5829201340675354,0.23569516837596893,0.733189046382904,0.13422776758670807,0.22068053483963013
best,0.15734568238258362,0.25550925731658936,0.3134109377861023,0.1915694922208786,0.07186983525753021,0.17172780632972717,0.2547774314880371,0.22408068180084229,0.23660683631896973,0.09169713407754898,0.2799045741558075
start,0.37728703022003174,0.27419590950012207,0.3656389117240906,0.19631938636302948,0.3634341061115265,0.3116826117038727,0.29672953486442566,0.23122072219848633,0.23166994750499725,0.0932801142334938,0.26634979248046875
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.25936442613601685,0.3606240749359131,0.36524343490600586,0.45503583550453186,0.22007153928279877,0.41548454761505127,0.13823741674423218,0.29463258385658264
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.209980770945549,0.2242422252893448,0.3095070421695709,1.0,0.2588478624820709,0.5052502155303955,0.19954118132591248,0.23916715383529663
season,0.1977832019329071,0.19368280470371246,0.2507155239582062,0.40287908911705017,0.18289758265018463,0.18120098114013672,0.1855505406856537,0.2865971624851227,0.1598338931798935,0.1489417403936386,0.16793298721313477
by,0.4376842677593231,0.18574509024620056,0.4408751428127289,0.17221204936504364,0.17283475399017334,0.2368064820766449,0.32094135880470276,0.1887274980545044,0.3646814823150635,0.14809298515319824,0.17966607213020325
an,0.33026179671287537,0.22598257660865784,0.4207492768764496,0.14321304857730865,0.14664393663406372,0.2446778565645218,0.44552403688430786,0.23345981538295746,0.32280945777893066,0.16720540821552277,0.19793890416622162
nfc,0.20492814481258392,0.11289361864328384,0.2545439600944519,0.5972681641578674,0.1429116427898407,0.22253476083278656,0.20643295347690582,0.3044562339782715,0.22083237767219543,0.34205523133277893,0.15073348581790924
team,0.19886156916618347,0.1497787982225418,0.22564226388931274,0.27886345982551575,0.24482929706573486,0.22562791407108307,0.19125498831272125,0.19106104969978333,0.20352502167224884,0.20501841604709625,0.11243411153554916
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.19582796096801758,0.2258726805448532,0.4374977946281433,0.539380669593811,0.23162534832954407,0.5696388483047485,0.1141153946518898,0.20430970191955566
nfl,0.13304822146892548,0.16524574160575867,0.15305201709270477,0.5780797600746155,0.08961529284715652,0.20260320603847504,0.1210956797003746,0.26143500208854675,0.1524115800857544,0.25897496938705444,0.10610254108905792
history,0.24001719057559967,0.24950987100601196,0.33215048909187317,0.18239060044288635,0.13757619261741638,0.25440460443496704,0.2123815417289734,0.26070636510849,0.31014925241470337,0.029221681877970695,0.2501974403858185
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.23742546141147614,0.2322230190038681,0.38314947485923767,0.427140474319458,0.28093910217285156,0.4946078956127167,0.17080466449260712,0.31091248989105225
breaking,0.2976195812225342,0.22972142696380615,0.33078882098197937,0.22356340289115906,0.12844209372997284,0.1596563160419464,0.22045902907848358,0.30681154131889343,0.2451951652765274,0.1307726353406906,0.16709092259407043
the,0.5091903209686279,0.34736719727516174,1.0,0.21419119834899902,0.31055817008018494,0.457212895154953,0.5829201340675354,0.23569516837596893,0.733189046382904,0.13422776758670807,0.22068053483963013
13–0,0.008591484278440475,0.07359971851110458,-0.09481679648160934,-0.12931041419506073,-0.06786785274744034,-0.04121580347418785,0.025798123329877853,-0.028329772874712944,-0.1314140409231186,-0.04414466768503189,0.35740843415260315
record,0.20779715478420258,0.20556741952896118,0.23569516837596893,0.28545835614204407,0.05038689821958542,0.21598400175571442,0.2588478624820709,1.0,0.19289259612560272,0.1576431542634964,0.14407116174697876
previously,0.25810039043426514,0.2304767668247223,0.33854439854621887,0.174907848238945,0.06524518132209778,0.2111676037311554,0.28678789734840393,0.24885514378547668,0.2850290536880493,0.060844291001558304,0.15811841189861298
shared,0.1624736338853836,0.21182450652122498,0.21652492880821228,0.1404750794172287,0.09182777255773544,0.15759390592575073,0.13874579966068268,0.12143527716398239,0.2307819277048111,0.13436953723430634,0.18310070037841797
with,0.5075214505195618,0.25472134351730347,0.4223487675189972,0.281238853931427,0.15794765949249268,0.29126521944999695,0.3783375024795532,0.19528687000274658,0.41827285289764404,0.15631332993507385,0.2433311939239502
the,0.5091903209686279,0.34736719727516174,1.0,0.21419119834899902,0.31055817008018494,0.457212895154953,0.5829201340675354,0.23569516837596893,0.733189046382904,0.13422776758670807,0.22068053483963013
2009,-0.2985190749168396,-0.20252078771591187,-0.23935742676258087,-0.1522337943315506,-0.16568784415721893,-0.29079753160476685,-0.24348297715187073,-0.030467713251709938,-0.2637706398963928,-0.3288332521915436,-0.2287932187318802
new,0.257220059633255,0.227974995970726,0.3845241069793701,0.21296989917755127,0.25336551666259766,0.1898733228445053,0.3214259147644043,0.18475042283535004,0.343457967042923,0.0877237543463707,0.14782847464084625
orleans,0.20579083263874054,0.2159711718559265,0.22309443354606628,0.36529096961021423,0.20567025244235992,0.178949773311615,0.24825912714004517,0.1710953265428543,0.20952944457530975,0.1270664483308792,0.13097690045833588
saints,0.14797814190387726,0.14291644096374512,0.22267529368400574,0.43227678537368774,0.1692964732646942,0.1674574762582779,0.18702839314937592,0.19300787150859833,0.2700014114379883,0.14557936787605286,0.1782425343990326
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.2198324352502823,0.2162054181098938,0.3571503460407257,0.3739250600337982,0.23470573127269745,0.5116966962814331,0.16611017286777496,0.20544172823429108
the,0.5091903209686279,0.34736719727516174,1.0,0.21419119834899902,0.31055817008018494,0.457212895154953,0.5829201340675354,0.23569516837596893,0.733189046382904,0.13422776758670807,0.22068053483963013
2011,0.07140792906284332,-0.03760814294219017,0.07811610400676727,0.04421040043234825,-0.0013390453532338142,-0.017194323241710663,0.03359675034880638,0.04342568665742874,0.09709474444389343,0.014653376303613186,0.005212190095335245
green,0.21209636330604553,0.10622840374708176,0.24099771678447723,0.384353905916214,0.15283344686031342,0.17999158799648285,0.2557748556137085,0.11396745592355728,0.2225196659564972,0.16528664529323578,0.11409882456064224
bay,0.17318107187747955,0.05503932014107704,0.2441686987876892,0.47792643308639526,0.17321521043777466,0.163857102394104,0.17936193943023682,0.07906600832939148,0.20480380952358246,0.15390360355377197,0.10773546993732452
packers,0.2197180837392807,0.12742935121059418,0.21419119834899902,0.9999999403953552,0.21844621002674103,0.23067595064640045,0.209980770945549,0.28545835614204407,0.20092371106147766,0.20119212567806244,0.14739927649497986
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.23382686078548431,0.21006475389003754,0.4549728035926819,0.50484299659729,0.2186054140329361,0.5352458953857422,0.2127094268798828,0.4130953550338745
