,what,is,the,name,of,the,museum,and,research,center,for,near,eastern,studies,",",that,is,owned,by,the,university,?
among,0.21154822409152985,0.21956473588943481,0.3507058024406433,0.11765395849943161,0.3679063022136688,0.3507058024406433,0.20246858894824982,0.39211368560791016,0.2221369594335556,0.1785510778427124,0.2832789719104767,0.16018445789813995,0.1450265347957611,0.26389673352241516,0.2640531659126282,0.3136374354362488,0.21956473588943481,0.1676594763994217,0.3222726583480835,0.3507058024406433,0.2190619260072708,0.14343059062957764
these,0.4164220690727234,0.2498808652162552,0.49086877703666687,0.14334434270858765,0.42684608697891235,0.49086877703666687,0.13774710893630981,0.5314885973930359,0.28385400772094727,0.11932842433452606,0.41566818952560425,0.17504797875881195,0.25163838267326355,0.29395124316215515,0.37613096833229065,0.5512621402740479,0.2498808652162552,0.15733878314495087,0.33332425355911255,0.49086877703666687,0.1403891146183014,0.2571668326854706
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.17349179089069366,0.39081433415412903,0.40399202704429626,0.12469582259654999,0.48576638102531433,0.2656170427799225,0.14647969603538513,0.3895993232727051,0.20196682214736938,0.21353314816951752,0.2574615776538849,0.4062570035457611,0.45265161991119385,0.5330929756164551,0.17828314006328583,0.37842893600463867,0.40399202704429626,0.16609783470630646,0.24591213464736938
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.24861779808998108,0.5171257257461548,0.24391183257102966,0.29064592719078064,0.4739971458911896,0.2879819869995117,0.3928247392177582,0.22738903760910034,0.4933079481124878,0.5473989248275757,0.5823672413825989,0.1999378502368927,0.4408751428127289,1.0,0.263973206281662,0.22068053483963013
oriental,0.14903084933757782,0.2134544849395752,0.28532177209854126,0.06226373463869095,0.3216695189476013,0.28532177209854126,0.1152251660823822,0.20877836644649506,0.16324931383132935,0.21003226935863495,0.0699402242898941,0.15856409072875977,0.4345844089984894,0.3174262046813965,0.20159389078617096,0.21310803294181824,0.2134544849395752,0.15000103414058685,0.14283853769302368,0.28532177209854126,0.2570398449897766,0.1044238805770874
institute—a,0.1953248679637909,0.18995921313762665,0.27225279808044434,0.10565058141946793,0.34116214513778687,0.27225279808044434,0.3506266474723816,0.24628250300884247,0.5642358064651489,0.3051058053970337,0.24422727525234222,0.16152209043502808,0.21082866191864014,0.49178290367126465,0.23326893150806427,0.18489283323287964,0.18995921313762665,0.2083575427532196,0.14962714910507202,0.27225279808044434,0.559608519077301,0.14863018691539764
museum,0.1771627515554428,0.18299639225006104,0.24861779808998108,0.10610661655664444,0.23314370214939117,0.24861779808998108,1.0000001192092896,0.21554097533226013,0.2673967778682709,0.30677101016044617,0.15718214213848114,0.18218134343624115,0.15230895578861237,0.2648851275444031,0.20741747319698334,0.1994490772485733,0.18299639225006104,0.1992982178926468,0.15592984855175018,0.24861779808998108,0.30155616998672485,0.14128351211547852
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.21554097533226013,1.0,0.27611881494522095,0.28670641779899597,0.5064792633056641,0.25046437978744507,0.22891712188720703,0.30504533648490906,0.6633074283599854,0.4731321930885315,0.3859752118587494,0.2205965667963028,0.4289871156215668,0.5171257257461548,0.2665814459323883,0.20544172823429108
research,0.237140491604805,0.23478153347969055,0.24391183257102966,0.15973985195159912,0.22573977708816528,0.24391183257102966,0.2673967778682709,0.27611881494522095,1.0,0.3200088143348694,0.29481053352355957,0.1774565875530243,0.1931396871805191,0.6278853416442871,0.2764695882797241,0.3083151876926422,0.23478153347969055,0.20137636363506317,0.1734425127506256,0.24391183257102966,0.42846137285232544,0.13481977581977844
center,0.1908310204744339,0.24782158434391022,0.29064592719078064,0.1019691452383995,0.24526838958263397,0.29064592719078064,0.30677101016044617,0.28670641779899597,0.3200088143348694,0.9999999403953552,0.1980270892381668,0.26069921255111694,0.20423313975334167,0.28434738516807556,0.1905742734670639,0.22661058604717255,0.24782158434391022,0.12679190933704376,0.12630024552345276,0.29064592719078064,0.2763576805591583,0.12538520991802216
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.25737348198890686,0.4185989499092102,0.4739971458911896,0.15718214213848114,0.5064792633056641,0.29481053352355957,0.1980270892381668,0.9999999403953552,0.12145546078681946,0.14339342713356018,0.15209509432315826,0.4464869201183319,0.4137635827064514,0.43268078565597534,0.19904224574565887,0.3248702883720398,0.4739971458911896,0.18573740124702454,0.264628142118454
near,0.19414293766021729,0.25453904271125793,0.2879819869995117,0.18651308119297028,0.2651676535606384,0.2879819869995117,0.18218134343624115,0.25046437978744507,0.1774565875530243,0.26069921255111694,0.12145546078681946,1.0000001192092896,0.3047536313533783,0.16183628141880035,0.3141826391220093,0.1848522126674652,0.25453904271125793,0.17890335619449615,0.10611382126808167,0.2879819869995117,0.18687130510807037,0.10734958201646805
eastern,0.2263268083333969,0.2375388890504837,0.3928247392177582,0.16027866303920746,0.33281487226486206,0.3928247392177582,0.15230895578861237,0.22891712188720703,0.1931396871805191,0.20423313975334167,0.14339342713356018,0.3047536313533783,1.0,0.15337835252285004,0.3081906735897064,0.23358812928199768,0.2375388890504837,0.1972998082637787,0.17081402242183685,0.3928247392177582,0.2567829489707947,0.20060817897319794
studies,0.18772079050540924,0.2583865225315094,0.22738903760910034,0.13550646603107452,0.26975658535957336,0.22738903760910034,0.2648851275444031,0.30504533648490906,0.6278853416442871,0.28434738516807556,0.15209509432315826,0.16183628141880035,0.15337835252285004,0.9999998807907104,0.26373082399368286,0.26255905628204346,0.2583865225315094,0.10946828126907349,0.17011062800884247,0.22738903760910034,0.4639947712421417,0.1388726830482483
owned,0.12432919442653656,0.20921923220157623,0.1999378502368927,0.22201769053936005,0.17190153896808624,0.1999378502368927,0.1992982178926468,0.2205965667963028,0.20137636363506317,0.12679190933704376,0.19904224574565887,0.17890335619449615,0.1972998082637787,0.10946828126907349,0.21168820559978485,0.26197874546051025,0.20921923220157623,1.0000001192092896,0.321108877658844,0.1999378502368927,0.20176498591899872,0.1288648396730423
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.21554097533226013,1.0,0.27611881494522095,0.28670641779899597,0.5064792633056641,0.25046437978744507,0.22891712188720703,0.30504533648490906,0.6633074283599854,0.4731321930885315,0.3859752118587494,0.2205965667963028,0.4289871156215668,0.5171257257461548,0.2665814459323883,0.20544172823429108
operated,0.12572449445724487,0.22641409933567047,0.24699872732162476,0.15752294659614563,0.2221631109714508,0.24699872732162476,0.22730213403701782,0.20508383214473724,0.22498276829719543,0.1616763174533844,0.2065773457288742,0.18328140676021576,0.23527827858924866,0.12450020760297775,0.23658891022205353,0.20457971096038818,0.22641409933567047,0.5548847317695618,0.25013697147369385,0.24699872732162476,0.23337583243846893,0.12718230485916138
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.25480157136917114,0.3646814823150635,0.4408751428127289,0.15592984855175018,0.4289871156215668,0.1734425127506256,0.12630024552345276,0.3248702883720398,0.10611382126808167,0.17081402242183685,0.17011062800884247,0.3680937886238098,0.37496164441108704,0.3899846076965332,0.321108877658844,1.0000001192092896,0.4408751428127289,0.1929011344909668,0.17966607213020325
