,how,many,professors,does,the,warsaw,university,of,technology,employ,?
warsaw,0.13025455176830292,0.1653265357017517,0.2162896692752838,0.16921466588974,0.23137180507183075,1.0,0.24662628769874573,0.19253842532634735,0.2244858294725418,0.20656554400920868,0.09769917279481888
university,0.12992997467517853,0.19385361671447754,0.5535972118377686,0.09909145534038544,0.263973206281662,0.24662628769874573,1.0,0.30646374821662903,0.384223997592926,0.16760341823101044,0.11887256056070328
of,0.2480744868516922,0.37253960967063904,0.25740572810173035,0.3119818866252899,0.733189046382904,0.19253842532634735,0.30646374821662903,1.0,0.25238582491874695,0.23252986371517181,0.1826142966747284
technology,0.20081453025341034,0.2643958628177643,0.37180036306381226,0.1650850474834442,0.21669498085975647,0.2244858294725418,0.384223997592926,0.25238582491874695,0.9999998807907104,0.21654845774173737,0.11564995348453522
is,0.22544461488723755,0.2649032473564148,0.17092788219451904,0.4403602182865143,0.5823672413825989,0.09741193056106567,0.20346471667289734,0.4854315221309662,0.20767556130886078,0.19906814396381378,0.22961433231830597
the,0.33890387415885925,0.4335206151008606,0.19479714334011078,0.35928019881248474,1.0,0.23137180507183075,0.263973206281662,0.733189046382904,0.21669498085975647,0.2120160162448883,0.22068053483963013
second,0.16459402441978455,0.1634775847196579,0.14326578378677368,0.18026727437973022,0.4620301127433777,0.1990465670824051,0.2269357442855835,0.353416383266449,0.14068831503391266,0.08295144140720367,0.17239587008953094
academic,0.144212007522583,0.2163168489933014,0.5140496492385864,0.22792617976665497,0.15387672185897827,0.24623557925224304,0.4402775466442108,0.20802809298038483,0.2951809763908386,0.2636617422103882,0.11011603474617004
school,0.11585085093975067,0.20931920409202576,0.3791688084602356,0.1536676436662674,0.22953221201896667,0.20320187509059906,0.48676231503486633,0.2391800880432129,0.25130966305732727,0.20897485315799713,0.15091250836849213
of,0.2480744868516922,0.37253960967063904,0.25740572810173035,0.3119818866252899,0.733189046382904,0.19253842532634735,0.30646374821662903,1.0,0.25238582491874695,0.23252986371517181,0.1826142966747284
technology,0.20081453025341034,0.2643958628177643,0.37180036306381226,0.1650850474834442,0.21669498085975647,0.2244858294725418,0.384223997592926,0.25238582491874695,0.9999998807907104,0.21654845774173737,0.11564995348453522
in,0.2601168751716614,0.41474202275276184,0.21676266193389893,0.214483380317688,0.6662389636039734,0.22642600536346436,0.3201795518398285,0.5696388483047485,0.24215441942214966,0.19852645695209503,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.19479714334011078,0.35928019881248474,1.0,0.23137180507183075,0.263973206281662,0.733189046382904,0.21669498085975647,0.2120160162448883,0.22068053483963013
country,0.17206698656082153,0.26946935057640076,0.14886026084423065,0.21151480078697205,0.30432501435279846,0.14886943995952606,0.16373343765735626,0.28866857290267944,0.1521449089050293,0.13973936438560486,0.12647280097007751
",",0.22659391164779663,0.40610817074775696,0.2424357384443283,0.28617382049560547,0.4933079481124878,0.25300899147987366,0.3017033040523529,0.4946078956127167,0.2817870080471039,0.16914863884449005,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.2570621967315674,0.3461615741252899,0.5171257257461548,0.2083624005317688,0.2665814459323883,0.5116966962814331,0.2333960235118866,0.23367975652217865,0.20544172823429108
one,0.3213292360305786,0.4223630726337433,0.2393389642238617,0.2924913763999939,0.5514441132545471,0.13329707086086273,0.2106119841337204,0.4999135136604309,0.24354112148284912,0.25819599628448486,0.2673267424106598
of,0.2480744868516922,0.37253960967063904,0.25740572810173035,0.3119818866252899,0.733189046382904,0.19253842532634735,0.30646374821662903,1.0,0.25238582491874695,0.23252986371517181,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.19479714334011078,0.35928019881248474,1.0,0.23137180507183075,0.263973206281662,0.733189046382904,0.21669498085975647,0.2120160162448883,0.22068053483963013
largest,0.08743762224912643,0.23644231259822845,0.12862733006477356,0.18477381765842438,0.3757036626338959,0.15168581902980804,0.25739672780036926,0.36650770902633667,0.17557936906814575,0.10438906401395798,0.12401245534420013
