,how,do,both,chloroplast,membranes,compare,to,cyanobacterium,'s,original,double,membranes,?
this,0.45272302627563477,0.34963881969451904,0.3937772214412689,0.30233123898506165,0.27352672815322876,0.32993283867836,0.5759071707725525,0.33969613909721375,0.02106832154095173,0.35164493322372437,0.26558858156204224,0.27352672815322876,0.3155723512172699
is,0.22544461488723755,0.30895981192588806,0.31409940123558044,0.20798198878765106,0.20728234946727753,0.2483411580324173,0.42745086550712585,0.21424748003482819,0.02396530658006668,0.2681281864643097,0.1794169545173645,0.20728234946727753,0.22961433231830597
often,0.41107481718063354,0.30438441038131714,0.44473007321357727,0.26007363200187683,0.2778964042663574,0.2954941987991333,0.4351843297481537,0.2545369565486908,0.05346176400780678,0.18716950714588165,0.21724660694599152,0.2778964042663574,0.23748154938220978
interpreted,0.3303372859954834,0.2838778793811798,0.29391178488731384,0.2341376543045044,0.2147221863269806,0.25857117772102356,0.24033066630363464,0.21258649230003357,-0.07020445913076401,0.26288002729415894,0.12282778322696686,0.2147221863269806,0.22247080504894257
as,0.33782753348350525,0.38329678773880005,0.42436254024505615,0.2268141210079193,0.19154605269432068,0.2571217119693756,0.42092081904411316,0.24591736495494843,-0.05775856226682663,0.2790030837059021,0.20162899792194366,0.19154605269432068,0.27043893933296204
meaning,0.25464874505996704,0.2168971747159958,0.20678973197937012,0.15423519909381866,0.2201816737651825,0.22985486686229706,0.24619491398334503,0.23222839832305908,0.05367003753781319,0.2492966651916504,0.12479804456233978,0.2201816737651825,0.20420892536640167
the,0.33890387415885925,0.30239659547805786,0.4931981563568115,0.21317854523658752,0.2330547422170639,0.26994526386260986,0.535392165184021,0.22151070833206177,-0.01540423184633255,0.4037000238895416,0.21355170011520386,0.2330547422170639,0.22068053483963013
outer,0.15597078204154968,0.18355682492256165,0.24417230486869812,0.32597172260284424,0.44448208808898926,0.11782121658325195,0.22978051006793976,0.2538611888885498,-0.07019069790840149,0.20922338962554932,0.22656887769699097,0.44448208808898926,0.06864649802446365
chloroplast,0.23138970136642456,0.2310386300086975,0.20422939956188202,1.0000001192092896,0.6360809803009033,0.17614956200122833,0.22531428933143616,0.6836907267570496,-0.026425376534461975,0.23150280117988586,0.28560876846313477,0.6360809803009033,0.12532055377960205
membrane,0.19094710052013397,0.2031068652868271,0.230787992477417,0.6168951392173767,0.9437052011489868,0.15142810344696045,0.17791007459163666,0.48407647013664246,-0.09767278283834457,0.09810427576303482,0.22057689726352692,0.9437052011489868,0.18908235430717468
