,how,is,packet,mode,communication,implemented
packet,0.3023706376552582,0.21452254056930542,1.0000001192092896,0.23263481259346008,0.3157258927822113,0.20116503536701202
mode,0.1990516185760498,0.1950864940881729,0.23263481259346008,1.0,0.2498665153980255,0.2934262454509735
communication,0.2830936014652252,0.23138649761676788,0.3157258927822113,0.2498665153980255,1.0,0.34154459834098816
may,0.22490409016609192,0.322792649269104,0.14532393217086792,0.10365399718284607,0.20091579854488373,0.25144028663635254
be,0.4158933162689209,0.4819129705429077,0.2636879086494446,0.2244129329919815,0.24270014464855194,0.38725700974464417
implemented,0.3128129839897156,0.2475048005580902,0.20116503536701202,0.2934262454509735,0.34154459834098816,0.9999998807907104
with,0.3525622487068176,0.3250955045223236,0.25691017508506775,0.1763247400522232,0.2627416253089905,0.25169798731803894
or,0.3378981947898865,0.41870999336242676,0.3371835947036743,0.25457674264907837,0.3230949938297272,0.23839475214481354
without,0.3434999883174896,0.22869740426540375,0.23478291928768158,0.2182149589061737,0.2757555842399597,0.261414110660553
intermediate,0.19318947196006775,0.24033690989017487,0.22418086230754852,0.20751993358135223,0.3235511779785156,0.2820011377334595
forwarding,0.2523708939552307,0.24884481728076935,0.3750877380371094,0.3035127520561218,0.36569279432296753,0.37816113233566284
nodes,0.19597436487674713,0.22876878082752228,0.2953698933124542,0.2915451228618622,0.42099881172180176,0.2816682457923889
(,0.1676948219537735,0.35393038392066956,0.1451578289270401,0.1869542896747589,0.20271192491054535,0.1362510472536087
packet,0.3023706376552582,0.21452254056930542,1.0000001192092896,0.23263481259346008,0.3157258927822113,0.20116503536701202
switches,0.26003772020339966,0.25584566593170166,0.3227599263191223,0.3828417658805847,0.34191152453422546,0.37292739748954773
or,0.3378981947898865,0.41870999336242676,0.3371835947036743,0.25457674264907837,0.3230949938297272,0.23839475214481354
routers,0.2973040044307709,0.2141231745481491,0.49709853529930115,0.30260169506073,0.49211385846138,0.388993501663208
),0.17939934134483337,0.37732169032096863,0.16591915488243103,0.2088182270526886,0.21897052228450775,0.1535574346780777
.,0.3287222981452942,0.4569662809371948,0.1900589019060135,0.24058961868286133,0.24448274075984955,0.27088987827301025
