,which,year,resulted,in,the,suspension,of,one,of,the,two,soccer,teams,?
from,0.38755592703819275,0.2101740688085556,0.25908446311950684,0.4274188280105591,0.40150508284568787,0.21107730269432068,0.4249346852302551,0.32194891571998596,0.4249346852302551,0.40150508284568787,0.25732070207595825,0.14841382205486298,0.20888039469718933,0.19969791173934937
2005,-0.03712547942996025,0.13351094722747803,0.038696423172950745,0.009931974112987518,0.037273142486810684,-0.18150398135185242,0.017815761268138885,0.013221368193626404,0.017815761268138885,0.037273142486810684,-0.006087373476475477,0.008417351171374321,0.028143465518951416,0.10709824413061142
to,0.5345056653022766,0.23523004353046417,0.24989460408687592,0.45010748505592346,0.535392165184021,0.22713440656661987,0.41548454761505127,0.4025384783744812,0.41548454761505127,0.535392165184021,0.3343428373336792,0.1366727501153946,0.2634691894054413,0.29463258385658264
2014,-0.052017729729413986,0.07599447667598724,-0.11380965262651443,0.13996225595474243,0.059490643441677094,0.012536940164864063,0.0493064783513546,0.07360579073429108,0.0493064783513546,0.059490643441677094,0.06350475549697876,0.01860816217958927,-0.05728425458073616,0.058127544820308685
",",0.3658004403114319,0.28560417890548706,0.21903154253959656,0.5201468467712402,0.4933079481124878,0.1453205645084381,0.4946078956127167,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.35859420895576477,0.22345763444900513,0.22220629453659058,0.31091248989105225
there,0.45256471633911133,0.23605135083198547,0.2725166976451874,0.5361666083335876,0.47025805711746216,0.17580389976501465,0.44397735595703125,0.43285492062568665,0.44397735595703125,0.47025805711746216,0.40416133403778076,0.16291546821594238,0.2347501516342163,0.29405656456947327
were,0.2807837128639221,0.23735305666923523,0.3060646653175354,0.3815755248069763,0.3906462490558624,0.15436682105064392,0.34038281440734863,0.3453167676925659,0.34038281440734863,0.3906462490558624,0.4493520259857178,0.12905265390872955,0.28874582052230835,0.17890112102031708
two,0.4674137234687805,0.2893567979335785,0.24797244369983673,0.36463531851768494,0.43858039379119873,0.2411181479692459,0.37726253271102905,0.6288198232650757,0.37726253271102905,0.43858039379119873,1.0000001192092896,0.17191222310066223,0.29386359453201294,0.19645625352859497
major,0.31470122933387756,0.17671433091163635,0.25689107179641724,0.3249945342540741,0.31775903701782227,0.06256434321403503,0.2641255557537079,0.26091840863227844,0.2641255557537079,0.31775903701782227,0.2501676380634308,0.2698165476322174,0.16824941337108612,0.19788557291030884
league,0.22541923820972443,0.20387181639671326,0.16115616261959076,0.22963495552539825,0.2724147439002991,0.1333886981010437,0.23588460683822632,0.19038084149360657,0.23588460683822632,0.2724147439002991,0.19129982590675354,0.5253435373306274,0.5732301473617554,0.15941482782363892
soccer,0.17569422721862793,0.18333284556865692,0.10196098685264587,0.2415911853313446,0.1894586831331253,0.04446303844451904,0.18624280393123627,0.1848864108324051,0.18624280393123627,0.1894586831331253,0.17191222310066223,0.9999999403953552,0.4462805986404419,0.10359424352645874
teams,0.22479400038719177,0.2474260926246643,0.16318544745445251,0.2639528214931488,0.3164927661418915,0.2168697565793991,0.27933305501937866,0.30337628722190857,0.27933305501937866,0.3164927661418915,0.29386359453201294,0.4462805986404419,1.0,0.11150168627500534
in,0.4840516746044159,0.3359307050704956,0.3197503983974457,1.0,0.6662389636039734,0.17704683542251587,0.5696388483047485,0.4129433035850525,0.5696388483047485,0.6662389636039734,0.36463531851768494,0.2415911853313446,0.2639528214931488,0.20430970191955566
los,0.15805238485336304,0.21333596110343933,0.09670884907245636,0.2795681953430176,0.2502395510673523,0.09675050526857376,0.17343297600746155,0.19896627962589264,0.17343297600746155,0.2502395510673523,0.2009507119655609,0.2071855217218399,0.22085128724575043,0.15495611727237701
angeles,0.15751682221889496,0.20601436495780945,0.1292176991701126,0.23927895724773407,0.24588194489479065,0.10013578832149506,0.16643567383289337,0.19455188512802124,0.16643567383289337,0.24588194489479065,0.2017005980014801,0.213662251830101,0.22802701592445374,0.16139166057109833
—,0.14832523465156555,0.11806382983922958,0.0863775983452797,0.21084477007389069,0.20689499378204346,0.04353110492229462,0.2523677349090576,0.18964871764183044,0.2523677349090576,0.20689499378204346,0.12058067321777344,0.15327444672584534,0.12859666347503662,0.23527392745018005
the,0.6521818041801453,0.3609684407711029,0.2975946068763733,0.6662389636039734,1.0,0.279620885848999,0.733189046382904,0.5514441132545471,0.733189046382904,1.0,0.43858039379119873,0.1894586831331253,0.3164927661418915,0.22068053483963013
la,0.17938022315502167,0.1466575264930725,0.1175171285867691,0.25750628113746643,0.23999373614788055,0.09422679990530014,0.2191537618637085,0.17717431485652924,0.2191537618637085,0.23999373614788055,0.14152482151985168,0.1433444321155548,0.13141117990016937,0.16701938211917877
galaxy,0.17225022614002228,0.13981151580810547,0.1552935093641281,0.1905420422554016,0.21574880182743073,0.0822359099984169,0.15125752985477448,0.2575262188911438,0.15125752985477448,0.21574880182743073,0.17055648565292358,0.1956767439842224,0.17495350539684296,0.2027440369129181
and,0.506277859210968,0.2506658732891083,0.28832435607910156,0.4954058527946472,0.5171257257461548,0.21360312402248383,0.5116966962814331,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.4671151638031006,0.20550738275051117,0.2197335660457611,0.20544172823429108
chivas,0.19227571785449982,0.16624383628368378,0.09909502416849136,0.2812504470348358,0.2529444992542267,0.10468833893537521,0.20651642978191376,0.16479656100273132,0.20651642978191376,0.2529444992542267,0.17236481606960297,0.31696435809135437,0.3374957740306854,0.16370920836925507
usa,0.16373193264007568,0.1737876832485199,0.1930655986070633,0.3085354268550873,0.18954607844352722,0.10216972976922989,0.17888924479484558,0.12814216315746307,0.17888924479484558,0.18954607844352722,0.1313595175743103,0.28111663460731506,0.17809779942035675,0.18464894592761993
—,0.14832523465156555,0.11806382983922958,0.0863775983452797,0.21084477007389069,0.20689499378204346,0.04353110492229462,0.2523677349090576,0.18964871764183044,0.2523677349090576,0.20689499378204346,0.12058067321777344,0.15327444672584534,0.12859666347503662,0.23527392745018005
that,0.6894589066505432,0.2826407253742218,0.22833308577537537,0.435920387506485,0.5473989248275757,0.2951022982597351,0.41498205065727234,0.5133185982704163,0.41498205065727234,0.5473989248275757,0.3858162462711334,0.20401956140995026,0.22682182490825653,0.32716336846351624
both,0.5140923857688904,0.234172984957695,0.2788977026939392,0.3960166871547699,0.4931981563568115,0.15256397426128387,0.3565710783004761,0.4734871983528137,0.3565710783004761,0.4931981563568115,0.6091675162315369,0.17906859517097473,0.25199511647224426,0.19455738365650177
played,0.17687860131263733,0.24165725708007812,0.1533435434103012,0.27605336904525757,0.2603478729724884,0.14909282326698303,0.21120788156986237,0.22216525673866272,0.21120788156986237,0.2603478729724884,0.2799473702907562,0.3854190707206726,0.39578181505203247,0.14096300303936005
