,in,what,year,was,the,joe,and,rika,mansueto,library,constructed,?
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.18907766044139862,0.5171257257461548,0.11159877479076385,0.26005929708480835,0.19920319318771362,0.29105475544929504,0.22068053483963013
joe,0.13063541054725647,0.17233887314796448,0.1156592071056366,0.23988783359527588,0.18907766044139862,0.9999999403953552,0.17283421754837036,0.17019225656986237,0.23616135120391846,0.101164810359478,0.1198984906077385,0.14875642955303192
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.3740963041782379,0.5171257257461548,0.17283421754837036,1.0,0.11694047600030899,0.3069956302642822,0.18451033532619476,0.22972804307937622,0.20544172823429108
rika,0.06234472244977951,0.0948248952627182,0.07521412521600723,0.1877346783876419,0.11159877479076385,0.17019225656986237,0.11694047600030899,0.9999999403953552,0.3545697033405304,0.11745330691337585,0.0852617546916008,0.13328851759433746
mansueto,0.22492900490760803,0.23337587714195251,0.1984320878982544,0.3058664798736572,0.26005929708480835,0.23616135120391846,0.3069956302642822,0.3545697033405304,1.0,0.1336294263601303,0.1982325166463852,0.19016650319099426
library,0.2101847380399704,0.19149379432201385,0.18668106198310852,0.1691625416278839,0.19920319318771362,0.101164810359478,0.18451033532619476,0.11745330691337585,0.1336294263601303,0.9999999403953552,0.21333101391792297,0.18938742578029633
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.19890066981315613,0.6633074283599854,0.18057063221931458,0.3299306333065033,0.16805633902549744,0.21606628596782684,0.31091248989105225
built,0.25829681754112244,0.1554843783378601,0.1469920575618744,0.3424932360649109,0.2950156033039093,0.13238325715065002,0.2814858853816986,0.09816866368055344,0.23484215140342712,0.1893543004989624,0.6182932257652283,0.09449632465839386
in,1.0,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.13063541054725647,0.4954058527946472,0.06234472244977951,0.22492900490760803,0.2101847380399704,0.31212013959884644,0.20430970191955566
2011,0.08290185779333115,0.04286744073033333,-0.00862041488289833,-0.022202642634510994,0.07811610400676727,-0.07381690293550491,0.0998905599117279,-0.13057851791381836,0.012748426757752895,0.06443972140550613,0.05767093226313591,0.005212190095335245
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.19890066981315613,0.6633074283599854,0.18057063221931458,0.3299306333065033,0.16805633902549744,0.21606628596782684,0.31091248989105225
houses,0.2622964382171631,0.1434021294116974,0.20287446677684784,0.23840434849262238,0.2692612111568451,0.11344259232282639,0.33128079771995544,0.09540713578462601,0.21767392754554749,0.2657976448535919,0.3085329830646515,0.10120081901550293
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.4508470594882965,0.5829201340675354,0.12268003821372986,0.3739250600337982,0.1822449415922165,0.23646019399166107,0.13480092585086823,0.257233589887619,0.23916715383529663
large,0.2841601073741913,0.2017821967601776,0.12452022731304169,0.21717436611652374,0.3828733265399933,0.08969536423683167,0.3404269814491272,0.06248707324266434,0.21083267033100128,0.17007765173912048,0.3323788344860077,0.1355665624141693
study,0.2875489294528961,0.3123835027217865,0.13795387744903564,0.18420368432998657,0.2533665597438812,0.04381585493683815,0.300253301858902,0.056167121976614,0.15551413595676422,0.28457367420196533,0.25556302070617676,0.15902167558670044
space,0.17648501694202423,0.20525942742824554,0.1583017259836197,0.14677780866622925,0.24495907127857208,0.09298939257860184,0.22901733219623566,0.1049848422408104,0.0897965058684349,0.1133919507265091,0.202260822057724,0.1885536164045334
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.3740963041782379,0.5171257257461548,0.17283421754837036,1.0,0.11694047600030899,0.3069956302642822,0.18451033532619476,0.22972804307937622,0.20544172823429108
an,0.2605783939361572,0.2821882665157318,0.17045794427394867,0.3694365322589874,0.4207492768764496,0.1799817532300949,0.2838519215583801,0.08888556063175201,0.16133449971675873,0.1375575214624405,0.12997496128082275,0.19793890416622162
automatic,0.14461399614810944,0.2594314515590668,0.09945770353078842,0.1147887259721756,0.2045953869819641,0.1187562346458435,0.1632506102323532,0.09818882495164871,0.20208700001239777,0.13717864453792572,0.12462586909532547,0.24784588813781738
book,0.2527170181274414,0.2872225046157837,0.22317370772361755,0.24848085641860962,0.2652374505996704,0.1462310552597046,0.28024056553840637,0.14234888553619385,0.2448972463607788,0.30117443203926086,0.1324998289346695,0.20572158694267273
storage,0.2390899360179901,0.18395499885082245,0.07734797894954681,0.11333098262548447,0.22913692891597748,0.09926963597536087,0.20862485468387604,0.0615452378988266,0.16970379650592804,0.19736942648887634,0.31946736574172974,0.15578968822956085
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.3740963041782379,0.5171257257461548,0.17283421754837036,1.0,0.11694047600030899,0.3069956302642822,0.18451033532619476,0.22972804307937622,0.20544172823429108
retrieval,0.13874921202659607,0.27180662751197815,0.10962475836277008,0.09096118062734604,0.26702070236206055,-0.0021945482585579157,0.2698218822479248,0.1102648675441742,0.17446547746658325,0.19913145899772644,0.1757815033197403,0.2576465904712677
system,0.21978288888931274,0.23557309806346893,0.15319517254829407,0.2147521674633026,0.3233085572719574,0.09419061243534088,0.231138214468956,0.12676604092121124,0.1267974078655243,0.19369082152843475,0.18678826093673706,0.15556083619594574
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.40146201848983765,0.5934505462646484,0.1838023066520691,0.588965117931366,0.13805551826953888,0.2498835027217865,0.23675528168678284,0.20673608779907227,0.4130953550338745
