,what,literary,reference,compares,the,master,to,doctor,who,?
conceived,0.22557096183300018,0.2153255194425583,0.16805852949619293,0.2598201632499695,0.23506250977516174,0.2248487025499344,0.22657549381256104,0.2325112372636795,0.2570499777793884,0.14654332399368286
as,0.31749409437179565,0.18986009061336517,0.23965704441070557,0.2289285957813263,0.48381632566452026,0.2009018212556839,0.42092081904411316,0.17422905564308167,0.3923053741455078,0.27043893933296204
``,0.008517155423760414,0.025496317073702812,0.0008928023162297904,0.03886430338025093,0.029072100296616554,-0.03940471634268761,0.06720756739377975,0.03718610852956772,0.02397952415049076,0.0685480609536171
professor,0.16376154124736786,0.2835520803928375,0.11599360406398773,0.19322653114795685,0.19516055285930634,0.33102065324783325,0.19628550112247467,0.35190802812576294,0.2747347950935364,0.09837866574525833
moriarty,0.21652445197105408,0.21954002976417542,0.19642122089862823,0.22388774156570435,0.24275773763656616,0.23224031925201416,0.17136932909488678,0.24890290200710297,0.33276864886283875,0.19809237122535706
to,0.455847829580307,0.1739240437746048,0.25784367322921753,0.277158260345459,0.535392165184021,0.20949430763721466,1.0,0.22950075566768646,0.42656609416007996,0.29463258385658264
the,0.42745697498321533,0.20471718907356262,0.26254498958587646,0.3248760402202606,1.0,0.19769129157066345,0.535392165184021,0.2820442318916321,0.3733934462070465,0.22068053483963013
doctor,0.20870667695999146,0.1820823699235916,0.1148773580789566,0.18512900173664093,0.2820442318916321,0.2937511205673218,0.22950075566768646,0.9999999403953552,0.3504868149757385,0.1462511420249939
's,0.02692362666130066,0.000694391957949847,0.029975110664963722,0.019784674048423767,-0.01540423184633255,0.025999123230576515,0.03782717138528824,0.031664930284023285,0.05599616840481758,-0.023395681753754616
sherlock,0.2318095564842224,0.26386141777038574,0.20754939317703247,0.25803786516189575,0.26700347661972046,0.3177536129951477,0.2366451621055603,0.3956628739833832,0.31605949997901917,0.19464127719402313
holmes,0.1566908359527588,0.18953676521778107,0.09403616935014725,0.19498886168003082,0.2775551378726959,0.19125688076019287,0.23501251637935638,0.25238537788391113,0.23823940753936768,0.17452923953533173
'',0.08143015950918198,0.07999428361654282,0.040259815752506256,0.12858946621418,0.041273195296525955,0.01090412586927414,-0.009905828163027763,0.06782495975494385,0.024401003494858742,0.018684765323996544
",",0.3087472915649414,0.2613956928253174,0.24524281919002533,0.23164257407188416,0.4933079481124878,0.21451058983802795,0.44245919585227966,0.20407600700855255,0.3365725874900818,0.31091248989105225
the,0.42745697498321533,0.20471718907356262,0.26254498958587646,0.3248760402202606,1.0,0.19769129157066345,0.535392165184021,0.2820442318916321,0.3733934462070465,0.22068053483963013
character,0.22097444534301758,0.24250295758247375,0.2355351746082306,0.2646849751472473,0.25992274284362793,0.2804926633834839,0.2381577491760254,0.3171660602092743,0.31209835410118103,0.18056271970272064
first,0.28086137771606445,0.2074470818042755,0.2230263352394104,0.2236453741788864,0.49448907375335693,0.24330560863018036,0.3792489171028137,0.27244147658348083,0.39065709710121155,0.18701928853988647
appeared,0.1569073647260666,0.13591021299362183,0.15992791950702667,0.22515521943569183,0.30265679955482483,0.19487129151821136,0.17344161868095398,0.23563694953918457,0.22738154232501984,0.1384376585483551
in,0.30808621644973755,0.20486970245838165,0.22640638053417206,0.22798779606819153,0.6662389636039734,0.17882928252220154,0.45010748505592346,0.25567495822906494,0.2792111933231354,0.20430970191955566
1971,0.19641290605068207,0.09905790537595749,0.2097262442111969,0.2175915241241455,0.21928679943084717,0.13512635231018066,0.24062956869602203,0.16775591671466827,0.17997707426548004,0.29388657212257385
.,0.3567904531955719,0.16020378470420837,0.2742740213871002,0.22303789854049683,0.5934505462646484,0.16851933300495148,0.4645031690597534,0.22361043095588684,0.3541337847709656,0.4130953550338745
