,vetra,and,i,germanica,and,xx,valeria,were,the,two,legions,for,what,?
between,0.1319805532693863,0.40645647048950195,0.12477484345436096,0.1966564655303955,0.40645647048950195,0.12699857354164124,0.10147254168987274,0.27047741413116455,0.39067012071609497,0.4709945023059845,0.19603240489959717,0.24671313166618347,0.2462156116962433,0.12887074053287506
about,0.12774187326431274,0.3875081241130829,0.2983403205871582,0.19319109618663788,0.3875081241130829,0.126241996884346,0.09105817973613739,0.29814305901527405,0.37995871901512146,0.29597052931785583,0.15873824059963226,0.3312419354915619,0.47976887226104736,0.302409827709198
ad,0.13448762893676758,0.1829509735107422,0.16131407022476196,0.3302850127220154,0.1829509735107422,0.18539728224277496,0.2766353189945221,0.1702962964773178,0.24233382940292358,0.10559584200382233,0.3333037495613098,0.09682639688253403,0.27659884095191956,0.20824462175369263
14,0.16420577466487885,0.10622510313987732,0.14881698787212372,0.0811205804347992,0.10622510313987732,0.18584614992141724,0.15415626764297485,0.023857727646827698,-0.011880298145115376,0.11424291878938675,0.07352607697248459,-0.055861979722976685,0.050140514969825745,0.11697390675544739
and,0.15630216896533966,1.0,0.31928038597106934,0.2020006626844406,1.0,0.12197627127170563,0.13898566365242004,0.42175528407096863,0.5171257257461548,0.4671151638031006,0.26136550307273865,0.5064792633056641,0.31309178471565247,0.20544172823429108
180,-0.03193340450525284,0.0715903639793396,0.10375583916902542,0.05245170742273331,0.0715903639793396,-0.006051181815564632,0.033544521778821945,0.04775116220116615,0.08750838786363602,0.03656262904405594,0.04392760246992111,0.11603992432355881,0.1435280293226242,0.12062747031450272
",",0.23669195175170898,0.6633074283599854,0.3467482030391693,0.2710793614387512,0.6633074283599854,0.2275100201368332,0.20846016705036163,0.36755475401878357,0.4933079481124878,0.35859420895576477,0.21732504665851593,0.4464869201183319,0.3087472915649414,0.31091248989105225
the,0.2227081060409546,0.5171257257461548,0.26687872409820557,0.28964531421661377,0.5171257257461548,0.2355078011751175,0.10397842526435852,0.3906462490558624,1.0,0.43858039379119873,0.2824350595474243,0.4739971458911896,0.42745697498321533,0.22068053483963013
assignment,0.21348191797733307,0.25162890553474426,0.2566568851470947,0.05759209021925926,0.25162890553474426,0.21801185607910156,0.16076098382472992,0.17606189846992493,0.34598997235298157,0.2719489634037018,0.10497136414051056,0.3422635793685913,0.33189061284065247,0.23921610414981842
of,0.20404498279094696,0.5116966962814331,0.25849398970603943,0.2573557198047638,0.5116966962814331,0.13862080872058868,0.0662296712398529,0.34038281440734863,0.733189046382904,0.37726253271102905,0.32204335927963257,0.4185989499092102,0.33290785551071167,0.1826142966747284
legions,0.19779247045516968,0.26136550307273865,0.19917744398117065,0.44488489627838135,0.26136550307273865,0.17155598104000092,0.3821743130683899,0.2566218078136444,0.2824350595474243,0.2680635154247284,1.0,0.14817868173122406,0.13887666165828705,0.11789947748184204
was,0.16730982065200806,0.3740963041782379,0.23566235601902008,0.2031363993883133,0.3740963041782379,0.10998591035604477,0.16931593418121338,0.590133786201477,0.48711544275283813,0.27166637778282166,0.21089579164981842,0.3863949179649353,0.22111038863658905,0.18412111699581146
