,warsaw,'s,national,museum,is,one,of,the,most,what,?
from,0.2396499514579773,-0.01936490088701248,0.17547941207885742,0.20791949331760406,0.27355384826660156,0.32194891571998596,0.4249346852302551,0.40150508284568787,0.28580769896507263,0.2737620174884796,0.19969791173934937
among,0.11167501658201218,0.01186611782759428,0.16865037381649017,0.20246858894824982,0.21956473588943481,0.3877730369567871,0.3679063022136688,0.3507058024406433,0.5484373569488525,0.21154822409152985,0.14343059062957764
warsaw,1.0,0.02839025668799877,0.19670157134532928,0.24001078307628632,0.09741193056106567,0.13329707086086273,0.19253842532634735,0.23137180507183075,0.06817606836557388,0.10373849421739578,0.09769917279481888
's,0.02839025668799877,0.9999999403953552,-0.05226261913776398,-0.011753248050808907,0.02396530658006668,0.06913424283266068,-0.03817026689648628,-0.01540423184633255,0.024445664137601852,0.02692362666130066,-0.023395681753754616
60,-0.0626445934176445,-0.11939319223165512,-0.010049987584352493,0.028498312458395958,0.04923270642757416,0.0014106736052781343,0.05524682253599167,0.04635925963521004,0.0072674984112381935,0.07328611612319946,0.06999651342630386
museums,0.26226547360420227,-0.033785928040742874,0.29845130443573,0.766154408454895,0.19032974541187286,0.27118855714797974,0.2631984055042267,0.2721219062805176,0.2530010938644409,0.18489275872707367,0.1374243199825287
",",0.25300899147987366,-0.0016132977325469255,0.23933029174804688,0.20741747319698334,0.4691906273365021,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.3636029064655304,0.3087472915649414,0.31091248989105225
the,0.23137180507183075,-0.01540423184633255,0.32739606499671936,0.24861779808998108,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.47635307908058167,0.42745697498321533,0.22068053483963013
most,0.06817606836557388,0.024445664137601852,0.212355375289917,0.15799327194690704,0.41165053844451904,0.5404669642448425,0.4178851246833801,0.47635307908058167,1.0,0.3219912350177765,0.2107497900724411
prestigious,0.15904684364795685,-0.01674887165427208,0.34242504835128784,0.2196587324142456,0.21526983380317688,0.2939686179161072,0.26540738344192505,0.2841964662075043,0.3588816523551941,0.11413072049617767,0.050204768776893616
ones,0.10867823660373688,0.04911305382847786,0.032361648976802826,0.1338566243648529,0.28782421350479126,0.46735402941703796,0.23451396822929382,0.333568274974823,0.4729165732860565,0.28536954522132874,0.28155767917633057
