,from,1947,to,1967,",",how,much,did,the,price,of,oil,increase,?
from,1.0,0.19847750663757324,0.4069952368736267,-0.0006833345978520811,0.39760664105415344,0.22939439117908478,0.24480824172496796,0.20248863101005554,0.40150508284568787,0.1435108780860901,0.4249346852302551,0.22372330725193024,0.20796631276607513,0.19969791173934937
1947,0.19847750663757324,1.0,0.19629348814487457,-0.14993035793304443,0.20759901404380798,0.08473414182662964,0.1409328430891037,0.05506129190325737,0.25957298278808594,0.1380636841058731,0.20373398065567017,0.2837420701980591,0.13061630725860596,0.020605526864528656
to,0.4069952368736267,0.19629348814487457,1.0,-0.0018660398200154305,0.44245919585227966,0.44169697165489197,0.40610215067863464,0.4452643394470215,0.535392165184021,0.2590087652206421,0.41548454761505127,0.1619214415550232,0.3378143310546875,0.29463258385658264
1967,-0.0006833345978520811,-0.14993035793304443,-0.0018660398200154305,1.0000001192092896,-0.04270636662840843,-0.03056151233613491,-0.09041181951761246,-0.049660373479127884,-0.012038951739668846,0.01948896050453186,0.07289459556341171,-0.11521968245506287,-0.020015254616737366,0.017933469265699387
",",0.39760664105415344,0.20759901404380798,0.44245919585227966,-0.04270636662840843,1.0000001192092896,0.22659391164779663,0.36182254552841187,0.3015086054801941,0.4933079481124878,0.24825957417488098,0.4946078956127167,0.20043784379959106,0.20005576312541962,0.31091248989105225
the,0.40150508284568787,0.25957298278808594,0.535392165184021,-0.012038951739668846,0.4933079481124878,0.33890387415885925,0.35023224353790283,0.34736719727516174,1.0,0.22636492550373077,0.733189046382904,0.21849922835826874,0.32049667835235596,0.22068053483963013
dollar,0.05479464307427406,0.16443324089050293,0.21958276629447937,-0.08695481717586517,0.19512790441513062,0.21454864740371704,0.17403052747249603,0.15217867493629456,0.2596837878227234,0.334756076335907,0.1566329300403595,0.25142979621887207,0.17039480805397034,0.17535142600536346
price,0.1435108780860901,0.1380636841058731,0.2590087652206421,0.01948896050453186,0.24825957417488098,0.2175861895084381,0.2765059769153595,0.20305229723453522,0.22636492550373077,1.0,0.15675179660320282,0.3166557550430298,0.24759601056575775,0.14631175994873047
of,0.4249346852302551,0.20373398065567017,0.41548454761505127,0.07289459556341171,0.4946078956127167,0.2480744868516922,0.2671096920967102,0.2513895630836487,0.733189046382904,0.15675179660320282,1.0,0.22900764644145966,0.3156060576438904,0.1826142966747284
oil,0.22372330725193024,0.2837420701980591,0.1619214415550232,-0.11521968245506287,0.20043784379959106,0.13798584043979645,0.20203979313373566,0.10956666618585587,0.21849922835826874,0.3166557550430298,0.22900764644145966,1.0,0.24082042276859283,0.14867261052131653
had,0.3075238764286041,0.09109218418598175,0.37984350323677063,-0.07578501105308533,0.35487717390060425,0.2549138069152832,0.31141290068626404,0.540525496006012,0.3875846862792969,0.1814015656709671,0.37755560874938965,0.1329135298728943,0.3162323832511902,0.20728366076946259
risen,0.18182066082954407,0.13989074528217316,0.2718874216079712,-0.031377408653497696,0.2632584571838379,0.25945717096328735,0.2976539433002472,0.22665192186832428,0.31852957606315613,0.24553656578063965,0.29569199681282043,0.1517062783241272,0.37300950288772583,0.19130191206932068
by,0.3373257517814636,0.09437669068574905,0.33534231781959534,-0.0349467396736145,0.3680937886238098,0.34370526671409607,0.24959969520568848,0.18574509024620056,0.4408751428127289,0.18747636675834656,0.3646814823150635,0.20634248852729797,0.20121172070503235,0.17966607213020325
less,0.2665170431137085,0.21483106911182404,0.38397523760795593,-0.05884144827723503,0.28111666440963745,0.3495950996875763,0.6148731112480164,0.1984580159187317,0.29185041785240173,0.25023379921913147,0.30836719274520874,0.213841050863266,0.42019161581993103,0.22418740391731262
than,0.2633618414402008,0.1938277631998062,0.3192550539970398,-0.049165692180395126,0.3371901512145996,0.29763275384902954,0.632695198059082,0.24820660054683685,0.3227543234825134,0.25886934995651245,0.33036211133003235,0.1969464123249054,0.3258068859577179,0.24917294085025787
two,0.25732070207595825,0.23313377797603607,0.3343428373336792,-0.08440729975700378,0.35859420895576477,0.2499001920223236,0.2133389115333557,0.2755576968193054,0.43858039379119873,0.18589314818382263,0.37726253271102905,0.11044035851955414,0.1618785262107849,0.19645625352859497
percent,0.22041577100753784,0.21443122625350952,0.2143162339925766,-0.024469735100865364,0.19088563323020935,0.21959637105464935,0.2951783537864685,0.19101352989673615,0.277066707611084,0.2562379240989685,0.3004763424396515,0.265217661857605,0.4012279808521271,0.14671556651592255
per,0.2311413735151291,0.15842604637145996,0.2519395351409912,-0.01081423182040453,0.26711323857307434,0.2243444174528122,0.264721542596817,0.14237605035305023,0.21691934764385223,0.17166109383106232,0.17468707263469696,0.0829489454627037,0.2976338863372803,0.22323818504810333
year,0.2101740688085556,0.16086915135383606,0.23523004353046417,0.027806339785456657,0.28560417890548706,0.19631797075271606,0.2093992531299591,0.21422851085662842,0.3609684407711029,0.20207317173480988,0.2578314542770386,0.11215627938508987,0.23070736229419708,0.18315006792545319
.,0.41536515951156616,0.20950967073440552,0.4645031690597534,0.03085298277437687,0.6812511086463928,0.3287222981452942,0.3374604284763336,0.35288307070732117,0.5934505462646484,0.20274421572685242,0.5352458953857422,0.22117017209529877,0.24619564414024353,0.4130953550338745
