,who,was,the,associate,administrator,that,houbolt,spoke,with,?
bypassing,0.13304133713245392,0.1467663198709488,0.29580944776535034,0.12154173105955124,0.22056658565998077,0.30741479992866516,0.14204971492290497,0.06547552347183228,0.24510467052459717,0.18885639309883118
the,0.3733934462070465,0.48711544275283813,1.0,0.25426939129829407,0.23136885464191437,0.5473989248275757,0.27896469831466675,0.268061101436615,0.4223487675189972,0.22068053483963013
nasa,0.1536933034658432,0.19417528808116913,0.19786997139453888,0.1942850947380066,0.2822103500366211,0.26653343439102173,0.34819310903549194,0.14942964911460876,0.12890534102916718,0.1809994876384735
hierarchy,0.23979035019874573,0.15232913196086884,0.22604632377624512,0.21355745196342468,0.20939764380455017,0.24586151540279388,0.15224075317382812,0.13683348894119263,0.14010344445705414,0.23208312690258026
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.27230769395828247,0.30028748512268066,0.4137537479400635,0.42276179790496826,0.2793640196323395,0.4120737314224243,0.31091248989105225
he,0.5500732064247131,0.5410010814666748,0.4571082592010498,0.2732650339603424,0.28635507822036743,0.36068853735923767,0.29460495710372925,0.3249238431453705,0.2845253646373749,0.2089974731206894
sent,0.33813023567199707,0.3192673325538635,0.3010627329349518,0.17596407234668732,0.17191454768180847,0.2519396245479584,0.223016157746315,0.30245649814605713,0.24843131005764008,0.10903520882129669
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.2032746970653534,0.23652416467666626,0.47537946701049805,0.32289475202560425,0.18961507081985474,0.3783375024795532,0.23916715383529663
series,0.21484537422657013,0.2261398285627365,0.31376904249191284,0.11708865314722061,0.10437062382698059,0.24595457315444946,0.27167558670043945,0.1295384019613266,0.17767351865768433,0.1709602326154709
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.30520564317703247,0.22513146698474884,0.41498205065727234,0.24302005767822266,0.21485641598701477,0.41827285289764404,0.1826142966747284
memos,0.2711046636104584,0.18176446855068207,0.2184930294752121,0.1575218141078949,0.18940454721450806,0.3080635368824005,0.1633324772119522,0.260649710893631,0.2338145673274994,0.22004187107086182
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.32652273774147034,0.24388648569583893,0.4731321930885315,0.33234700560569763,0.22097206115722656,0.5477725267410278,0.20544172823429108
reports,0.20120549201965332,0.21444037556648254,0.2622474431991577,0.20457449555397034,0.2445942908525467,0.3487355709075928,0.1574215441942215,0.2827323079109192,0.1905449479818344,0.23746368288993835
on,0.2340552806854248,0.3909217119216919,0.5107308030128479,0.15960651636123657,0.18246042728424072,0.42569106817245483,0.18313384056091309,0.2033570408821106,0.40749499201774597,0.2714994251728058
the,0.3733934462070465,0.48711544275283813,1.0,0.25426939129829407,0.23136885464191437,0.5473989248275757,0.27896469831466675,0.268061101436615,0.4223487675189972,0.22068053483963013
issue,0.18869589269161224,0.22246617078781128,0.22164808213710785,0.12901179492473602,0.27131709456443787,0.30336466431617737,0.12414799630641937,0.12406279891729355,0.19793786108493805,0.32172858715057373
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.30953624844551086,0.291531503200531,0.5436353087425232,0.19443804025650024,0.26314011216163635,0.4239959120750427,0.29463258385658264
associate,0.26234617829322815,0.1991092562675476,0.25426939129829407,1.0,0.3368593752384186,0.2016943246126175,0.2634555995464325,0.15869605541229248,0.33454373478889465,0.15745846927165985
administrator,0.29738950729370117,0.26034414768218994,0.23136885464191437,0.3368593752384186,0.9999999403953552,0.2705237567424774,0.3103731870651245,0.17124304175376892,0.1131822019815445,0.2915230691432953
