,who,won,the,battle,of,lake,george,?
the,0.3733934462070465,0.29432493448257446,1.0,0.2820790410041809,0.733189046382904,0.24325428903102875,0.2510760426521301,0.22068053483963013
battle,0.16377700865268707,0.20552633702754974,0.2820790410041809,1.0000001192092896,0.2291749268770218,0.14701083302497864,0.17275641858577728,0.1680624783039093
ended,0.13835756480693817,0.321764200925827,0.3356485068798065,0.2691439688205719,0.27636510133743286,0.1607891023159027,0.17006975412368774,0.15429291129112244
inconclusively,0.25264981389045715,0.1562604159116745,0.3264719545841217,0.25601309537887573,0.253789484500885,0.15365390479564667,0.16504521667957306,0.21911491453647614
",",0.3365725874900818,0.35968565940856934,0.4933079481124878,0.23037992417812347,0.4946078956127167,0.2802521586418152,0.24972979724407196,0.31091248989105225
with,0.3282766342163086,0.24544957280158997,0.4223487675189972,0.13577404618263245,0.41827285289764404,0.1871964931488037,0.1701948642730713,0.2433311939239502
both,0.31663915514945984,0.2647591531276703,0.4931981563568115,0.17516669631004333,0.3565710783004761,0.21872827410697937,0.12263341248035431,0.19455738365650177
sides,0.153273805975914,0.18999981880187988,0.3694373369216919,0.24337217211723328,0.2580065131187439,0.16917498409748077,0.10763711482286453,0.09230148047208786
withdrawing,0.22768867015838623,0.22716274857521057,0.3237048387527466,0.20680572092533112,0.2674412727355957,0.04695453494787216,0.16168895363807678,0.21841749548912048
from,0.27839982509613037,0.15574602782726288,0.40150508284568787,0.1628955453634262,0.4249346852302551,0.1707027703523636,0.11345229297876358,0.19969791173934937
the,0.3733934462070465,0.29432493448257446,1.0,0.2820790410041809,0.733189046382904,0.24325428903102875,0.2510760426521301,0.22068053483963013
field,0.18098586797714233,0.17430683970451355,0.2105809599161148,0.16983118653297424,0.20410659909248352,0.1372133493423462,0.12707489728927612,0.11279727518558502
.,0.3541337847709656,0.3011801838874817,0.5934505462646484,0.1661834716796875,0.5352458953857422,0.18603695929050446,0.26540547609329224,0.4130953550338745
,who,won,the,battle,of,lake,george,?
the,0.3733934462070465,0.29432493448257446,1.0,0.2820790410041809,0.733189046382904,0.24325428903102875,0.2510760426521301,0.22068053483963013
two,0.2791741192340851,0.24457098543643951,0.43858039379119873,0.18063831329345703,0.37726253271102905,0.1919798105955124,0.11435411125421524,0.19645625352859497
forces,0.2532956302165985,0.1326843947172165,0.3134811818599701,0.46557727456092834,0.3090144991874695,0.16208863258361816,0.1318901628255844,0.16984491050243378
finally,0.2843495011329651,0.25366121530532837,0.4516841769218445,0.23243647813796997,0.2709518074989319,0.21251758933067322,0.12651506066322327,0.16868984699249268
met,0.32960283756256104,0.2557591199874878,0.2303115278482437,0.22305083274841309,0.2307862788438797,0.08887001872062683,0.23776963353157043,0.13848096132278442
in,0.2792111933231354,0.3280489146709442,0.6662389636039734,0.24353940784931183,0.5696388483047485,0.260087251663208,0.18167929351329803,0.20430970191955566
the,0.3733934462070465,0.29432493448257446,1.0,0.2820790410041809,0.733189046382904,0.24325428903102875,0.2510760426521301,0.22068053483963013
bloody,0.19476895034313202,0.1770906150341034,0.2574346363544464,0.37925899028778076,0.22705647349357605,0.13234485685825348,0.12512101233005524,0.19364359974861145
battle,0.16377700865268707,0.20552633702754974,0.2820790410041809,1.0000001192092896,0.2291749268770218,0.14701083302497864,0.17275641858577728,0.1680624783039093
of,0.2827862501144409,0.20832067728042603,0.733189046382904,0.2291749268770218,1.0,0.23993153870105743,0.22097964584827423,0.1826142966747284
lake,0.1010095402598381,0.13765893876552582,0.24325428903102875,0.14701083302497864,0.23993153870105743,1.0000001192092896,0.13525544106960297,0.07226386666297913
george,0.25805044174194336,0.2369043529033661,0.2510760426521301,0.17275641858577728,0.22097964584827423,0.13525544106960297,1.0000001192092896,0.1479024887084961
between,0.20718061923980713,0.16967761516571045,0.39067012071609497,0.20428906381130219,0.3737983703613281,0.12654004991054535,0.08159974962472916,0.12887074053287506
fort,0.13790950179100037,0.15938042104244232,0.2420126497745514,0.32382732629776,0.18979716300964355,0.3142308294773102,0.17803071439266205,0.15686731040477753
edward,0.25107425451278687,0.17979274690151215,0.1896408498287201,0.18029893934726715,0.1742178201675415,0.13619759678840637,0.39218997955322266,0.1439376026391983
and,0.41279885172843933,0.2795773446559906,0.5171257257461548,0.15482768416404724,0.5116966962814331,0.234501451253891,0.22245058417320251,0.20544172823429108
fort,0.13790950179100037,0.15938042104244232,0.2420126497745514,0.32382732629776,0.18979716300964355,0.3142308294773102,0.17803071439266205,0.15686731040477753
william,0.32068803906440735,0.1931561529636383,0.21537061035633087,0.1573285460472107,0.20272590219974518,0.16068671643733978,0.3775995075702667,0.14462219178676605
henry,0.29137110710144043,0.20677708089351654,0.2542637586593628,0.18041351437568665,0.2390729784965515,0.11366655677556992,0.40938520431518555,0.16836383938789368
.,0.3541337847709656,0.3011801838874817,0.5934505462646484,0.1661834716796875,0.5352458953857422,0.18603695929050446,0.26540547609329224,0.4130953550338745
