,what,amount,of,the,worlds,carbon,is,stored,in,the,amazon,forest,?
amazonian,0.1507374495267868,0.1576377898454666,0.25810134410858154,0.290641725063324,0.25998514890670776,0.25673964619636536,0.22115670144557953,0.20995044708251953,0.16806575655937195,0.290641725063324,0.7159956097602844,0.3166050910949707,0.1447652280330658
evergreen,0.16203081607818604,0.11811967939138412,0.20337800681591034,0.1674140840768814,0.15018467605113983,0.23144744336605072,0.259201318025589,0.2208714485168457,0.21066300570964813,0.1674140840768814,0.18694819509983063,0.4254113733768463,0.14600957930088043
forests,0.16523823142051697,0.19294744729995728,0.2675515413284302,0.27717307209968567,0.14729627966880798,0.2789088487625122,0.22661735117435455,0.14642594754695892,0.2721249461174011,0.27717307209968567,0.37655121088027954,0.7799500823020935,0.1166248619556427
account,0.27991923689842224,0.2858900725841522,0.19751501083374023,0.21117976307868958,0.23401860892772675,0.26575204730033875,0.1971616894006729,0.26436546444892883,0.15171845257282257,0.21117976307868958,0.21434642374515533,0.1639665961265564,0.34417325258255005
for,0.3017193675041199,0.3007623255252838,0.4185989499092102,0.4739971458911896,0.17738007009029388,0.2145283818244934,0.43268078565597534,0.27449387311935425,0.4322226941585541,0.4739971458911896,0.165912926197052,0.20533806085586548,0.264628142118454
about,0.47976887226104736,0.2517687976360321,0.40939709544181824,0.37995871901512146,0.1857845038175583,0.22196762263774872,0.3532065451145172,0.17892304062843323,0.39797019958496094,0.37995871901512146,0.20610886812210083,0.22346492111682892,0.302409827709198
10,0.11840458959341049,-0.02031119354069233,0.2777891755104065,0.2880653440952301,0.0766427218914032,-0.008484630845487118,0.1865890771150589,-0.07562710344791412,0.22690178453922272,0.2880653440952301,0.12681163847446442,0.11639054864645004,0.022911956533789635
%,0.20738190412521362,0.2841183543205261,0.19953428208827972,0.21490740776062012,0.09208160638809204,0.28227922320365906,0.18672586977481842,0.11596816033124924,0.19465309381484985,0.21490740776062012,0.17626920342445374,0.18021099269390106,0.21441808342933655
of,0.33290785551071167,0.2541177570819855,1.0,0.733189046382904,0.18171288073062897,0.22596238553524017,0.4854315221309662,0.2396228164434433,0.5696388483047485,0.733189046382904,0.20143137872219086,0.2309139519929886,0.1826142966747284
the,0.42745697498321533,0.3336862325668335,0.733189046382904,1.0,0.2276933789253235,0.23183570802211761,0.5823672413825989,0.2634609043598175,0.6662389636039734,1.0,0.260541707277298,0.24134553968906403,0.22068053483963013
world,0.21669597923755646,0.12216810882091522,0.2828933000564575,0.33604270219802856,0.5605757832527161,0.17608599364757538,0.24458536505699158,0.17320369184017181,0.3038199245929718,0.33604270219802856,0.22393567860126495,0.16128212213516235,0.17579582333564758
's,0.02692362666130066,0.051227446645498276,-0.03817026689648628,-0.01540423184633255,0.14571480453014374,0.027439022436738014,0.02396530658006668,-0.035982899367809296,-0.037580832839012146,-0.01540423184633255,0.062328040599823,0.006216650828719139,-0.023395681753754616
terrestrial,0.13171201944351196,0.24784554541110992,0.23204152286052704,0.26007309556007385,0.26098912954330444,0.3621845245361328,0.2226477414369583,0.25773096084594727,0.20245018601417542,0.26007309556007385,0.3027835190296173,0.24220803380012512,0.09166651964187622
primary,0.2113915979862213,0.0882691740989685,0.23414276540279388,0.25688621401786804,0.12883946299552917,0.2073693871498108,0.23824772238731384,0.20563247799873352,0.21150650084018707,0.25688621401786804,0.13352857530117035,0.18354292213916779,0.16286636888980865
productivity,0.2654266059398651,0.4003511667251587,0.2269303798675537,0.22987580299377441,0.20246069133281708,0.3602541983127594,0.23724260926246643,0.308026522397995,0.18360760807991028,0.22987580299377441,0.21075543761253357,0.14346249401569366,0.23359106481075287
and,0.31309178471565247,0.2668909728527069,0.5116966962814331,0.5171257257461548,0.27785348892211914,0.23064753413200378,0.3859752118587494,0.23925133049488068,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.26268187165260315,0.20544172823429108
10,0.11840458959341049,-0.02031119354069233,0.2777891755104065,0.2880653440952301,0.0766427218914032,-0.008484630845487118,0.1865890771150589,-0.07562710344791412,0.22690178453922272,0.2880653440952301,0.12681163847446442,0.11639054864645004,0.022911956533789635
%,0.20738190412521362,0.2841183543205261,0.19953428208827972,0.21490740776062012,0.09208160638809204,0.28227922320365906,0.18672586977481842,0.11596816033124924,0.19465309381484985,0.21490740776062012,0.17626920342445374,0.18021099269390106,0.21441808342933655
of,0.33290785551071167,0.2541177570819855,1.0,0.733189046382904,0.18171288073062897,0.22596238553524017,0.4854315221309662,0.2396228164434433,0.5696388483047485,0.733189046382904,0.20143137872219086,0.2309139519929886,0.1826142966747284
the,0.42745697498321533,0.3336862325668335,0.733189046382904,1.0,0.2276933789253235,0.23183570802211761,0.5823672413825989,0.2634609043598175,0.6662389636039734,1.0,0.260541707277298,0.24134553968906403,0.22068053483963013
carbon,0.22238978743553162,0.3432638347148895,0.22596238553524017,0.23183570802211761,0.21490994095802307,1.0000001192092896,0.2770232558250427,0.3419003188610077,0.1857566386461258,0.23183570802211761,0.1535501331090927,0.21766255795955658,0.19040444493293762
stores,0.14613831043243408,0.24757570028305054,0.21750995516777039,0.27271583676338196,0.20651786029338837,0.19199876487255096,0.21182715892791748,0.5930345058441162,0.34391340613365173,0.27271583676338196,0.2851882874965668,0.14919184148311615,0.1341363787651062
in,0.30808621644973755,0.2569429874420166,0.5696388483047485,0.6662389636039734,0.16453681886196136,0.1857566386461258,0.5394441485404968,0.26229971647262573,1.0,0.6662389636039734,0.12227833271026611,0.24136987328529358,0.20430970191955566
