,what,other,european,protestant,leader,was,educated,at,the,university,of,paris,?
william,0.24990826845169067,0.12795092165470123,0.16789701581001282,0.29644811153411865,0.136001855134964,0.28444796800613403,0.2383747100830078,0.16626758873462677,0.21537061035633087,0.21283619105815887,0.20272590219974518,0.21380583941936493,0.14462219178676605
farel,0.11825791746377945,0.14962080121040344,0.19952324032783508,0.26207980513572693,0.2126547247171402,0.2703416049480438,0.16561369597911835,0.18019916117191315,0.2274312674999237,0.18904268741607666,0.19574086368083954,0.34873637557029724,0.13367024064064026
was,0.22111038863658905,0.14651623368263245,0.22463937103748322,0.25246119499206543,0.3073844909667969,1.0000001192092896,0.3486032783985138,0.36707764863967896,0.48711544275283813,0.290752112865448,0.4069072902202606,0.31941550970077515,0.18412111699581146
a,0.3320399522781372,0.2806335389614105,0.2254103124141693,0.22869355976581573,0.21384623646736145,0.4508470594882965,0.1534852832555771,0.3095070421695709,0.5829201340675354,0.20256656408309937,0.5052502155303955,0.2185223400592804,0.23916715383529663
student,0.20548318326473236,0.1325913965702057,0.18228349089622498,0.2861773669719696,0.24667583405971527,0.26442357897758484,0.36795324087142944,0.2458948791027069,0.21259291470050812,0.46536099910736084,0.20310284197330475,0.19349904358386993,0.13282090425491333
of,0.33290785551071167,0.38583824038505554,0.2507138252258301,0.31440475583076477,0.24122127890586853,0.4069072902202606,0.2250576615333557,0.42558613419532776,0.733189046382904,0.30646374821662903,1.0,0.19470684230327606,0.1826142966747284
lefevre,0.3085249066352844,0.17930404841899872,0.19480226933956146,0.41495513916015625,0.3197745978832245,0.30150914192199707,0.23187267780303955,0.17274993658065796,0.3053997755050659,0.19646663963794708,0.2617177665233612,0.4113096296787262,0.2985549867153168
who,0.40942975878715515,0.3612329661846161,0.2314588874578476,0.2817428708076477,0.31168457865715027,0.3318818509578705,0.32681509852409363,0.22096660733222961,0.3733934462070465,0.2115909904241562,0.2827862501144409,0.2166387438774109,0.26220351457595825
went,0.20164033770561218,0.16995321214199066,0.2011861503124237,0.20080196857452393,0.20054073631763458,0.49310487508773804,0.3432939946651459,0.4009326696395874,0.3345835506916046,0.2635113000869751,0.2527906000614166,0.3026447892189026,0.12109432369470596
on,0.34226128458976746,0.3410046398639679,0.19710737466812134,0.13991612195968628,0.13550986349582672,0.3909217119216919,0.16677725315093994,0.4806317389011383,0.5107308030128479,0.18291500210762024,0.3966929316520691,0.23353494703769684,0.2714994251728058
to,0.455847829580307,0.4193183183670044,0.21011990308761597,0.23639842867851257,0.2050279974937439,0.3636345863342285,0.25168463587760925,0.36524343490600586,0.535392165184021,0.20192374289035797,0.41548454761505127,0.20389077067375183,0.29463258385658264
