,what,city,in,victoria,is,called,the,sporting,capital,of,australia,?
the,0.42745697498321533,0.35769423842430115,0.6662389636039734,0.2204313427209854,0.5823672413825989,0.489897221326828,1.0,0.2211751937866211,0.3049491047859192,0.733189046382904,0.26828548312187195,0.22068053483963013
melbourne,0.10823550075292587,0.2566491961479187,0.21059004962444305,0.5566045641899109,0.14877618849277496,0.22210079431533813,0.2464369535446167,0.2712974548339844,0.14316412806510925,0.1963735967874527,0.6183432340621948,0.09101688116788864
cricket,0.16916127502918243,0.14412802457809448,0.18341192603111267,0.21494390070438385,0.18039685487747192,0.15651294589042664,0.20877817273139954,0.3180026710033417,0.13157102465629578,0.20185436308383942,0.3204813003540039,0.1368326097726822
ground,0.20688746869564056,0.15265941619873047,0.20377106964588165,0.17400331795215607,0.2406253069639206,0.27320149540901184,0.25776049494743347,0.2407384216785431,0.14121174812316895,0.22660790383815765,0.18260130286216736,0.11401822417974472
is,0.28837618231773376,0.3186660706996918,0.5394441485404968,0.1633591204881668,1.0,0.430266410112381,0.5823672413825989,0.19381001591682434,0.2849797308444977,0.4854315221309662,0.1734699010848999,0.22961433231830597
the,0.42745697498321533,0.35769423842430115,0.6662389636039734,0.2204313427209854,0.5823672413825989,0.489897221326828,1.0,0.2211751937866211,0.3049491047859192,0.733189046382904,0.26828548312187195,0.22068053483963013
largest,0.13463157415390015,0.3647192716598511,0.3017216920852661,0.1591697335243225,0.3413417339324951,0.3034048080444336,0.3757036626338959,0.19452521204948425,0.37960806488990784,0.36650770902633667,0.23721256852149963,0.12401245534420013
stadium,0.12456028908491135,0.3067288398742676,0.21361783146858215,0.16120973229408264,0.18311816453933716,0.1751822829246521,0.21145665645599365,0.31712785363197327,0.3196227252483368,0.17126937210559845,0.14926154911518097,0.07579939067363739
in,0.30808621644973755,0.3911624252796173,1.0,0.20823122560977936,0.5394441485404968,0.40847352147102356,0.6662389636039734,0.24529825150966644,0.3233928978443146,0.5696388483047485,0.2697675824165344,0.20430970191955566
australia,0.1913539320230484,0.16613131761550903,0.2697675824165344,0.5548879504203796,0.1734699010848999,0.18822696805000305,0.26828548312187195,0.21076451241970062,0.14529405534267426,0.2669609785079956,1.0,0.15702682733535767
",",0.3087472915649414,0.35839709639549255,0.5201468467712402,0.2279360294342041,0.4691906273365021,0.26549121737480164,0.4933079481124878,0.2571864128112793,0.28033894300460815,0.4946078956127167,0.22314006090164185,0.31091248989105225
