,which,linebacker,led,the,broncos,in,tackles,?
linebacker,0.1141936182975769,1.0000001192092896,0.23452478647232056,0.19719967246055603,0.5541716814041138,0.22480759024620056,0.5526763200759888,0.15540370345115662
brandon,0.10983117669820786,0.3534488081932068,0.12523220479488373,0.1588345170021057,0.3236333727836609,0.2295675128698349,0.2839891314506531,0.2774931490421295
marshall,0.10425948351621628,0.29762381315231323,0.12600256502628326,0.22928133606910706,0.2621925473213196,0.2483098953962326,0.17849864065647125,0.18167579174041748
led,0.21040768921375275,0.23452478647232056,0.9999999403953552,0.3267505168914795,0.26527854800224304,0.2990247309207916,0.23647460341453552,0.09273858368396759
the,0.6521818041801453,0.19719967246055603,0.3267505168914795,1.0,0.25985947251319885,0.6662389636039734,0.19076409935951233,0.22068053483963013
team,0.17144864797592163,0.29453736543655396,0.2298295497894287,0.22564226388931274,0.32797038555145264,0.18841172754764557,0.2287295162677765,0.11243411153554916
in,0.4840516746044159,0.22480759024620056,0.2990247309207916,0.6662389636039734,0.20316283404827118,1.0,0.18025051057338715,0.20430970191955566
total,0.32373151183128357,0.07187900692224503,0.18356472253799438,0.27068960666656494,0.18658475577831268,0.27667245268821716,0.20596396923065186,0.14396025240421295
tackles,0.15687359869480133,0.5526763200759888,0.23647460341453552,0.19076409935951233,0.4817456007003784,0.18025051057338715,1.0,0.20188532769680023
with,0.46403205394744873,0.15185804665088654,0.27114903926849365,0.4223487675189972,0.2245701551437378,0.4080928862094879,0.2096734493970871,0.2433311939239502
109,-0.15021921694278717,0.16831783950328827,0.03612547740340233,0.02574852481484413,0.16472969949245453,0.05819336697459221,0.18589657545089722,0.12295328080654144
",",0.3658004403114319,0.2608627378940582,0.22548827528953552,0.4933079481124878,0.2558487057685852,0.5201468467712402,0.22343356907367706,0.31091248989105225
while,0.38669952750205994,0.1985858827829361,0.2681278884410858,0.39804592728614807,0.23601266741752625,0.3399278521537781,0.2451677918434143,0.21076419949531555
danny,0.18280667066574097,0.284755140542984,0.10177212208509445,0.24839186668395996,0.2281053066253662,0.1784662902355194,0.2404375523328781,0.12230359762907028
trevathan,0.21890027821063995,0.29995182156562805,0.23500481247901917,0.3371354937553406,0.288074254989624,0.2938757836818695,0.2949202358722687,0.19781902432441711
ranked,0.15487711131572723,0.16389548778533936,0.1998179405927658,0.2711145281791687,0.15926465392112732,0.2005387395620346,0.20761750638484955,0.12953443825244904
second,0.336174339056015,0.16832084953784943,0.24436724185943604,0.4620301127433777,0.22586089372634888,0.34510284662246704,0.2140425741672516,0.17239587008953094
with,0.46403205394744873,0.15185804665088654,0.27114903926849365,0.4223487675189972,0.2245701551437378,0.4080928862094879,0.2096734493970871,0.2433311939239502
102,0.2571779787540436,0.09147819131612778,0.07881653308868408,0.14157715439796448,0.0808907300233841,0.16278687119483948,0.15206991136074066,-0.019286835566163063
.,0.45942068099975586,0.23209579288959503,0.19335708022117615,0.5934505462646484,0.2612393796443939,0.5591574311256409,0.2241174876689911,0.4130953550338745
