,what,are,the,core,treaties,that,the,primary,law,of,the,eu,consists,of,?
the,0.42745697498321533,0.40399202704429626,1.0,0.21890558302402496,0.28970760107040405,0.5473989248275757,1.0,0.25688621401786804,0.24548950791358948,0.733189046382904,1.0,0.14126400649547577,0.3362659811973572,0.733189046382904,0.22068053483963013
primary,0.2113915979862213,0.24237659573554993,0.25688621401786804,0.20448461174964905,0.13191401958465576,0.2296912968158722,0.25688621401786804,1.0,0.1267443150281906,0.23414276540279388,0.25688621401786804,0.04234253242611885,0.2870413661003113,0.23414276540279388,0.16286636888980865
law,0.2145031988620758,0.13009320199489594,0.24548950791358948,0.1193428710103035,0.39653173089027405,0.23277728259563446,0.24548950791358948,0.1267443150281906,1.0000001192092896,0.2816956341266632,0.24548950791358948,0.20359504222869873,0.061850447207689285,0.2816956341266632,0.1528988480567932
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.2545962929725647,0.3281906247138977,0.41498205065727234,0.733189046382904,0.23414276540279388,0.2816956341266632,1.0,0.733189046382904,0.1579294353723526,0.41510096192359924,1.0,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,1.0,0.21890558302402496,0.28970760107040405,0.5473989248275757,1.0,0.25688621401786804,0.24548950791358948,0.733189046382904,1.0,0.14126400649547577,0.3362659811973572,0.733189046382904,0.22068053483963013
eu,0.15409135818481445,0.13638608157634735,0.14126400649547577,0.21467046439647675,0.33172380924224854,0.10275088250637054,0.14126400649547577,0.04234253242611885,0.20359504222869873,0.1579294353723526,0.14126400649547577,0.9999998807907104,0.059234775602817535,0.1579294353723526,0.21586786210536957
consists,0.11367427557706833,0.43408724665641785,0.3362659811973572,0.24313019216060638,0.18795062601566315,0.21588067710399628,0.3362659811973572,0.2870413661003113,0.061850447207689285,0.41510096192359924,0.3362659811973572,0.059234775602817535,0.9999998807907104,0.41510096192359924,-0.004641483072191477
mainly,0.29325804114341736,0.40445566177368164,0.3790479004383087,0.2061498761177063,0.17751847207546234,0.34029021859169006,0.3790479004383087,0.3293447196483612,0.123529814183712,0.3325652480125427,0.3790479004383087,0.12247540801763535,0.410914808511734,0.3325652480125427,0.07608037441968918
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.2545962929725647,0.3281906247138977,0.41498205065727234,0.733189046382904,0.23414276540279388,0.2816956341266632,1.0,0.733189046382904,0.1579294353723526,0.41510096192359924,1.0,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,1.0,0.21890558302402496,0.28970760107040405,0.5473989248275757,1.0,0.25688621401786804,0.24548950791358948,0.733189046382904,1.0,0.14126400649547577,0.3362659811973572,0.733189046382904,0.22068053483963013
founding,0.2093554586172104,0.16412046551704407,0.34138360619544983,0.19239050149917603,0.31237557530403137,0.2016766220331192,0.34138360619544983,0.16395673155784607,0.23304754495620728,0.3665546774864197,0.34138360619544983,0.16378772258758545,0.205105260014534,0.3665546774864197,0.1416333168745041
treaties,0.2403455525636673,0.23368829488754272,0.28970760107040405,0.10727179795503616,0.9999998807907104,0.2838388681411743,0.28970760107040405,0.13191401958465576,0.39653173089027405,0.3281906247138977,0.28970760107040405,0.33172380924224854,0.18795062601566315,0.3281906247138977,0.1693580597639084
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.22361785173416138,0.2152065634727478,0.4137537479400635,0.4933079481124878,0.2565748989582062,0.24953721463680267,0.4946078956127167,0.4933079481124878,0.1565755307674408,0.23121660947799683,0.4946078956127167,0.31091248989105225
the,0.42745697498321533,0.40399202704429626,1.0,0.21890558302402496,0.28970760107040405,0.5473989248275757,1.0,0.25688621401786804,0.24548950791358948,0.733189046382904,1.0,0.14126400649547577,0.3362659811973572,0.733189046382904,0.22068053483963013
``,0.008517155423760414,0.12624181807041168,0.029072100296616554,-0.0798293948173523,0.14402715861797333,0.05285148695111275,0.029072100296616554,0.037765562534332275,0.005725041963160038,0.06780257821083069,0.029072100296616554,0.179834246635437,0.05774138122797012,0.06780257821083069,0.0685480609536171
core,0.2474994957447052,0.2276216447353363,0.21890558302402496,0.9999999403953552,0.10727179795503616,0.24856308102607727,0.21890558302402496,0.20448461174964905,0.1193428710103035,0.2545962929725647,0.21890558302402496,0.21467046439647675,0.24313019216060638,0.2545962929725647,0.20309162139892578
'',0.08143015950918198,0.0263817198574543,0.041273195296525955,0.05653238669037819,0.008002251386642456,0.007880004122853279,0.041273195296525955,0.10388161242008209,0.02283594384789467,0.13035868108272552,0.041273195296525955,0.0652511790394783,0.06899715960025787,0.13035868108272552,0.018684765323996544
treaties,0.2403455525636673,0.23368829488754272,0.28970760107040405,0.10727179795503616,0.9999998807907104,0.2838388681411743,0.28970760107040405,0.13191401958465576,0.39653173089027405,0.3281906247138977,0.28970760107040405,0.33172380924224854,0.18795062601566315,0.3281906247138977,0.1693580597639084
being,0.3760843276977539,0.4656608998775482,0.419739305973053,0.22030673921108246,0.23003068566322327,0.46201252937316895,0.419739305973053,0.1616741418838501,0.1606191098690033,0.34885138273239136,0.419739305973053,0.1195717304944992,0.1602964699268341,0.34885138273239136,0.26743772625923157
the,0.42745697498321533,0.40399202704429626,1.0,0.21890558302402496,0.28970760107040405,0.5473989248275757,1.0,0.25688621401786804,0.24548950791358948,0.733189046382904,1.0,0.14126400649547577,0.3362659811973572,0.733189046382904,0.22068053483963013
treaty,0.17237819731235504,0.11571057140827179,0.2690109610557556,0.05629423260688782,0.7044145464897156,0.19276702404022217,0.2690109610557556,0.09991617500782013,0.3302869200706482,0.2602092921733856,0.2690109610557556,0.23946674168109894,0.11514681577682495,0.2602092921733856,0.1174844279885292
on,0.34226128458976746,0.268924742937088,0.5107308030128479,0.24924404919147491,0.25548097491264343,0.42569106817245483,0.5107308030128479,0.2339327335357666,0.13878796994686127,0.3966929316520691,0.5107308030128479,0.18063917756080627,0.23520493507385254,0.3966929316520691,0.2714994251728058
european,0.15324164927005768,0.15548661351203918,0.3423081040382385,0.1437850147485733,0.30161675810813904,0.2049320936203003,0.3423081040382385,0.10110604763031006,0.17164482176303864,0.2507138252258301,0.3423081040382385,0.46552222967147827,0.14820772409439087,0.2507138252258301,0.14560863375663757
union,0.1396910548210144,0.15829040110111237,0.24421639740467072,0.13226373493671417,0.34353530406951904,0.17320044338703156,0.24421639740467072,0.10285277664661407,0.19371826946735382,0.2642118036746979,0.24421639740467072,0.3292396068572998,0.1369345337152481,0.2642118036746979,0.07797172665596008
(,0.2411840260028839,0.23263892531394958,0.33289089798927307,0.15104816854000092,0.11301841586828232,0.2264307141304016,0.33289089798927307,0.21913397312164307,0.14312884211540222,0.35032153129577637,0.33289089798927307,0.1709967851638794,0.1908227801322937,0.35032153129577637,0.40561532974243164
teu,0.1524437665939331,0.2244163602590561,0.31191012263298035,0.21784435212612152,0.269866019487381,0.15814217925071716,0.31191012263298035,0.19831998646259308,0.12498890608549118,0.2679056227207184,0.31191012263298035,0.3950209319591522,0.2682923674583435,0.2679056227207184,0.12451952695846558
),0.26259949803352356,0.2373749315738678,0.3456730246543884,0.13827194273471832,0.11589182168245316,0.23478686809539795,0.3456730246543884,0.19666743278503418,0.15311799943447113,0.3680361211299896,0.3456730246543884,0.1733860969543457,0.19787420332431793,0.3680361211299896,0.42300865054130554
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.24035881459712982,0.2571636438369751,0.4731321930885315,0.5171257257461548,0.2539214491844177,0.254730761051178,0.5116966962814331,0.5171257257461548,0.16977795958518982,0.2891005575656891,0.5116966962814331,0.20544172823429108
the,0.42745697498321533,0.40399202704429626,1.0,0.21890558302402496,0.28970760107040405,0.5473989248275757,1.0,0.25688621401786804,0.24548950791358948,0.733189046382904,1.0,0.14126400649547577,0.3362659811973572,0.733189046382904,0.22068053483963013
treaty,0.17237819731235504,0.11571057140827179,0.2690109610557556,0.05629423260688782,0.7044145464897156,0.19276702404022217,0.2690109610557556,0.09991617500782013,0.3302869200706482,0.2602092921733856,0.2690109610557556,0.23946674168109894,0.11514681577682495,0.2602092921733856,0.1174844279885292
on,0.34226128458976746,0.268924742937088,0.5107308030128479,0.24924404919147491,0.25548097491264343,0.42569106817245483,0.5107308030128479,0.2339327335357666,0.13878796994686127,0.3966929316520691,0.5107308030128479,0.18063917756080627,0.23520493507385254,0.3966929316520691,0.2714994251728058
the,0.42745697498321533,0.40399202704429626,1.0,0.21890558302402496,0.28970760107040405,0.5473989248275757,1.0,0.25688621401786804,0.24548950791358948,0.733189046382904,1.0,0.14126400649547577,0.3362659811973572,0.733189046382904,0.22068053483963013
functioning,0.3041251599788666,0.2942333221435547,0.2907642722129822,0.23372648656368256,0.22662152349948883,0.34470227360725403,0.2907642722129822,0.28642547130584717,0.21999067068099976,0.22997455298900604,0.2907642722129822,0.12335167825222015,0.25732147693634033,0.22997455298900604,0.1929340660572052
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.2545962929725647,0.3281906247138977,0.41498205065727234,0.733189046382904,0.23414276540279388,0.2816956341266632,1.0,0.733189046382904,0.1579294353723526,0.41510096192359924,1.0,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,1.0,0.21890558302402496,0.28970760107040405,0.5473989248275757,1.0,0.25688621401786804,0.24548950791358948,0.733189046382904,1.0,0.14126400649547577,0.3362659811973572,0.733189046382904,0.22068053483963013
european,0.15324164927005768,0.15548661351203918,0.3423081040382385,0.1437850147485733,0.30161675810813904,0.2049320936203003,0.3423081040382385,0.10110604763031006,0.17164482176303864,0.2507138252258301,0.3423081040382385,0.46552222967147827,0.14820772409439087,0.2507138252258301,0.14560863375663757
union,0.1396910548210144,0.15829040110111237,0.24421639740467072,0.13226373493671417,0.34353530406951904,0.17320044338703156,0.24421639740467072,0.10285277664661407,0.19371826946735382,0.2642118036746979,0.24421639740467072,0.3292396068572998,0.1369345337152481,0.2642118036746979,0.07797172665596008
(,0.2411840260028839,0.23263892531394958,0.33289089798927307,0.15104816854000092,0.11301841586828232,0.2264307141304016,0.33289089798927307,0.21913397312164307,0.14312884211540222,0.35032153129577637,0.33289089798927307,0.1709967851638794,0.1908227801322937,0.35032153129577637,0.40561532974243164
tfeu,0.1779472827911377,0.12704014778137207,0.23805710673332214,0.1851482391357422,0.2947172522544861,0.15542970597743988,0.23805710673332214,0.08983192592859268,0.14994046092033386,0.19117312133312225,0.23805710673332214,0.43249499797821045,0.09446639567613602,0.19117312133312225,0.2193283885717392
),0.26259949803352356,0.2373749315738678,0.3456730246543884,0.13827194273471832,0.11589182168245316,0.23478686809539795,0.3456730246543884,0.19666743278503418,0.15311799943447113,0.3680361211299896,0.3456730246543884,0.1733860969543457,0.19787420332431793,0.3680361211299896,0.42300865054130554
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.20096416771411896,0.21012970805168152,0.4460422694683075,0.5934505462646484,0.22422198951244354,0.24482665956020355,0.5352458953857422,0.5934505462646484,0.1552242487668991,0.17634446918964386,0.5352458953857422,0.4130953550338745
