,what,is,another,name,for,teaching,within,the,family,?
teaching,0.27416905760765076,0.16213442385196686,0.1704782396554947,0.080060675740242,0.31977686285972595,1.0000001192092896,0.20222702622413635,0.2182690054178238,0.20010533928871155,0.20424684882164001
may,0.25739946961402893,0.322792649269104,0.2963435649871826,0.1821857988834381,0.29255861043930054,0.176097571849823,0.21352408826351166,0.2694292366504669,0.1512131243944168,0.2768254578113556
be,0.3929833769798279,0.4819129705429077,0.42243969440460205,0.19639723002910614,0.3801851272583008,0.2096574753522873,0.29054832458496094,0.4248143136501312,0.18388713896274567,0.3324260413646698
carried,0.17649970948696136,0.15077325701713562,0.2692757546901703,0.09793474525213242,0.24306218326091766,0.16889522969722748,0.146584615111351,0.31854987144470215,0.0737379714846611,0.1305524855852127
out,0.3633197546005249,0.2817855477333069,0.2994861304759979,0.18450941145420074,0.3312093913555145,0.17950011789798737,0.21727070212364197,0.39404502511024475,0.11229555308818817,0.22020699083805084
informally,0.28550592064857483,0.3238075077533722,0.2916526794433594,0.24642948806285858,0.32487666606903076,0.18080104887485504,0.2549434006214142,0.3278867304325104,0.19428817927837372,0.15135891735553741
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.28145334124565125,0.4464869201183319,0.2547089457511902,0.2513136863708496,0.4933079481124878,0.22142739593982697,0.31091248989105225
within,0.2498195916414261,0.30135563015937805,0.2561904788017273,0.12412691861391068,0.3087334632873535,0.20222702622413635,1.0,0.39827480912208557,0.19981174170970917,0.1870293766260147
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.3171212375164032,0.4739971458911896,0.2182690054178238,0.39827480912208557,1.0,0.2394849956035614,0.22068053483963013
family,0.16391263902187347,0.20392227172851562,0.20674178004264832,0.23032744228839874,0.18213365972042084,0.20010533928871155,0.19981174170970917,0.2394849956035614,0.9999998807907104,0.15222905576229095
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.28145334124565125,0.4464869201183319,0.2547089457511902,0.2513136863708496,0.4933079481124878,0.22142739593982697,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.5561438798904419,0.2972666025161743,0.44095608592033386,0.2286062091588974,0.43539655208587646,0.6521818041801453,0.2529175877571106,0.25814583897590637
is,0.28837618231773376,1.0,0.41278526186943054,0.3359788954257965,0.43268078565597534,0.16213442385196686,0.30135563015937805,0.5823672413825989,0.20392227172851562,0.22961433231830597
called,0.3235960602760315,0.430266410112381,0.4362754225730896,0.30947911739349365,0.29870352149009705,0.15605761110782623,0.24071745574474335,0.489897221326828,0.2005452960729599,0.18963319063186646
homeschooling,0.34204134345054626,0.19772271811962128,0.2626762092113495,0.14904867112636566,0.3039286434650421,0.5936844944953918,0.2109823077917099,0.2592128813266754,0.3303404748439789,0.2689463794231415
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.28145334124565125,0.4464869201183319,0.2547089457511902,0.2513136863708496,0.4933079481124878,0.22142739593982697,0.31091248989105225
or,0.33867141604423523,0.41870999336242676,0.4401204288005829,0.19621294736862183,0.4111599624156952,0.15916350483894348,0.33908307552337646,0.4174870550632477,0.18829230964183807,0.32389625906944275
in,0.30808621644973755,0.5394441485404968,0.3397690951824188,0.2459065467119217,0.4322226941585541,0.2659059166908264,0.40576374530792236,0.6662389636039734,0.2165997177362442,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.3171212375164032,0.4739971458911896,0.2182690054178238,0.39827480912208557,1.0,0.2394849956035614,0.22068053483963013
wider,0.33491194248199463,0.21796871721744537,0.219918891787529,0.10662896186113358,0.26713433861732483,0.18246717751026154,0.28088808059692383,0.3782990276813507,0.09228817373514175,0.20532488822937012
community,0.29032719135284424,0.26023760437965393,0.1974765807390213,0.146366685628891,0.24596118927001953,0.24182043969631195,0.2614595592021942,0.2601400911808014,0.1910831183195114,0.2380419820547104
.,0.3567904531955719,0.4569662809371948,0.3817248046398163,0.24737101793289185,0.4726039469242096,0.26479530334472656,0.2984525263309479,0.5934505462646484,0.24114800989627838,0.4130953550338745
