,what,does,connecting,different,sky,q,boxes,enable,them,to,do,?
this,0.5489566326141357,0.4166489243507385,0.2505134642124176,0.4134233593940735,0.15060988068580627,0.18159200251102448,0.22555486857891083,0.37521806359291077,0.5015315413475037,0.5759071707725525,0.34963881969451904,0.3155723512172699
allows,0.1957017332315445,0.42367881536483765,0.3043373227119446,0.3178861737251282,0.17176975309848785,0.13589836657047272,0.2899896800518036,0.5624270439147949,0.359916627407074,0.4045441448688507,0.31501758098602295,0.16094227135181427
all,0.41981086134910583,0.31124600768089294,0.2359103113412857,0.42947903275489807,0.23370063304901123,0.17387431859970093,0.24711301922798157,0.38537153601646423,0.5754773616790771,0.42520734667778015,0.38664430379867554,0.29575422406196594
set,0.28954121470451355,0.17238076031208038,0.1796170324087143,0.22290955483913422,0.132208451628685,0.09370187669992447,0.23552146553993225,0.3008895516395569,0.21966052055358887,0.320547491312027,0.19593527913093567,0.1698019951581955
top,0.21232028305530548,0.19232958555221558,0.13343743979930878,0.22202181816101074,0.1955816149711609,0.1573854684829712,0.22949844598770142,0.24518972635269165,0.2544618248939514,0.20897358655929565,0.15315739810466766,0.17265194654464722
boxes,0.22161251306533813,0.1962473839521408,0.14116470515727997,0.23779939115047455,0.1614818125963211,0.08811987936496735,1.0,0.2379833459854126,0.262002557516098,0.2535790503025055,0.1499565839767456,0.21614888310432434
in,0.30808621644973755,0.214483380317688,0.2860713303089142,0.29409363865852356,0.20324937999248505,0.10273436456918716,0.2756936550140381,0.17007185518741608,0.29119014739990234,0.45010748505592346,0.23402775824069977,0.20430970191955566
a,0.3320399522781372,0.38201746344566345,0.2702370285987854,0.29175353050231934,0.20541532337665558,0.17719541490077972,0.2782333195209503,0.2867194414138794,0.3151612877845764,0.45503583550453186,0.26237669587135315,0.23916715383529663
household,0.16065490245819092,0.12036216259002686,0.06151556968688965,0.21933266520500183,0.13710740208625793,0.07182031124830246,0.0955691710114479,0.11540684103965759,0.22934368252754211,0.24151477217674255,0.12054280936717987,0.12460741400718689
to,0.455847829580307,0.4391997456550598,0.24113371968269348,0.3617510497570038,0.17630793154239655,0.17006663978099823,0.2535790503025055,0.41969531774520874,0.5916602611541748,1.0,0.38876664638519287,0.29463258385658264
share,0.2764742076396942,0.2503064274787903,0.2945512533187866,0.30179882049560547,0.1257970631122589,0.06741821765899658,0.1357339322566986,0.22011393308639526,0.36619624495506287,0.27366065979003906,0.28333228826522827,0.1754547506570816
recordings,0.173174649477005,0.16708385944366455,0.1297311633825302,0.21208474040031433,0.13904793560504913,0.14521507918834686,0.1288606822490692,0.19043195247650146,0.28304630517959595,0.19224262237548828,0.19523969292640686,0.18278516829013824
and,0.31309178471565247,0.3461615741252899,0.2999177575111389,0.39536112546920776,0.2200697511434555,0.22011294960975647,0.22700197994709015,0.3107130825519562,0.48717668652534485,0.48971283435821533,0.276123583316803,0.20544172823429108
other,0.341873437166214,0.2947014272212982,0.318950355052948,0.5510044097900391,0.183919757604599,0.2190091907978058,0.2405230849981308,0.3308493494987488,0.5832898020744324,0.4193183183670044,0.34946969151496887,0.24682199954986572
media,0.18292108178138733,0.18055978417396545,0.17908261716365814,0.24566510319709778,0.23191455006599426,0.13964249193668365,0.128606379032135,0.22903099656105042,0.1986839920282364,0.21723589301109314,0.12992064654827118,0.1571006178855896
.,0.3567904531955719,0.3022993505001068,0.24344070255756378,0.31511759757995605,0.19117935001850128,0.3175239861011505,0.24753229320049286,0.2330912947654724,0.39945515990257263,0.4645031690597534,0.3613996207714081,0.4130953550338745
