,what,were,european,countries,doing,during,the,1700,'s,?
the,0.42745697498321533,0.3906462490558624,0.3423081040382385,0.33290645480155945,0.29305580258369446,0.4838213622570038,1.0,0.004123383201658726,-0.01540423184633255,0.22068053483963013
age,0.1895245760679245,0.20031394064426422,0.1983698159456253,0.1753343790769577,0.12022528797388077,0.27434083819389343,0.24711290001869202,0.054672129452228546,0.004176773596554995,0.16859300434589386
of,0.33290785551071167,0.34038281440734863,0.2507138252258301,0.2800094783306122,0.25269845128059387,0.3869180977344513,0.733189046382904,0.04021696373820305,-0.03817026689648628,0.1826142966747284
imperialism,0.24614648520946503,0.2340797334909439,0.29965823888778687,0.331497460603714,0.21335960924625397,0.22659151256084442,0.2716025412082672,-0.024983037263154984,0.00493214325979352,0.14998586475849152
",",0.3087472915649414,0.36755475401878357,0.19684812426567078,0.2966555655002594,0.31285786628723145,0.3225448727607727,0.4933079481124878,0.09487230330705643,-0.0016132977325469255,0.31091248989105225
a,0.3320399522781372,0.17203083634376526,0.2254103124141693,0.2672088146209717,0.3023574650287628,0.30341604351997375,0.5829201340675354,0.011459614150226116,0.04866964742541313,0.23916715383529663
time,0.36319252848625183,0.3104150593280792,0.2870848476886749,0.27926182746887207,0.3565804660320282,0.49996283650398254,0.43061500787734985,0.008164609782397747,0.01301188487559557,0.27391523122787476
period,0.24507179856300354,0.2902187407016754,0.17045241594314575,0.2089863121509552,0.13163785636425018,0.5020045042037964,0.3125074505805969,0.10284076631069183,-0.05741342157125473,0.18706195056438446
beginning,0.3351518511772156,0.31133952736854553,0.22623667120933533,0.2614844739437103,0.21954090893268585,0.49835196137428284,0.49622642993927,0.005050424486398697,-0.03033691644668579,0.19413669407367706
around,0.27475327253341675,0.3049486577510834,0.21021924912929535,0.3029395043849945,0.2668086886405945,0.39122623205184937,0.40085816383361816,0.10114400833845139,-0.039796680212020874,0.14729668200016022
1700,0.11454621702432632,0.07916326820850372,0.07195044308900833,0.17820993065834045,0.09100581705570221,-0.06724195927381516,0.004123383201658726,0.9999999403953552,-0.02705923654139042,0.23029880225658417
",",0.3087472915649414,0.36755475401878357,0.19684812426567078,0.2966555655002594,0.31285786628723145,0.3225448727607727,0.4933079481124878,0.09487230330705643,-0.0016132977325469255,0.31091248989105225
saw,0.24788837134838104,0.4311434328556061,0.1906360685825348,0.14562100172042847,0.23243167996406555,0.3390897810459137,0.318278044462204,-0.07574450224637985,0.04767860472202301,0.14690998196601868
(,0.2411840260028839,0.14743882417678833,0.17014704644680023,0.15407808125019073,0.20687055587768555,0.2139192670583725,0.33289089798927307,0.17362114787101746,0.0012731997994706035,0.40561532974243164
generally,0.40614598989486694,0.3300529420375824,0.21278589963912964,0.3435975909233093,0.3131474256515503,0.26093995571136475,0.41466525197029114,0.13263890147209167,0.017207007855176926,0.23411904275417328
european,0.15324164927005768,0.21272888779640198,0.9999998807907104,0.44465985894203186,0.12114407867193222,0.23395675420761108,0.3423081040382385,0.07195044308900833,0.08902547508478165,0.14560863375663757
),0.26259949803352356,0.1566188633441925,0.17755553126335144,0.15248970687389374,0.24178515374660492,0.23182427883148193,0.3456730246543884,0.18585620820522308,0.021107977256178856,0.42300865054130554
