,which,park,is,home,to,the,fresno,chafffee,zoo,?
woodward,0.23245452344417572,0.1324821412563324,0.19685564935207367,0.16456077992916107,0.21017755568027496,0.2085409164428711,0.2083505541086197,0.29137301445007324,0.05505077540874481,0.13852813839912415
park,0.22263368964195251,1.0,0.2076987773180008,0.28130054473876953,0.14257338643074036,0.24748283624649048,0.2707971930503845,0.29973241686820984,0.46924126148223877,0.13508929312229156
",",0.3658004403114319,0.22495080530643463,0.4691906273365021,0.2790627181529999,0.44245919585227966,0.4933079481124878,0.2561432421207428,0.40927040576934814,0.18975742161273956,0.31091248989105225
which,1.0,0.22263368964195251,0.4457404911518097,0.223346546292305,0.5345056653022766,0.6521818041801453,0.14756552875041962,0.3295583426952362,0.19409945607185364,0.25814583897590637
features,0.389988511800766,0.19584648311138153,0.28435954451560974,0.21174786984920502,0.2523941099643707,0.29863014817237854,0.17593131959438324,0.23902557790279388,0.13007113337516785,0.23497378826141357
the,0.6521818041801453,0.24748283624649048,0.5823672413825989,0.28978195786476135,0.535392165184021,1.0,0.22571885585784912,0.3949142396450043,0.19178812205791473,0.22068053483963013
shinzen,0.21722781658172607,0.22345663607120514,0.23314234614372253,0.1431606113910675,0.1507873237133026,0.2599010765552521,0.2676751911640167,0.35920804738998413,0.14396190643310547,0.17537176609039307
japanese,0.19711120426654816,0.1260739266872406,0.20400524139404297,0.13775989413261414,0.1551903486251831,0.21599429845809937,0.16877061128616333,0.22157415747642517,0.06939367204904556,0.12021756172180176
gardens,0.22749637067317963,0.49763840436935425,0.1537254899740219,0.21556666493415833,0.2010267674922943,0.21929459273815155,0.20618665218353271,0.29142460227012634,0.35973218083381653,0.1399904191493988
",",0.3658004403114319,0.22495080530643463,0.4691906273365021,0.2790627181529999,0.44245919585227966,0.4933079481124878,0.2561432421207428,0.40927040576934814,0.18975742161273956,0.31091248989105225
numerous,0.3937303423881531,0.16793487966060638,0.14785398542881012,0.1559121012687683,0.23493526875972748,0.3353725075721741,0.1784215271472931,0.21601517498493195,0.15780530869960785,0.0875130444765091
picnic,0.18298381567001343,0.3803335726261139,0.19563189148902893,0.26447823643684387,0.1991882026195526,0.20625877380371094,0.1953069418668747,0.32854676246643066,0.27808678150177,0.13968902826309204
areas,0.34350457787513733,0.27975666522979736,0.28282591700553894,0.1701192706823349,0.29808273911476135,0.3311663568019867,0.1518738716840744,0.2831763029098511,0.20315834879875183,0.1273590475320816
and,0.506277859210968,0.21340665221214294,0.3859752118587494,0.24667192995548248,0.48971283435821533,0.5171257257461548,0.21513071656227112,0.3961632251739502,0.20921050012111664,0.20544172823429108
several,0.4863804280757904,0.13409315049648285,0.20361857116222382,0.1906605362892151,0.36196985840797424,0.40559855103492737,0.18835346400737762,0.2990783751010895,0.1422899067401886,0.15595775842666626
miles,0.23843176662921906,0.22666506469249725,0.22951029241085052,0.2086612433195114,0.2342754453420639,0.25706055760383606,0.164978489279747,0.2144387662410736,0.16085071861743927,0.09363767504692078
