,what,contributed,to,the,severity,of,the,plague,?
whether,0.5516265630722046,0.20066261291503906,0.43423423171043396,0.3211745023727417,0.28985828161239624,0.24392437934875488,0.3211745023727417,0.17653240263462067,0.3150278329849243
or,0.33867141604423523,0.18766231834888458,0.38921234011650085,0.4174870550632477,0.29746222496032715,0.3792596757411957,0.4174870550632477,0.19699858129024506,0.32389625906944275
not,0.5449194312095642,0.24341969192028046,0.5149973034858704,0.4310511648654938,0.2516788840293884,0.3307090103626251,0.4310511648654938,0.20608660578727722,0.41942933201789856
this,0.5489566326141357,0.32355841994285583,0.5759071707725525,0.6274310946464539,0.30317792296409607,0.45148900151252747,0.6274310946464539,0.2352575808763504,0.3155723512172699
hypothesis,0.32678523659706116,0.20504553616046906,0.22394606471061707,0.2221619188785553,0.22788771986961365,0.18608006834983826,0.2221619188785553,0.22264303267002106,0.20027662813663483
is,0.28837618231773376,0.19456906616687775,0.42745086550712585,0.5823672413825989,0.2182624489068985,0.4854315221309662,0.5823672413825989,0.15890252590179443,0.22961433231830597
accurate,0.3898910582065582,0.24452675879001617,0.31596043705940247,0.22281034290790558,0.2578798532485962,0.21377940475940704,0.22281034290790558,0.19170218706130981,0.275799959897995
",",0.3087472915649414,0.2899704575538635,0.44245919585227966,0.4933079481124878,0.227619007229805,0.4946078956127167,0.4933079481124878,0.2630122900009155,0.31091248989105225
it,0.45803478360176086,0.21715179085731506,0.513711154460907,0.6251175999641418,0.2674263119697571,0.38761502504348755,0.6251175999641418,0.28122323751449585,0.25732165575027466
is,0.28837618231773376,0.19456906616687775,0.42745086550712585,0.5823672413825989,0.2182624489068985,0.4854315221309662,0.5823672413825989,0.15890252590179443,0.22961433231830597
clear,0.4239453375339508,0.18636269867420197,0.34294766187667847,0.3209454417228699,0.27962660789489746,0.25915294885635376,0.3209454417228699,0.16947855055332184,0.2738020122051239
that,0.6297725439071655,0.27004948258399963,0.5436353087425232,0.5473989248275757,0.31120172142982483,0.41498205065727234,0.5473989248275757,0.23825600743293762,0.32716336846351624
several,0.22446060180664062,0.2284093052148819,0.36196985840797424,0.40559855103492737,0.3310982584953308,0.3271615505218506,0.40559855103492737,0.17589329183101654,0.15595775842666626
existing,0.31325602531433105,0.2179335057735443,0.36717307567596436,0.36013904213905334,0.2732236683368683,0.30417704582214355,0.36013904213905334,0.1116538792848587,0.31003472208976746
conditions,0.27960067987442017,0.24695277214050293,0.2756218910217285,0.2622014284133911,0.42493587732315063,0.2074868083000183,0.2622014284133911,0.1980588436126709,0.17021824419498444
such,0.23989605903625488,0.22113682329654694,0.2871878743171692,0.3575236201286316,0.22752916812896729,0.3209529519081116,0.3575236201286316,0.17950542271137238,0.17851735651493073
as,0.31749409437179565,0.26930540800094604,0.42092081904411316,0.48381632566452026,0.19679152965545654,0.3886612355709076,0.48381632566452026,0.1501513570547104,0.27043893933296204
war,0.22516006231307983,0.23966579139232635,0.2610234022140503,0.366199791431427,0.17622610926628113,0.31680163741111755,0.366199791431427,0.27265962958335876,0.15510529279708862
",",0.3087472915649414,0.2899704575538635,0.44245919585227966,0.4933079481124878,0.227619007229805,0.4946078956127167,0.4933079481124878,0.2630122900009155,0.31091248989105225
famine,0.28019973635673523,0.2952934205532074,0.23473279178142548,0.33704057335853577,0.33039137721061707,0.3027348816394806,0.33704057335853577,0.4524409770965576,0.17393353581428528
",",0.3087472915649414,0.2899704575538635,0.44245919585227966,0.4933079481124878,0.227619007229805,0.4946078956127167,0.4933079481124878,0.2630122900009155,0.31091248989105225
and,0.31309178471565247,0.2908022403717041,0.48971283435821533,0.5171257257461548,0.28601595759391785,0.5116966962814331,0.5171257257461548,0.2229994833469391,0.20544172823429108
weather,0.2620617747306824,0.1438351422548294,0.2896164059638977,0.28776681423187256,0.2795441746711731,0.22687400877475739,0.28776681423187256,0.2652139365673065,0.15533578395843506
contributed,0.2441394031047821,1.0,0.2686880826950073,0.2633678913116455,0.2524234652519226,0.29837220907211304,0.2633678913116455,0.16446447372436523,0.21200142800807953
to,0.455847829580307,0.2686880826950073,1.0,0.535392165184021,0.2516503930091858,0.41548454761505127,0.535392165184021,0.21845681965351105,0.29463258385658264
the,0.42745697498321533,0.2633678913116455,0.535392165184021,1.0,0.2892438471317291,0.733189046382904,1.0,0.2537761330604553,0.22068053483963013
severity,0.2504546046257019,0.2524234652519226,0.2516503930091858,0.2892438471317291,1.0,0.27589738368988037,0.2892438471317291,0.27362364530563354,0.19661511480808258
of,0.33290785551071167,0.29837220907211304,0.41548454761505127,0.733189046382904,0.27589738368988037,1.0,0.733189046382904,0.27455615997314453,0.1826142966747284
the,0.42745697498321533,0.2633678913116455,0.535392165184021,1.0,0.2892438471317291,0.733189046382904,1.0,0.2537761330604553,0.22068053483963013
black,0.12054000794887543,0.08958645164966583,0.23292754590511322,0.28466513752937317,0.13986735045909882,0.23966942727565765,0.28466513752937317,0.2843790054321289,0.15159966051578522
death,0.2267695665359497,0.16262176632881165,0.19568277895450592,0.21438048779964447,0.24712742865085602,0.23778599500656128,0.21438048779964447,0.2767121493816376,0.21149799227714539
.,0.3567904531955719,0.25505968928337097,0.4645031690597534,0.5934505462646484,0.21497541666030884,0.5352458953857422,0.5934505462646484,0.2547653317451477,0.4130953550338745
